"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AM000037801","2018-05-31","40.35","45.1331","1961.0","GAVAR, AM","   10",",,S",,,"  175",",,S","   70",",,S","  110","H,,S"
"AM000037801","2018-06-01","40.35","45.1331","1961.0","GAVAR, AM","   23",",,S",,,"  190",",,S","   70",",,S","  125","H,,S"
"AM000037801","2018-06-02","40.35","45.1331","1961.0","GAVAR, AM","   10",",,S",,,"  140",",,S","   65",",,S","   98","H,,S"
"AM000037801","2018-06-03","40.35","45.1331","1961.0","GAVAR, AM","  221",",,S",,,"  150",",,S","   60",",,S","  101","H,,S"
"AM000037801","2018-06-04","40.35","45.1331","1961.0","GAVAR, AM","   41",",,S",,,"  180",",,S","   47",",,S","  114","H,,S"
"AM000037801","2018-06-05","40.35","45.1331","1961.0","GAVAR, AM","    0",",,S",,,"  170",",,S","   50",",,S","  103","H,,S"
"AM000037801","2018-06-06","40.35","45.1331","1961.0","GAVAR, AM","    0",",,S",,,"  205",",,S",,,"  119","H,,S"
"AM000037801","2018-06-07","40.35","45.1331","1961.0","GAVAR, AM","    0",",,S",,,"  210",",,S","   60",",,S","  130","H,,S"
"AM000037801","2018-06-08","40.35","45.1331","1961.0","GAVAR, AM","   10",",,S",,,"  170",",,S","   80",",,S","  126","H,,S"
"AM000037801","2018-06-09","40.35","45.1331","1961.0","GAVAR, AM","    0",",,S",,,"  185",",,S","   50",",,S","  113","H,,S"
"AM000037801","2018-06-10","40.35","45.1331","1961.0","GAVAR, AM","    0",",,S",,,"  155",",,S","   65",",,S","  108","H,,S"
"AM000037801","2018-06-11","40.35","45.1331","1961.0","GAVAR, AM","   53",",,S",,,"  170",",,S","   72",",,S","  125","H,,S"
"AM000037801","2018-06-12","40.35","45.1331","1961.0","GAVAR, AM","   71",",,S",,,"  145",",,S","   70",",,S","  109","H,,S"
"AM000037801","2018-06-13","40.35","45.1331","1961.0","GAVAR, AM","   20",",,S",,,"  180",",,S","   45",",,S","  105","H,,S"
"AM000037801","2018-06-14","40.35","45.1331","1961.0","GAVAR, AM","    0",",,S",,,"  180",",,S","   75",",,S","  127","H,,S"
"AM000037801","2018-06-15","40.35","45.1331","1961.0","GAVAR, AM",,,,,"  210",",,S","   60",",,S","  122","H,,S"
"AM000037801","2018-06-16","40.35","45.1331","1961.0","GAVAR, AM",,,,,,,"   70",",,S","  111","H,,S"
"AM000037801","2018-06-17","40.35","45.1331","1961.0","GAVAR, AM",,,,,"  200",",,S","   52",",,S","  120","H,,S"
"AM000037801","2018-06-18","40.35","45.1331","1961.0","GAVAR, AM","    0",",,S",,,"  210",",,S","   60",",,S","  128","H,,S"
"AM000037801","2018-06-19","40.35","45.1331","1961.0","GAVAR, AM","    0",",,S",,,"  188",",,S","   50",",,S","  116","H,,S"
"AM000037801","2018-06-20","40.35","45.1331","1961.0","GAVAR, AM","    0",",,S",,,"  185",",,S","   70",",,S","  122","H,,S"
"AM000037801","2018-06-21","40.35","45.1331","1961.0","GAVAR, AM","   58",",,S",,,"  200",",,S",,,"  124","H,,S"
