"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AR000087217","2018-06-28","-29.383","-66.817","438.0","LA RIOJA AERO., AR",,,,,"  250",",,S",,,"  128","H,,S"
"AR000087217","2018-06-29","-29.383","-66.817","438.0","LA RIOJA AERO., AR",,,,,"  234",",,S",,,"  135","H,,S"
"AR000087217","2018-06-30","-29.383","-66.817","438.0","LA RIOJA AERO., AR",,,,,"  240",",,S",,,"  149","H,,S"
"AR000087217","2018-07-01","-29.383","-66.817","438.0","LA RIOJA AERO., AR",,,,,"  220",",,S",,,"  154","H,,S"
"AR000087217","2018-07-02","-29.383","-66.817","438.0","LA RIOJA AERO., AR",,,,,"  218",",,S",,,"  157","H,,S"
"AR000087217","2018-07-03","-29.383","-66.817","438.0","LA RIOJA AERO., AR","   99",",,S",,,"  138",",,S",,,"   78","H,,S"
"AR000087217","2018-07-04","-29.383","-66.817","438.0","LA RIOJA AERO., AR","   51",",,S",,,,,,,"   58","H,,S"
"AR000087217","2018-07-05","-29.383","-66.817","438.0","LA RIOJA AERO., AR","   10",",,S",,,,,,,"   71","H,,S"
"AR000087217","2018-07-06","-29.383","-66.817","438.0","LA RIOJA AERO., AR","    0",",,S",,,,,,,"   80","H,,S"
"AR000087217","2018-07-07","-29.383","-66.817","438.0","LA RIOJA AERO., AR",,,,,,,,,"   93","H,,S"
"AR000087217","2018-07-08","-29.383","-66.817","438.0","LA RIOJA AERO., AR",,,,,,,,,"   57","H,,S"
"AR000087217","2018-07-09","-29.383","-66.817","438.0","LA RIOJA AERO., AR",,,,,"  141",",,S",,,"   67","H,,S"
"AR000087217","2018-07-10","-29.383","-66.817","438.0","LA RIOJA AERO., AR",,,,,"  152",",,S",,,"   71","H,,S"
