"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ARM00087320","2018-06-24","-30.367","-66.283","461.0","CHAMICAL AERO, AR",,,,,"  210",",,S","   50",",,S","  123","H,,S"
"ARM00087320","2018-06-25","-30.367","-66.283","461.0","CHAMICAL AERO, AR",,,,,,,"   10",",,S","   84","H,,S"
"ARM00087320","2018-06-26","-30.367","-66.283","461.0","CHAMICAL AERO, AR",,,,,"  180",",,S","   12",",,S","   91","H,,S"
"ARM00087320","2018-06-27","-30.367","-66.283","461.0","CHAMICAL AERO, AR",,,,,,,"   36",",,S","  125","H,,S"
"ARM00087320","2018-06-28","-30.367","-66.283","461.0","CHAMICAL AERO, AR",,,,,"  220",",,S","   74",",,S","  145","H,,S"
"ARM00087320","2018-06-29","-30.367","-66.283","461.0","CHAMICAL AERO, AR",,,,,"  221",",,S","   60",",,S","  146","H,,S"
"ARM00087320","2018-06-30","-30.367","-66.283","461.0","CHAMICAL AERO, AR",,,,,"  227",",,S","   65",",,S","  158","H,,S"
"ARM00087320","2018-07-01","-30.367","-66.283","461.0","CHAMICAL AERO, AR",,,,,,,"  126",",,S","  171","H,,S"
"ARM00087320","2018-07-02","-30.367","-66.283","461.0","CHAMICAL AERO, AR",,,,,"  216",",,S","  105",",,S","  142","H,,S"
"ARM00087320","2018-07-03","-30.367","-66.283","461.0","CHAMICAL AERO, AR","   41",",,S",,,"  137",",,S",,,"   62","H,,S"
"ARM00087320","2018-07-04","-30.367","-66.283","461.0","CHAMICAL AERO, AR","   20",",,S",,,,,"   30",",,S","   57","H,,S"
"ARM00087320","2018-07-05","-30.367","-66.283","461.0","CHAMICAL AERO, AR","    0",",,S",,,,,"   40",",,S","   67","H,,S"
"ARM00087320","2018-07-06","-30.367","-66.283","461.0","CHAMICAL AERO, AR","   30",",,S",,,,,"   50",",,S","   75","H,,S"
"ARM00087320","2018-07-07","-30.367","-66.283","461.0","CHAMICAL AERO, AR","   51",",,S",,,,,"   68",",,S","   92","H,,S"
"ARM00087320","2018-07-08","-30.367","-66.283","461.0","CHAMICAL AERO, AR","    0",",,S",,,"  126",",,S","  -19",",,S","   51","H,,S"
