"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"ASN00014703","2018-06-12","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    2",",,a","  281",",,a","  203",",,a",,,,,,
"ASN00014703","2018-06-13","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    2",",,a","  282",",,a","  208",",,a",,,,,,
"ASN00014703","2018-06-14","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  286",",,a","  216",",,a",,,,,,
"ASN00014703","2018-06-15","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    2",",,a","  264",",,a","  211",",,a",,,,,,
"ASN00014703","2018-06-16","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  274",",,a","  219",",,a",,,,,,
"ASN00014703","2018-06-17","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  267",",,a","  194",",,a",,,,,,
"ASN00014703","2018-06-18","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  257",",,a","  182",",,a",,,,,,
"ASN00014703","2018-06-19","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  254",",,a","  176",",,a",,,,,,
"ASN00014703","2018-06-20","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  273",",,a","  184",",,a",,,,,,
"ASN00014703","2018-06-21","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  260",",,a","  175",",,a",,,,,,
"ASN00014703","2018-06-22","-15.7426","136.8192","12.2","CENTRE ISLAND, AS",,,"  256",",,a","  176",",,a",,,,,,
"ASN00014703","2018-06-23","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  258",",,a","  172",",,a",,,,,,
"ASN00014703","2018-06-24","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  265",",,a","  187",",,a",,,,,,
"ASN00014703","2018-06-25","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    2",",,a","  260",",,a","  195",",,a",,,,,,
"ASN00014703","2018-06-26","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  261",",,a","  205",",,a",,,,,,
"ASN00014703","2018-06-27","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  274",",,a","  202",",,a",,,,,,
"ASN00014703","2018-06-28","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  269",",,a","  200",",,a",,,,,,
"ASN00014703","2018-06-29","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  265",",,a","  202",",,a",,,,,,
"ASN00014703","2018-06-30","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    2",",,a","  265",",,a","  214",",,a",,,,,,
"ASN00014703","2018-07-01","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  271",",,a","  230",",,a",,,,,,
"ASN00014703","2018-07-02","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  280",",,a","  225",",,a",,,,,,
"ASN00014703","2018-07-03","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  272",",,a","  219",",,a",,,,,,
"ASN00014703","2018-07-04","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  286",",,a","  211",",,a",,,,,,
"ASN00014703","2018-07-05","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    4",",,a","  292",",,a","  199",",,a",,,,,,
