"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00015652","2018-04-14","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,,,,,,,,
"ASN00015652","2018-04-15","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    8",",,a",,,,,"  362",",,a"
"ASN00015652","2018-04-16","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  327",",,a",,,,,"    8",",,a",,,,,"  162",",,a",,
"ASN00015652","2018-04-17","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  331",",,a","  204",",,a",,,,,,,,,,,,
"ASN00015652","2018-04-18","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,"  221",",,a",,,,,,,,,,,,
"ASN00015652","2018-04-19","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  361",",,a"
"ASN00015652","2018-04-20","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    2",",,a",,,,,"  208",",,a",,
"ASN00015652","2018-04-21","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  375",",,a"
"ASN00015652","2018-04-22","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,"    2",",,a",,,,,"  211",",,a",,
"ASN00015652","2018-04-23","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a",,,,,,,,,"    2",",,a",,,,,"  344",",,a"
"ASN00015652","2018-04-24","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  338",",,a",,,,,"    2",",,a",,,,,"  175",",,a",,
"ASN00015652","2018-04-25","-24.2914","131.5488","614.0","WATARRKA, AS","    0",",,a","  344",",,a","  145",",,a",,,,,,,,,,,,
