"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00066124","2018-06-01","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  177",",,a","   50",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-02","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  180",",,a","   78",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-03","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  183",",,a","   82",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-04","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  190",",,a","   80",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-05","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    2",",,a","  163",",,a","   88",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-06","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","  150",",,a","  190",",,a","   97",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-07","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   94",",,a","  197",",,a","   73",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-08","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  170",",,a","   78",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-09","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   74",",,a","  176",",,a","  107",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-10","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   20",",,a","  190",",,a","   84",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-11","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    2",",,a","  188",",,a","   80",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-12","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    2",",,a","  192",",,a","   55",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-13","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  192",",,a","   92",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-14","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  190",",,a","   80",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-15","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  200",",,a","   95",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-16","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  180",",,a","   85",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-17","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  152",",,a","   72",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-18","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  180",",,a","   93",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-19","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   70",",,a","  143",",,a","   82",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-20","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","  194",",,a","  180",",,a","   75",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-21","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  170",",,a","   93",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-22","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    6",",,a","  192",",,a","   50",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-23","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  182",",,a","   47",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-24","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  172",",,a","   35",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-25","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  172",",,a","   42",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-26","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  183",",,a","   47",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-27","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    8",",,a","  170",",,a","   75",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-28","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   18",",,a","  192",",,a","   93",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-29","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   90",",,a","  150",",,a","   40",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-06-30","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  185",",,a","   36",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-01","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  192",",,a","   33",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-02","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    6",",,a","  175",",,a","   83",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-03","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   14",",,a","  188",",,a","   47",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-04","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  200",",,a","   50",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-05","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  252",",,a","   82",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-06","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  248",",,a","  130",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-07","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  182",",,a","   72",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-08","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  183",",,a","   70",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-09","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  173",",,a","   45",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-10","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  180",",,a","   40",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-11","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  177",",,a","   30",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-12","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  190",",,a","   40",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-13","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  172",",,a","   30",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-14","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  175",",,a","   30",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-15","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  178",",,a","   20",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-16","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  180",",,a","    0",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-17","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  223",",,a","   87",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-18","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  217",",,a","   88",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-19","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  218",",,a","   13",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-20","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  193",",,a","   80",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-21","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  180",",,a","   47",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-22","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  170",",,a","   10",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-23","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  194",",,a","    5",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-24","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  238",",,a","   75",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-25","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  227",",,a","  113",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-26","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  200",",,a","   46",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-27","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  207",",,a","   48",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-28","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  220",",,a","   46",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-29","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   14",",,a","  243",",,a","  112",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-30","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  197",",,a","   57",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-07-31","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  210",",,a","   40",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-01","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  212",",,a","   80",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-02","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  187",",,a","   57",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-03","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  182",",,a","   50",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-04","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    4",",,a","  188",",,a","   84",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-05","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  215",",,a","   82",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-06","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    8",",,a","  192",",,a","   70",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-07","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    2",",,a","  172",",,a","  103",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-08","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  196",",,a","   72",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-09","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  203",",,a","   50",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-10","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  233",",,a","   30",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-11","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  256",",,a","  103",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-12","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  168",",,a","   74",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-08-13","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  197",",,a","   50",",,a",,,,,,,,,,,,,,
