"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00091306","2018-07-06","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","  276",",,a","  116",",,a","   88",",,a",,,,,,,,,,,,,"   83","H,,S"
"ASN00091306","2018-07-07","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   14",",,a","  116",",,a","   50",",,a",,,,,,,,,,,,,"   67","H,,S"
"ASN00091306","2018-07-08","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    2",",,a",,,"   38",",,a",,,,,,,,,,,,,"   61","H,,S"
"ASN00091306","2018-07-09","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  134",",,a",,,,,,,,,,,,,,,"   43","H,,S"
"ASN00091306","2018-07-10","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  108",",,a",,,,,,,,,,,,,,,"   49","H,,S"
"ASN00091306","2018-07-11","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  118",",,a","  -21",",,a",,,,,,,,,,,,,"   41","H,,S"
"ASN00091306","2018-07-12","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,,,,,,,,,,,,,,,,,"   13","H,,S"
"ASN00091306","2018-07-13","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  113",",,a","  -32",",,a",,,,,,,,,,,,,"   38","H,,S"
"ASN00091306","2018-07-14","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  124",",,a","  -28",",,a",,,,,,,,,,,,,"   44","H,,S"
"ASN00091306","2018-07-15","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"   74",",,a",,,,,,,,,,,,,,,"   61","H,,S"
"ASN00091306","2018-07-16","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  116",",,a","    5",",,a",,,,,,,,,,,,,"   96","H,,S"
"ASN00091306","2018-07-17","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  139",",,a","   37",",,a",,,,,,,,,,,,,"   74","H,,S"
"ASN00091306","2018-07-18","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  115",",,a","   44",",,a",,,,,,,,,,,,,"  101","H,,S"
"ASN00091306","2018-07-19","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","  178",",,a","  106",",,a","   55",",,a",,,,,,,,,,,,,"   63","H,,S"
"ASN00091306","2018-07-20","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   40",",,a","  108",",,a","   18",",,a",,,,,,,,,,,,,"   49","H,,S"
"ASN00091306","2018-07-21","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  117",",,a","   -4",",,a",,,,,,,,,,,,,"   47","H,,S"
"ASN00091306","2018-07-22","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"   94",",,a",,,,,,,,,,,,,,,"   75","H,,S"
"ASN00091306","2018-07-23","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  126",",,a",,,,,,,,,,,,,,,"   90","H,,S"
"ASN00091306","2018-07-24","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  117",",,a",,,,,,,,,,,,,,,"   65","H,,S"
"ASN00091306","2018-07-25","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  124",",,a",,,,,,,,,,,,,,,"   56","H,,S"
"ASN00091306","2018-07-26","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  132",",,a",,,,,,,,,,,,,,,"   80","H,,S"
"ASN00091306","2018-07-27","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  129",",,a","   33",",,a",,,,,,,,,,,,,"   61","H,,S"
"ASN00091306","2018-07-28","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    8",",,a","  117",",,a","  -22",",,a",,,,,,,,,,,,,"   65","H,,S"
"ASN00091306","2018-07-29","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,,,,,,,,,,,,,,,,,"   75","H,,S"
"ASN00091306","2018-07-30","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS",,,"  117",",,a","   47",",,a",,,,,,,,,,,,,"   87","H,,S"
"ASN00091306","2018-07-31","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","   98",",,a","  118",",,a","   68",",,a",,,,,,,,,,,,,"   67","H,,S"
"ASN00091306","2018-08-01","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    8",",,a","  133",",,a","   27",",,a",,,,,,,,,,,,,"   52","H,,S"
"ASN00091306","2018-08-02","-41.7256","147.0794","148.0","CRESSY RESEARCH STATION, AS","    0",",,a","  103",",,a","  -26",",,a",,,,,,,,,,,,,"   59","H,,S"
