"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00092114","2018-06-14","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  138",",,a","   73",",,a"
"ASN00092114","2018-06-15","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    6",",,a","  138",",,a","   80",",,a"
"ASN00092114","2018-06-16","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  106",",,a","   77",",,a"
"ASN00092114","2018-06-17","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","   74",",,a","  134",",,a","   67",",,a"
"ASN00092114","2018-06-18","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","  244",",,a","  104",",,a","   70",",,a"
"ASN00092114","2018-06-19","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","   16",",,a","  125",",,a","   70",",,a"
"ASN00092114","2018-06-20","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","   20",",,a","  153",",,a","   65",",,a"
"ASN00092114","2018-06-21","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  148",",,a","   84",",,a"
"ASN00092114","2018-06-22","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  148",",,a","   43",",,a"
"ASN00092114","2018-06-23","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  131",",,a","   86",",,a"
"ASN00092114","2018-06-24","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  119",",,a","   63",",,a"
"ASN00092114","2018-06-25","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  163",",,a","   73",",,a"
"ASN00092114","2018-06-26","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  144",",,a","   35",",,a"
"ASN00092114","2018-06-27","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    4",",,a","  131",",,a","   39",",,a"
"ASN00092114","2018-06-28","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    2",",,a","  139",",,a","   33",",,a"
"ASN00092114","2018-06-29","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","   48",",,a","  161",",,a","   42",",,a"
"ASN00092114","2018-06-30","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  143",",,a","   81",",,a"
"ASN00092114","2018-07-01","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    2",",,a","  143",",,a","   50",",,a"
"ASN00092114","2018-07-02","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    2",",,a","  161",",,a","   55",",,a"
"ASN00092114","2018-07-03","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  142",",,a","   78",",,a"
"ASN00092114","2018-07-04","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  189",",,a","  103",",,a"
"ASN00092114","2018-07-05","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  176",",,a","  100",",,a"
"ASN00092114","2018-07-06","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    8",",,a","  132",",,a","   95",",,a"
"ASN00092114","2018-07-07","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    0",",,a","  125",",,a","   89",",,a"
"ASN00092114","2018-07-08","-41.9953","148.2794","55.0","FRIENDLY BEACHES, AS","    2",",,a","  106",",,a","   53",",,a"
