"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"BF000078073","2018-06-29","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","   41",",,S",,,,,"  280","H,,S"
"BF000078073","2018-06-30","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S",,,,,"  289","H,,S"
"BF000078073","2018-07-01","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    3","D,,S",,,,,"  288","H,,S"
"BF000078073","2018-07-02","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    5",",,S","  327",",,S","  250",",,S","  281","H,,S"
"BF000078073","2018-07-03","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S",,,,,"  278","H,,S"
"BF000078073","2018-07-04","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    3",",,S",,,,,"  283","H,,S"
"BF000078073","2018-07-05","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S","  326",",,S","  252",",,S","  291","H,,S"
"BF000078073","2018-07-06","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF",,,,,,,"  292","H,,S"
"BF000078073","2018-07-07","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S",,,,,"  288","H,,S"
"BF000078073","2018-07-08","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S","  332",",,S","  247",",,S","  292","H,,S"
"BF000078073","2018-07-09","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S","  334",",,S","  252",",,S","  297","H,,S"
"BF000078073","2018-07-10","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF",,,,,,,"  292","H,,S"
"BF000078073","2018-07-11","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","  231","D,,S",,,,,"  270","H,,S"
"BF000078073","2018-07-12","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF",,,,,,,"  274","H,,S"
"BF000078073","2018-07-13","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0","D,,S","  336",",,S","  234",",,S","  291","H,,S"
"BF000078073","2018-07-14","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S",,,,,"  281","H,,S"
"BF000078073","2018-07-15","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    3",",,S",,,,,"  289","H,,S"
"BF000078073","2018-07-16","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","   30",",,S","  335",",,S","  239",",,S","  288","H,,S"
"BF000078073","2018-07-17","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S","  331",",,S","  239",",,S","  297","H,,S"
"BF000078073","2018-07-18","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S","  334",",,S","  250",",,S","  293","H,,S"
"BF000078073","2018-07-19","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S","  334",",,S","  260",",,S","  293","H,,S"
"BF000078073","2018-07-20","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF",,,,,,,"  291","H,,S"
"BF000078073","2018-07-21","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF",,,,,,,"  298","H,,S"
"BF000078073","2018-07-22","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0","D,,S","  345",",,S","  268",",,S","  292","H,,S"
"BF000078073","2018-07-23","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    5",",,S",,,,,"  283","H,,S"
"BF000078073","2018-07-24","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    5",",,S",,,,,"  286","H,,S"
"BF000078073","2018-07-25","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","   36",",,S","  328",",,S","  257",",,S","  294","H,,S"
"BF000078073","2018-07-26","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S",,,,,"  292","H,,S"
"BF000078073","2018-07-27","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    5",",,S","  334",",,S","  261",",,S","  298","H,,S"
"BF000078073","2018-07-28","25.05","-77.467","5.0","NASSAU AIRPORT NEW, BF","    0",",,S",,,,,"  287","H,,S"
