"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"BKM00014652","2018-06-19","44.0667","18.2667","2067.0","BJELASNICA, BK","   53",",,S",,,"   91",",,S","   76",",,S","   87","H,,S"
"BKM00014652","2018-06-20","44.0667","18.2667","2067.0","BJELASNICA, BK","  109",",,S",,,,,"   81",",,S","  106","H,,S"
"BKM00014652","2018-06-21","44.0667","18.2667","2067.0","BJELASNICA, BK","    0",",,S",,,,,"   94",",,S","  113","H,,S"
"BKM00014652","2018-06-22","44.0667","18.2667","2067.0","BJELASNICA, BK","  203",",,S",,,,,,,"   63","H,,S"
"BKM00014652","2018-06-23","44.0667","18.2667","2067.0","BJELASNICA, BK","  305",",,S",,,,,"  -14",",,S","    3","H,,S"
"BKM00014652","2018-06-24","44.0667","18.2667","2067.0","BJELASNICA, BK","    0",",,S",,,,,"    6",",,S","   24","H,,S"
"BKM00014652","2018-06-25","44.0667","18.2667","2067.0","BJELASNICA, BK",,,,,,,"   12",",,S","   37","H,,S"
"BKM00014652","2018-06-26","44.0667","18.2667","2067.0","BJELASNICA, BK","   33",",,S",,,,,"   30",",,S","   36","H,,S"
"BKM00014652","2018-06-27","44.0667","18.2667","2067.0","BJELASNICA, BK","   66",",,S",,,,,"   30",",,S","   37","H,,S"
"BKM00014652","2018-06-28","44.0667","18.2667","2067.0","BJELASNICA, BK","   97",",,S",,,,,"   40",",,S","   55","H,,S"
"BKM00014652","2018-06-29","44.0667","18.2667","2067.0","BJELASNICA, BK","    3",",,S",,,,,"   48",",,S","   73","H,,S"
"BKM00014652","2018-06-30","44.0667","18.2667","2067.0","BJELASNICA, BK","   84",",,S",,,,,"   77",",,S","   90","H,,S"
"BKM00014652","2018-07-01","44.0667","18.2667","2067.0","BJELASNICA, BK","    3",",,S",,,,,"   76",",,S","   92","H,,S"
"BKM00014652","2018-07-02","44.0667","18.2667","2067.0","BJELASNICA, BK","   18",",,S",,,"  136",",,S","   90",",,S","  120","H,,S"
"BKM00014652","2018-07-03","44.0667","18.2667","2067.0","BJELASNICA, BK","    0",",,S",,,,,"  103",",,S","  135","H,,S"
"BKM00014652","2018-07-04","44.0667","18.2667","2067.0","BJELASNICA, BK","    0",",,S",,,"  138",",,S",,,"  120","H,,S"
"BKM00014652","2018-07-05","44.0667","18.2667","2067.0","BJELASNICA, BK","   33",",,S",,,"  157",",,S","  100",",,S","  131","H,,S"
"BKM00014652","2018-07-06","44.0667","18.2667","2067.0","BJELASNICA, BK","    0",",,S",,,"  154",",,S",,,"  130","H,,S"
"BKM00014652","2018-07-07","44.0667","18.2667","2067.0","BJELASNICA, BK","  231",",,S",,,,,,,"   83","H,,S"
"BKM00014652","2018-07-08","44.0667","18.2667","2067.0","BJELASNICA, BK","   74",",,S",,,,,"   57",",,S","   72","H,,S"
"BKM00014652","2018-07-09","44.0667","18.2667","2067.0","BJELASNICA, BK","    0",",,S",,,,,,,"   51","H,,S"
"BKM00014652","2018-07-10","44.0667","18.2667","2067.0","BJELASNICA, BK",,,,,,,,,"   91","H,,S"
"BKM00014652","2018-07-11","44.0667","18.2667","2067.0","BJELASNICA, BK",,,,,,,"   81",",,S","  114","H,,S"
"BKM00014652","2018-07-12","44.0667","18.2667","2067.0","BJELASNICA, BK","    0",",,S",,,"  142",",,S","   94",",,S","  125","H,,S"
"BKM00014652","2018-07-13","44.0667","18.2667","2067.0","BJELASNICA, BK","    0",",,S",,,,,,,"  109","H,,S"
"BKM00014652","2018-07-14","44.0667","18.2667","2067.0","BJELASNICA, BK","  109",",,S",,,,,"   76",",,S","  102","H,,S"
