"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"BOM00026887","2017-12-10","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,"   51",",,S","   20",",,S","   -4",",,S","    5","H,,S"
"BOM00026887","2017-12-11","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   81","B,,S","  109",",,S",,,,,"  -22","H,,S"
"BOM00026887","2017-12-12","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   13","B,,S","  109",",,S",,,"  -24",",,S","    2","H,,S"
"BOM00026887","2017-12-13","53.35","32.067","167.0","KOSTUCKOVICHI, BO","    8","B,,S","   61",",,S","   29",",,S",,,"   11","H,,S"
"BOM00026887","2017-12-14","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,"   41",",,S","    1",",,S","  -32",",,S","   -9","H,,S"
"BOM00026887","2017-12-15","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,"   30",",,S",,,"   -4",",,S","    2","H,,S"
"BOM00026887","2017-12-16","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   66","B,,S","   10",",,S","   75",",,S","    3",",,S","   47","H,,S"
"BOM00026887","2017-12-17","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   20","B,,S",,,,,,,"   12","H,,S"
"BOM00026887","2017-12-18","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,,,"   -3",",,S",,,"   -7","H,,S"
"BOM00026887","2017-12-19","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   41","B,,S","   61",",,S","    2",",,S","  -15",",,S","   -8","H,,S"
"BOM00026887","2017-12-20","53.35","32.067","167.0","KOSTUCKOVICHI, BO","    3","B,,S","   79",",,S","   -6",",,S",,,"  -12","H,,S"
"BOM00026887","2017-12-21","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   13","B,,S","   71",",,S","  -21",",,S",,,"  -29","H,,S"
"BOM00026887","2017-12-22","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   10","B,,S","   79",",,S","  -34",",,S","  -46",",,S","  -39","H,,S"
"BOM00026887","2017-12-23","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   10","B,,S","   89",",,S","   -8",",,S","  -40",",,S","  -21","H,,S"
"BOM00026887","2017-12-24","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   79","B,,S","  140",",,S","   20",",,S","  -24",",,S","    3","H,,S"
"BOM00026887","2017-12-25","53.35","32.067","167.0","KOSTUCKOVICHI, BO","    0","B,,S","   89",",,S","   16",",,S","  -17",",,S","   -2","H,,S"
"BOM00026887","2017-12-26","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,"   71",",,S","   38",",,S","  -17",",,S","   23","H,,S"
"BOM00026887","2017-12-27","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,"   30",",,S","   14",",,S","   -5",",,S","    4","H,,S"
"BOM00026887","2017-12-28","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,"   20",",,S",,,"   -4",",,S","    3","H,,S"
"BOM00026887","2017-12-29","53.35","32.067","167.0","KOSTUCKOVICHI, BO","    3","B,,S",,,"   71",",,S","    5",",,S","   53","H,,S"
"BOM00026887","2017-12-30","53.35","32.067","167.0","KOSTUCKOVICHI, BO","  140","B,,S",,,,,,,"   19","H,,S"
"BOM00026887","2017-12-31","53.35","32.067","167.0","KOSTUCKOVICHI, BO","    0","B,,S",,,"   14",",,S",,,"    0","H,,S"
"BOM00026887","2018-01-01","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,,,,,"  -19",",,S","    2","H,,S"
"BOM00026887","2018-01-02","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   51","B,,S",,,"   19",",,S",,,"   12","H,,S"
"BOM00026887","2018-01-03","53.35","32.067","167.0","KOSTUCKOVICHI, BO","    3","B,,S",,,"   27",",,S","    4",",,S","   19","H,,S"
"BOM00026887","2018-01-04","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   20","B,,S",,,"   26",",,S",,,"   18","H,,S"
"BOM00026887","2018-01-05","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   41","B,,S","   10",",,S",,,"    0",",,S","    5","H,,S"
"BOM00026887","2018-01-06","53.35","32.067","167.0","KOSTUCKOVICHI, BO","   20","B,,S",,,,,"    5",",,S","   31","H,,S"
"BOM00026887","2018-01-07","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,,,"   53",",,S",,,"   26","H,,S"
"BOM00026887","2018-01-08","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,,,"   -5",",,S","  -49",",,S","  -27","H,,S"
"BOM00026887","2018-01-09","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,,,,,"  -52",",,S","  -22","H,,S"
"BOM00026887","2018-01-10","53.35","32.067","167.0","KOSTUCKOVICHI, BO","    3","B,,S","   10",",,S","   -1",",,S","  -17",",,S","  -12","H,,S"
"BOM00026887","2018-01-11","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,"   10",",,S","  -17",",,S",,,"  -23","H,,S"
"BOM00026887","2018-01-12","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,"   10",",,S",,,,,"  -50","H,,S"
"BOM00026887","2018-01-13","53.35","32.067","167.0","KOSTUCKOVICHI, BO",,,"   10",",,S",,,,,"  -76","H,,S"
