"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"BR00E3-0520","2018-06-30","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  204","H,,S"
"BR00E3-0520","2018-07-01","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  191","H,,S"
"BR00E3-0520","2018-07-02","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  211","H,,S"
"BR00E3-0520","2018-07-03","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  191","H,,S"
"BR00E3-0520","2018-07-04","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S","  234",",,S",,,"  166","H,,S"
"BR00E3-0520","2018-07-05","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  191","H,,S"
"BR00E3-0520","2018-07-06","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S","  262",",,S",,,"  208","H,,S"
"BR00E3-0520","2018-07-07","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  191","H,,S"
"BR00E3-0520","2018-07-08","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  193","H,,S"
"BR00E3-0520","2018-07-09","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  182","H,,S"
"BR00E3-0520","2018-07-10","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  122","H,,S"
"BR00E3-0520","2018-07-11","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  111","H,,S"
"BR00E3-0520","2018-07-12","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  118","H,,S"
"BR00E3-0520","2018-07-13","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,"  100",",,S","  146","H,,S"
"BR00E3-0520","2018-07-14","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  187","H,,S"
"BR00E3-0520","2018-07-15","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  196","H,,S"
"BR00E3-0520","2018-07-16","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,"  140",",,S","  205","H,,S"
"BR00E3-0520","2018-07-17","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  195","H,,S"
"BR00E3-0520","2018-07-18","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,"  150",",,S","  198","H,,S"
"BR00E3-0520","2018-07-19","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  213","H,,S"
"BR00E3-0520","2018-07-20","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  234","H,,S"
"BR00E3-0520","2018-07-21","-23.617","-46.65","802.0","SAO PAULO AEROPORT, BR","    0",",,S",,,,,"  198","H,,S"
