"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"CA001015638","2018-05-16","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  200",",,C","  100",",,C",,,"  150",",,C"
"CA001015638","2018-05-17","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  190",",,C","   90",",,C",,,"  140",",,C"
"CA001015638","2018-05-18","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0","T,,C","    0",",,C","    0",",,C","  175",",,C","   90",",,C",,,"  133",",,C"
"CA001015638","2018-05-19","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  220",",,C","  110",",,C",,,"  165",",,C"
"CA001015638","2018-05-20","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  210",",,C","  115",",,C",,,"  163",",,C"
"CA001015638","2018-05-21","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  235",",,C","  100",",,C",,,"  168",",,C"
"CA001015638","2018-05-22","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  260",",,C","  100",",,C",,,"  180",",,C"
"CA001015638","2018-05-30","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C",,,"  195",",,C",,,,,,
"CA001015638","2018-05-31","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  200",",,C","   90",",,C",,,"  145",",,C"
"CA001015638","2018-06-01","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    4",",,C","    0",",,C","    0",",,C","  185",",,C","   90",",,C",,,"  138",",,C"
"CA001015638","2018-06-02","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  200",",,C","  110",",,C",,,"  155",",,C"
"CA001015638","2018-06-03","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    4",",,C","    0",",,C","    0",",,C","  165",",,C","  120",",,C",,,"  143",",,C"
"CA001015638","2018-06-04","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  190",",,C","   95",",,C",,,"  143",",,C"
"CA001015638","2018-06-05","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0","T,,C","    0",",,C","    0",",,C","  170",",,C","   90",",,C",,,"  130",",,C"
"CA001015638","2018-06-06","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  210",",,C","   85",",,C",,,"  148",",,C"
"CA001015638","2018-06-07","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    8",",,C","    0",",,C","    0",",,C","  195",",,C","  110",",,C",,,"  153",",,C"
"CA001015638","2018-06-08","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","   54",",,C","    0",",,C","    0",",,C","  160",",,C","  110",",,C",,,"  135",",,C"
"CA001015638","2018-06-09","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    2",",,C","    0",",,C","    0",",,C","  185",",,C","   80",",,C",,,"  133",",,C"
"CA001015638","2018-06-10","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    4",",,C","    0",",,C","    0",",,C","  160",",,C","   90",",,C",,,"  125",",,C"
"CA001015638","2018-06-11","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  195",",,C","   70",",,C",,,"  133",",,C"
"CA001015638","2018-06-12","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  160",",,C","   70",",,C",,,"  115",",,C"
"CA001015638","2018-06-21","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C",,,"  165",",,C",,,,,,
"CA001015638","2018-06-22","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  215",",,C","  100",",,C",,,"  158",",,C"
"CA001015638","2018-06-23","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  230",",,C","  125",",,C",,,"  178",",,C"
"CA001015638","2018-06-24","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","   70",",,C","    0",",,C","    0",",,C","  180",",,C","  110",",,C",,,"  145",",,C"
"CA001015638","2018-06-25","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  200",",,C","  110",",,C",,,"  155",",,C"
"CA001015638","2018-06-26","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  230",",,C","  110",",,C",,,"  170",",,C"
"CA001015638","2018-06-27","48.7667","-123.2833","98.0","NORTH PENDER ISLAND, BC CA","    0",",,C","    0",",,C","    0",",,C","  220",",,C","  115",",,C",,,"  168",",,C"
