"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"CA003032450","2018-07-03","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","   43",",,C",,,"  175",",,C","   35",",,C","  105",",,C"
"CA003032450","2018-07-04","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","   26",",,C",,,"  219",",,C","   95",",,C","  157",",,C"
"CA003032450","2018-07-05","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  305",",,C","   74",",,C","  190",",,C"
"CA003032450","2018-07-06","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  372",",,C","  181",",,C","  277",",,C"
"CA003032450","2018-07-07","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  297",",,C","  151",",,C","  224",",,C"
"CA003032450","2018-07-08","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  280",",,C","   88",",,C","  184",",,C"
"CA003032450","2018-07-09","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  318",",,C","  113",",,C","  216",",,C"
"CA003032450","2018-07-10","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  347",",,C","  121",",,C","  234",",,C"
"CA003032450","2018-07-11","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  266",",,C","  115",",,C","  191",",,C"
"CA003032450","2018-07-12","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  311",",,C","   86",",,C","  199",",,C"
"CA003032450","2018-07-13","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  345",",,C","  114",",,C","  230",",,C"
"CA003032450","2018-07-14","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  243",",,C","   85",",,C","  164",",,C"
"CA003032450","2018-07-15","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  294",",,C","   36",",,C","  165",",,C"
"CA003032450","2018-07-16","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  342",",,C","   74",",,C","  208",",,C"
"CA003032450","2018-07-17","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  368",",,C","  133",",,C","  250",",,C"
"CA003032450","2018-07-18","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  308",",,C","  168",",,C","  238",",,C"
"CA003032450","2018-07-19","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","  105",",,C",,,"  316",",,C","  114",",,C","  215",",,C"
"CA003032450","2018-07-20","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  337",",,C","  132",",,C","  235",",,C"
"CA003032450","2018-07-21","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  310",",,C","   81",",,C","  196",",,C"
"CA003032450","2018-07-22","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  246",",,C","   87",",,C","  166",",,C"
"CA003032450","2018-07-23","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  295",",,C","   52",",,C","  173",",,C"
"CA003032450","2018-07-24","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    7",",,C",,,"  250",",,C","  111",",,C","  181",",,C"
"CA003032450","2018-07-25","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    4",",,C",,,"  239",",,C","  102",",,C","  170",",,C"
"CA003032450","2018-07-26","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  270",",,C","   61",",,C","  165",",,C"
"CA003032450","2018-07-27","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  261",",,C","  109",",,C","  185",",,C"
"CA003032450","2018-07-28","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  280",",,C","  104",",,C","  192",",,C"
"CA003032450","2018-07-29","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  297",",,C","   70",",,C","  184",",,C"
"CA003032450","2018-07-30","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  343",",,C","   84",",,C","  213",",,C"
"CA003032450","2018-07-31","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  292",",,C","  154",",,C","  223",",,C"
"CA003032450","2018-08-01","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  347",",,C","  164",",,C","  255",",,C"
"CA003032450","2018-08-02","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  331",",,C","  109",",,C","  220",",,C"
"CA003032450","2018-08-03","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","   16",",,C",,,"  302",",,C","   85",",,C","  193",",,C"
"CA003032450","2018-08-04","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  244",",,C","   82",",,C","  163",",,C"
"CA003032450","2018-08-05","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  242",",,C","  111",",,C","  176",",,C"
"CA003032450","2018-08-06","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  319",",,C","   80",",,C","  199",",,C"
"CA003032450","2018-08-08","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  339",",,C","   98",",,C","  218",",,C"
"CA003032450","2018-08-09","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA",,,,,"  356",",,C","  110",",,C","  233",",,C"
"CA003032450","2018-08-10","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  404",",,C","  141",",,C","  273",",,C"
"CA003032450","2018-08-11","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  327",",,C","  152",",,C","  240",",,C"
"CA003032450","2018-08-12","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  274",",,C","  131",",,C","  202",",,C"
"CA003032450","2018-08-13","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  215",",,C","   82",",,C","  149",",,C"
"CA003032450","2018-08-14","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA",,,,,"  302",",,C","   72",",,C","  187",",,C"
"CA003032450","2018-08-15","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA",,,,,"  333",",,C","   98",",,C","  216",",,C"
"CA003032450","2018-08-16","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    4",",,C",,,"  306",",,C","   88",",,C","  197",",,C"
"CA003032450","2018-08-17","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA",,,,,"  327",",,C","  105",",,C","  216",",,C"
"CA003032450","2018-08-18","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    4",",,C",,,"  261",",,C","   84",",,C","  173",",,C"
"CA003032450","2018-08-19","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  237",",,C","   41",",,C","  139",",,C"
"CA003032450","2018-08-20","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  235",",,C","   97",",,C","  166",",,C"
"CA003032450","2018-08-21","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  244",",,C","   28",",,C","  136",",,C"
"CA003032450","2018-08-22","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA",,,,,"  314",",,C","   74",",,C","  194",",,C"
"CA003032450","2018-08-23","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    4",",,C",,,"  325",",,C","   68",",,C","  196",",,C"
"CA003032450","2018-08-24","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  192",",,C","   93",",,C","  142",",,C"
"CA003032450","2018-08-25","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  228",",,C","   35",",,C","  132",",,C"
"CA003032450","2018-08-26","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  226",",,C","   99",",,C","  163",",,C"
"CA003032450","2018-08-27","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","  107",",,C",,,"  152",",,C","   38",",,C","   95",",,C"
"CA003032450","2018-08-28","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA",,,,,"  220",",,C","    7",",,C","  113",",,C"
"CA003032450","2018-08-29","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    4",",,C",,,"  271",",,C","   60",",,C","  165",",,C"
"CA003032450","2018-08-30","49.55","-111.05","845.0","ETZIKOM AGCM, AB CA","    0",",,C",,,"  229",",,C","   83",",,C","  156",",,C"
