"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"CA003073146","2018-06-20","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  335",",,C","  115",",,C","  225",",,C"
"CA003073146","2018-06-21","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  300",",,C","  180",",,C","  240",",,C"
"CA003073146","2018-06-22","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    2",",,C","    0",",,C","    0",",,C","  275",",,C","  135",",,C","  205",",,C"
"CA003073146","2018-06-23","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  265",",,C","  140",",,C","  203",",,C"
"CA003073146","2018-06-24","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  275",",,C","  150",",,C","  213",",,C"
"CA003073146","2018-06-25","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","  178",",,C","    0",",,C","    0",",,C","  280",",,C","  125",",,C","  203",",,C"
"CA003073146","2018-06-26","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","   42",",,C","    0",",,C","    0",",,C","  180",",,C","   95",",,C","  138",",,C"
"CA003073146","2018-06-27","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","   12",",,C","    0",",,C","    0",",,C","  150",",,C","  120",",,C","  135",",,C"
"CA003073146","2018-06-28","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","   38",",,C","    0",",,C","    0",",,C","  140",",,C","  115",",,C","  128",",,C"
"CA003073146","2018-06-29","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","   22",",,C","    0",",,C","    0",",,C","  175",",,C","  100",",,C","  138",",,C"
"CA003073146","2018-06-30","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","  244",",,C","    0",",,C","    0",",,C","  195",",,C","   95",",,C","  145",",,C"
"CA003073146","2018-07-01","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","   28",",,C","    0",",,C","    0",",,C","  200",",,C","  105",",,C","  153",",,C"
"CA003073146","2018-07-02","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","   58",",,C","    0",",,C","    0",",,C","  160",",,C","  110",",,C","  135",",,C"
"CA003073146","2018-07-03","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  220",",,C","  110",",,C","  165",",,C"
"CA003073146","2018-07-04","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  230",",,C","   75",",,C","  153",",,C"
"CA003073146","2018-07-05","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  270",",,C","   80",",,C","  175",",,C"
"CA003073146","2018-07-06","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","   18",",,C","    0",",,C","    0",",,C","  270",",,C","  110",",,C","  190",",,C"
"CA003073146","2018-07-07","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","   12",",,C","    0",",,C","    0",",,C","  170",",,C","   85",",,C","  128",",,C"
"CA003073146","2018-07-08","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  250",",,C","   60",",,C","  155",",,C"
"CA003073146","2018-07-09","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  275",",,C","   95",",,C","  185",",,C"
"CA003073146","2018-07-10","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  285",",,C","  105",",,C","  195",",,C"
"CA003073146","2018-07-11","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    0",",,C","    0",",,C","    0",",,C","  265",",,C","  100",",,C","  183",",,C"
"CA003073146","2018-07-12","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","   32",",,C","    0",",,C","    0",",,C","  225",",,C","  130",",,C","  178",",,C"
"CA003073146","2018-07-13","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","   22",",,C","    0",",,C","    0",",,C","  155",",,C","  110",",,C","  133",",,C"
"CA003073146","2018-07-14","58.6167","-117.1667","338.0","HIGH LEVEL A, AB CA","    2",",,C","    0",",,C","    0",",,C","  180",",,C","   90",",,C","  135",",,C"
