"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA007011983","2018-06-23","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  249",",,C","   70",",,C","  160",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-06-24","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","  258",",,C","   94",",,C","  176",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-06-25","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  255",",,C","   51",",,C","  153",",,C","   30",",,C","  350",",,C"
"CA007011983","2018-06-26","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  253",",,C","   31",",,C","  142",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-06-27","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  266",",,C","   67",",,C","  167",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-06-28","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   91",",,C","  217",",,C","  131",",,C","  174",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-06-29","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   26",",,C","  279",",,C","  128",",,C","  204",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-06-30","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   46",",,C","  266",",,C","  145",",,C","  206",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-07-01","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  251",",,C","  151",",,C","  201",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-07-02","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   65",",,C","  339",",,C","  161",",,C","  250",",,C","   28",",,C","  560",",,C"
"CA007011983","2018-07-03","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   15",",,C","  320",",,C","  150",",,C","  235",",,C","   29",",,C","  320",",,C"
"CA007011983","2018-07-04","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  327",",,C","  139",",,C","  233",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-07-05","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  329",",,C","  152",",,C","  241",",,C","   29",",,C","  440",",,C"
"CA007011983","2018-07-06","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   44",",,C","  239",",,C","   48",",,C","  144",",,C","   32",",,C","  520",",,C"
"CA007011983","2018-07-07","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  266",",,C","   36",",,C","  151",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-07-08","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  277",",,C","  103",",,C","  190",",,C","   22",",,C","  370",",,C"
"CA007011983","2018-07-09","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   49",",,C","  301",",,C","  115",",,C","  208",",,C","   30",",,C","  370",",,C"
"CA007011983","2018-07-10","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  264",",,C","  110",",,C","  187",",,C","   31",",,C","  390",",,C"
"CA007011983","2018-07-11","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  263",",,C","   51",",,C","  157",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-07-12","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  287",",,C","  127",",,C","  207",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-07-13","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  294",",,C","   98",",,C","  196",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-07-14","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   30",",,C","  216",",,C","  168",",,C","  192",",,C","    0",",,C","    0",",,C"
"CA007011983","2018-07-15","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA",,,"  288",",,C",,,,,"    0",",,C","    0",",,C"
"CA007011983","2018-07-16","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  306",",,C","  112",",,C","  209",",,C",,,,
"CA007011983","2018-07-17","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  170",",,C","  259",",,C","  140",",,C","  199",",,C","   33",",,C","  500",",,C"
"CA007011983","2018-07-18","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   12",",,C","  247",",,C","   71",",,C","  159",",,C",,,,
"CA007011983","2018-07-19","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  255",",,C","   54",",,C","  155",",,C",,,,
"CA007011983","2018-07-20","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  304",",,C","  102",",,C","  203",",,C",,,,
"CA007011983","2018-07-21","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  307",",,C","  136",",,C","  222",",,C",,,,
"CA007011983","2018-07-22","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","  249",",,C","  129",",,C","  189",",,C",,,,
"CA007011983","2018-07-24","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","  293",",,C","  214",",,C","  253",",,C",,,,
"CA007011983","2018-07-25","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  209",",,C","  284",",,C","  196",",,C","  240",",,C",,,,
"CA007011983","2018-07-26","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  126",",,C","  252",",,C","  167",",,C","  209",",,C",,,,
"CA007011983","2018-07-27","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  279",",,C","  148",",,C","  213",",,C",,,,
"CA007011983","2018-07-28","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   74",",,C","  275",",,C","  134",",,C","  205",",,C",,,,
"CA007011983","2018-07-29","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   10",",,C","  266",",,C","  121",",,C","  193",",,C",,,,
"CA007011983","2018-07-30","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","  270",",,C","  110",",,C","  190",",,C",,,,
"CA007011983","2018-07-31","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA",,,"  289",",,C","  125",",,C","  207",",,C",,,,
"CA007011983","2018-08-01","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  263",",,C","  137",",,C","  200",",,C",,,,
"CA007011983","2018-08-02","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  129",",,C","  278",",,C","  154",",,C","  216",",,C",,,,
"CA007011983","2018-08-03","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  266",",,C","  150",",,C","  208",",,C",,,,
"CA007011983","2018-08-04","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","  288",",,C","  144",",,C","  216",",,C",,,,
"CA007011983","2018-08-05","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  289",",,C","  161",",,C","  225",",,C",,,,
"CA007011983","2018-08-06","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  304",",,C","  166",",,C","  235",",,C",,,,
"CA007011983","2018-08-07","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   41",",,C","  287",",,C","  170",",,C","  229",",,C",,,,
"CA007011983","2018-08-08","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  288",",,C","  168",",,C","  228",",,C",,,,
"CA007011983","2018-08-09","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   20",",,C","  277",",,C","  147",",,C","  212",",,C",,,,
"CA007011983","2018-08-10","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  261",",,C","  100",",,C","  180",",,C",,,,
"CA007011983","2018-08-11","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  285",",,C","   93",",,C","  189",",,C",,,,
"CA007011983","2018-08-12","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  308",",,C","  107",",,C","  208",",,C",,,,
"CA007011983","2018-08-13","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  316",",,C","  116",",,C","  216",",,C",,,,
"CA007011983","2018-08-14","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  312",",,C","  152",",,C","  232",",,C",,,,
"CA007011983","2018-08-15","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   94",",,C","  284",",,C","  104",",,C","  194",",,C",,,,
"CA007011983","2018-08-16","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  255",",,C","   82",",,C","  169",",,C",,,,
"CA007011983","2018-08-17","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  240",",,C","  237",",,C","   75",",,C","  156",",,C",,,,
"CA007011983","2018-08-18","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  264",",,C","  122",",,C","  193",",,C",,,,
"CA007011983","2018-08-19","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  246",",,C","  114",",,C","  180",",,C",,,,
"CA007011983","2018-08-20","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  278",",,C","   95",",,C","  187",",,C",,,,
"CA007011983","2018-08-21","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  253",",,C","  109",",,C","  181",",,C",,,,
"CA007011983","2018-08-22","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  128",",,C","  216",",,C","  140",",,C","  178",",,C",,,,
"CA007011983","2018-08-23","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  247",",,C","  102",",,C","  174",",,C",,,,
"CA007011983","2018-08-24","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  263",",,C","   92",",,C","  177",",,C",,,,
"CA007011983","2018-08-25","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  284",",,C","  110",",,C","  197",",,C",,,,
"CA007011983","2018-08-26","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  253",",,C","  138",",,C","  195",",,C",,,,
"CA007011983","2018-08-27","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  290",",,C","  171",",,C","  230",",,C",,,,
"CA007011983","2018-08-28","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   26",",,C","  287",",,C","  151",",,C","  219",",,C",,,,
"CA007011983","2018-08-29","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   46",",,C","  243",",,C","  132",",,C","  188",",,C",,,,
"CA007011983","2018-08-30","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  227",",,C","   66",",,C","  147",",,C",,,,
"CA007011983","2018-08-31","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  221",",,C","   59",",,C","  140",",,C",,,,
"CA007011983","2018-09-01","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  234",",,C","  130",",,C","  182",",,C",,,,
"CA007011983","2018-09-02","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  275",",,C","  219",",,C","  154",",,C","  187",",,C",,,,
"CA007011983","2018-09-03","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   29",",,C","  263",",,C","  161",",,C","  212",",,C",,,,
"CA007011983","2018-09-04","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   29",",,C","  278",",,C","  109",",,C","  193",",,C",,,,
"CA007011983","2018-09-05","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  275",",,C","  135",",,C","  205",",,C",,,,
"CA007011983","2018-09-06","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  242",",,C","   66",",,C","  154",",,C",,,,
"CA007011983","2018-09-07","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","  223",",,C","   34",",,C","  128",",,C",,,,
"CA007011983","2018-09-08","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  183",",,C","    5",",,C","   94",",,C",,,,
"CA007011983","2018-09-09","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  199",",,C","  -15",",,C","   92",",,C",,,,
"CA007011983","2018-09-10","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  182",",,C","   30",",,C","  106",",,C",,,,
"CA007011983","2018-09-11","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  109",",,C","  177",",,C","  113",",,C","  145",",,C",,,,
"CA007011983","2018-09-12","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  241",",,C","   97",",,C","  169",",,C",,,,
"CA007011983","2018-09-13","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  273",",,C","   79",",,C","  176",",,C",,,,
"CA007011983","2018-09-14","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  280",",,C","   88",",,C","  184",",,C",,,,
"CA007011983","2018-09-15","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  281",",,C","  101",",,C","  191",",,C",,,,
"CA007011983","2018-09-16","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  280",",,C","  128",",,C","  204",",,C",,,,
"CA007011983","2018-09-17","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  289",",,C","  117",",,C","  203",",,C",,,,
"CA007011983","2018-09-18","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  204",",,C","   86",",,C","  145",",,C",,,,
"CA007011983","2018-09-19","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  153",",,C","   83",",,C","  118",",,C",,,,
"CA007011983","2018-09-20","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  195",",,C","   61",",,C","  128",",,C",,,,
"CA007011983","2018-09-21","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  180",",,C","  189",",,C","   96",",,C","  142",",,C",,,,
"CA007011983","2018-09-22","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   12",",,C","  174",",,C","   -9",",,C","   83",",,C",,,,
"CA007011983","2018-09-23","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  110",",,C","  -23",",,C","   43",",,C",,,,
"CA007011983","2018-09-24","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  124",",,C","  -48",",,C","   38",",,C",,,,
"CA007011983","2018-09-25","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  112",",,C","  130",",,C","   53",",,C","   92",",,C",,,,
"CA007011983","2018-09-26","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  161",",,C","  217",",,C","   50",",,C","  133",",,C",,,,
"CA007011983","2018-09-27","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  191",",,C","   17",",,C","  104",",,C",,,,
"CA007011983","2018-09-28","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  205",",,C","  101",",,C","  153",",,C",,,,
"CA007011983","2018-09-29","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   62",",,C","  175",",,C","   64",",,C","  119",",,C",,,,
"CA007011983","2018-09-30","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  127",",,C","    9",",,C","   68",",,C",,,,
"CA007011983","2018-10-02","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  111",",,C","   60",",,C","   85",",,C","   12",",,C","  350",",,C"
"CA007011983","2018-10-03","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  111",",,C","   82",",,C","   96",",,C",,,,
"CA007011983","2018-10-04","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   26",",,C","  199",",,C","   -1",",,C","   99",",,C","   32",",,C","  520",",,C"
"CA007011983","2018-10-05","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  122",",,C","  -30",",,C","   46",",,C",,,,
"CA007011983","2018-10-06","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  102",",,C","   21",",,C","   62",",,C",,,,
"CA007011983","2018-10-07","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   90",",,C","   58",",,C","   74",",,C",,,,
"CA007011983","2018-10-08","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   62",",,C","   95",",,C","   53",",,C","   74",",,C",,,,
"CA007011983","2018-10-09","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   39",",,C","  217",",,C","   69",",,C","  143",",,C",,,,
"CA007011983","2018-10-10","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   50",",,C","  156",",,C","   57",",,C","  107",",,C","   10",",,C","  450",",,C"
"CA007011983","2018-10-11","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  221",",,C","   63",",,C","   52",",,C","   57",",,C","   12",",,C","  480",",,C"
"CA007011983","2018-10-12","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","  115",",,C","   11",",,C","   63",",,C",,,,
"CA007011983","2018-10-13","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   80",",,C","  -28",",,C","   26",",,C",,,,
"CA007011983","2018-10-14","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  126",",,C","  -23",",,C","   52",",,C","   25",",,C","  310",",,C"
"CA007011983","2018-10-15","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   83",",,C","  121",",,C","   16",",,C","   68",",,C","   27",",,C","  360",",,C"
"CA007011983","2018-10-16","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","   86",",,C","   14",",,C","   50",",,C","   27",",,C","  440",",,C"
"CA007011983","2018-10-17","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   18",",,C","  100",",,C","   -6",",,C","   47",",,C","   31",",,C","  400",",,C"
"CA007011983","2018-10-18","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","   69",",,C","  -42",",,C","   13",",,C","   33",",,C","  460",",,C"
"CA007011983","2018-10-19","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  128",",,C","  -16",",,C","   56",",,C",,,,
"CA007011983","2018-10-20","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   33",",,C","  128",",,C","  -14",",,C","   57",",,C","   30",",,C","  500",",,C"
"CA007011983","2018-10-21","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   67",",,C","  -31",",,C","   18",",,C","   28",",,C","  410",",,C"
"CA007011983","2018-10-22","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   53",",,C","  -60",",,C","   -4",",,C",,,,
"CA007011983","2018-10-23","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   66",",,C","  -63",",,C","    2",",,C","    8",",,C","  310",",,C"
"CA007011983","2018-10-24","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","   98",",,C","  -44",",,C","   27",",,C",,,,
"CA007011983","2018-10-25","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   12",",,C","   50",",,C","  -23",",,C","   14",",,C","   30",",,C","  420",",,C"
"CA007011983","2018-10-26","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   65",",,C","  -85",",,C","  -10",",,C","   33",",,C","  370",",,C"
"CA007011983","2018-10-27","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","   38",",,C","  -75",",,C","  -18",",,C","    6",",,C","  470",",,C"
"CA007011983","2018-10-28","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  135",",,C","   23",",,C","    7",",,C","   15",",,C","    9",",,C","  610",",,C"
"CA007011983","2018-10-29","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   37",",,C","   60",",,C","   21",",,C","   40",",,C",,,,
"CA007011983","2018-10-30","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   11",",,C","   64",",,C","  -37",",,C","   13",",,C",,,,
"CA007011983","2018-10-31","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   32",",,C","   19",",,C","  -41",",,C","  -11",",,C",,,,
"CA007011983","2018-11-01","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   56",",,C","   14",",,C","   35",",,C",,,,
"CA007011983","2018-11-02","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  136",",,C","   43",",,C","    8",",,C","   26",",,C","   12",",,C","  380",",,C"
"CA007011983","2018-11-03","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  276",",,C","   52",",,C","    5",",,C","   29",",,C","   28",",,C","  390",",,C"
"CA007011983","2018-11-04","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   88",",,C","  -40",",,C","   24",",,C","   33",",,C","  330",",,C"
"CA007011983","2018-11-05","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   32",",,C","   35",",,C","  -28",",,C","    3",",,C","   10",",,C","  330",",,C"
"CA007011983","2018-11-06","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   73",",,C","   97",",,C","   23",",,C","   60",",,C","   12",",,C","  340",",,C"
"CA007011983","2018-11-07","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   17",",,C","  118",",,C","   57",",,C","   87",",,C","   28",",,C","  400",",,C"
"CA007011983","2018-11-08","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   78",",,C","  -17",",,C","   31",",,C",,,,
"CA007011983","2018-11-09","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   31",",,C","   45",",,C","  -52",",,C","   -4",",,C","   10",",,C","  330",",,C"
"CA007011983","2018-11-10","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  245",",,C","   22",",,C","  -40",",,C","   -9",",,C","   29",",,C","  550",",,C"
"CA007011983","2018-11-11","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","    0",",,C"," -119",",,C","  -59",",,C","   28",",,C","  410",",,C"
"CA007011983","2018-11-12","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   -6",",,C"," -144",",,C","  -75",",,C",,,,
"CA007011983","2018-11-13","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  108",",,C","   14",",,C"," -112",",,C","  -49",",,C","   32",",,C","  430",",,C"
"CA007011983","2018-11-14","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  -64",",,C"," -189",",,C"," -126",",,C","   31",",,C","  400",",,C"
"CA007011983","2018-11-15","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  -49",",,C"," -221",",,C"," -135",",,C",,,,
"CA007011983","2018-11-16","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   78",",,C","  -44",",,C","  -78",",,C","  -61",",,C","    9",",,C","  310",",,C"
"CA007011983","2018-11-17","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","    2",",,C"," -121",",,C","  -60",",,C",,,,
"CA007011983","2018-11-18","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   20",",,C","  -29",",,C"," -169",",,C","  -99",",,C",,,,
"CA007011983","2018-11-19","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   12",",,C","  -14",",,C","  -99",",,C","  -57",",,C",,,,
"CA007011983","2018-11-20","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   23",",,C","  -50",",,C"," -101",",,C","  -75",",,C",,,,
"CA007011983","2018-11-21","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  -63",",,C"," -170",",,C"," -116",",,C","   31",",,C","  410",",,C"
"CA007011983","2018-11-22","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","  -94",",,C"," -209",",,C"," -151",",,C","   32",",,C","  390",",,C"
"CA007011983","2018-11-23","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   26",",,C","  -79",",,C"," -228",",,C"," -154",",,C",,,,
"CA007011983","2018-11-24","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   33",",,C","   30",",,C"," -152",",,C","  -61",",,C",,,,
"CA007011983","2018-11-25","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   38",",,C","    7",",,C","   -6",",,C","    0",",,C","    8",",,C","  310",",,C"
"CA007011983","2018-11-26","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   78",",,C","   13",",,C","   -5",",,C","    4",",,C","    8",",,C","  410",",,C"
"CA007011983","2018-11-27","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","  122",",,C","   26",",,C","   -8",",,C","    9",",,C","    7",",,C","  460",",,C"
"CA007011983","2018-11-28","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","   26",",,C","   31",",,C","   -8",",,C","   12",",,C",,,,
"CA007011983","2018-11-29","46.6833","-71.9667","61.0","DESCHAMBAULT, QC CA","    0",",,C","   35",",,C","  -44",",,C","   -5",",,C",,,,
