"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"CHM00054218","2018-06-28","42.3","118.833","567.0","CHIFENG, CH",,,,,,,"  172",",,S","  243","H,,S"
"CHM00054218","2018-06-29","42.3","118.833","567.0","CHIFENG, CH","   23",",,S",,,,,"  185",",,S","  243","H,,S"
"CHM00054218","2018-06-30","42.3","118.833","567.0","CHIFENG, CH",,,,,,,,,"  241","H,,S"
"CHM00054218","2018-07-01","42.3","118.833","567.0","CHIFENG, CH",,,,,,,"  178",",,S","  248","H,,S"
"CHM00054218","2018-07-02","42.3","118.833","567.0","CHIFENG, CH",,,,,"  315",",,S","  184",",,S","  263","H,,S"
"CHM00054218","2018-07-03","42.3","118.833","567.0","CHIFENG, CH",,,,,,,,,"  237","H,,S"
"CHM00054218","2018-07-04","42.3","118.833","567.0","CHIFENG, CH","   46",",,S",,,"  303",",,S",,,"  249","H,,S"
"CHM00054218","2018-07-05","42.3","118.833","567.0","CHIFENG, CH",,,,,"  315",",,S","  188",",,S","  254","H,,S"
"CHM00054218","2018-07-06","42.3","118.833","567.0","CHIFENG, CH",,,,,,,"  193",",,S","  246","H,,S"
"CHM00054218","2018-07-07","42.3","118.833","567.0","CHIFENG, CH","   66",",,S",,,,,"  200",",,S","  221","H,,S"
"CHM00054218","2018-07-08","42.3","118.833","567.0","CHIFENG, CH","   64",",,S",,,"  316",",,S",,,"  250","H,,S"
"CHM00054218","2018-07-09","42.3","118.833","567.0","CHIFENG, CH","    5",",,S",,,,,,,"  245","H,,S"
"CHM00054218","2018-07-10","42.3","118.833","567.0","CHIFENG, CH",,,,,,,"  182",",,S","  246","H,,S"
"CHM00054218","2018-07-11","42.3","118.833","567.0","CHIFENG, CH","   23",",,S",,,,,"  199",",,S","  220","H,,S"
"CHM00054218","2018-07-12","42.3","118.833","567.0","CHIFENG, CH",,,,,,,"  201",",,S","  246","H,,S"
"CHM00054218","2018-07-13","42.3","118.833","567.0","CHIFENG, CH",,,,,,,"  214",",,S","  269","H,,S"
"CHM00054218","2018-07-14","42.3","118.833","567.0","CHIFENG, CH",,,,,,,,,"  263","H,,S"
"CHM00054218","2018-07-15","42.3","118.833","567.0","CHIFENG, CH",,,,,,,"  211",",,S","  286","H,,S"
