"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"CIM00085672","2018-06-29","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","   23",",,S",,,"   68",",,S","   99","H,,S"
"CIM00085672","2018-06-30","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    3",",,S","  144",",,S","   54",",,S","   90","H,,S"
"CIM00085672","2018-07-01","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   66",",,S","   98","H,,S"
"CIM00085672","2018-07-02","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   94",",,S","  118","H,,S"
"CIM00085672","2018-07-03","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    5",",,S","  179",",,S","   59",",,S","  114","H,,S"
"CIM00085672","2018-07-04","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  151",",,S","   98",",,S","  121","H,,S"
"CIM00085672","2018-07-05","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","   15",",,S","  144",",,S","  104",",,S","  118","H,,S"
"CIM00085672","2018-07-06","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","   25",",,S","  139",",,S",,,"  114","H,,S"
"CIM00085672","2018-07-07","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","  109",",,S",,,"   87",",,S","  114","H,,S"
"CIM00085672","2018-07-08","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    5",",,S","  162",",,S","   33",",,S","   87","H,,S"
"CIM00085672","2018-07-09","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  164",",,S",,,"   60","H,,S"
"CIM00085672","2018-07-10","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   -1",",,S","   52","H,,S"
"CIM00085672","2018-07-11","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   34",",,S","   81","H,,S"
"CIM00085672","2018-07-12","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  129",",,S","   26",",,S","   66","H,,S"
"CIM00085672","2018-07-13","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   75",",,S","  113","H,,S"
"CIM00085672","2018-07-14","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  175",",,S",,,"  124","H,,S"
"CIM00085672","2018-07-15","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","   15",",,S","  145",",,S",,,"   69","H,,S"
"CIM00085672","2018-07-16","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   15",",,S","   58","H,,S"
"CIM00085672","2018-07-17","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  116",",,S","   36",",,S","   54","H,,S"
"CIM00085672","2018-07-18","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","   89",",,S","  -22",",,S","   12","H,,S"
"CIM00085672","2018-07-19","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"  -40",",,S","   12","H,,S"
"CIM00085672","2018-07-20","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"  -30",",,S","   31","H,,S"
"CIM00085672","2018-07-21","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  127",",,S","  -15",",,S","   29","H,,S"
"CIM00085672","2018-07-22","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   12",",,S","   55","H,,S"
"CIM00085672","2018-07-23","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"    9",",,S","   63","H,,S"
"CIM00085672","2018-07-24","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  139",",,S",,,"   31","H,,S"
"CIM00085672","2018-07-25","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  133",",,S","  -33",",,S","   14","H,,S"
"CIM00085672","2018-07-26","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   -4",",,S","   33","H,,S"
"CIM00085672","2018-07-27","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   -6",",,S","   47","H,,S"
"CIM00085672","2018-07-28","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   -6",",,S","   63","H,,S"
"CIM00085672","2018-07-29","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  134",",,S","    9",",,S","   49","H,,S"
"CIM00085672","2018-07-30","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"  -16",",,S","   49","H,,S"
"CIM00085672","2018-07-31","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  140",",,S",,,"   56","H,,S"
"CIM00085672","2018-08-01","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  127",",,S","   -4",",,S","   37","H,,S"
"CIM00085672","2018-08-02","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"  -26",",,S","   35","H,,S"
"CIM00085672","2018-08-03","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","   84",",,S",,,"   67",",,S","   93","H,,S"
"CIM00085672","2018-08-04","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S","  140",",,S","   -3",",,S","   53","H,,S"
"CIM00085672","2018-08-05","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   69",",,S","   89","H,,S"
"CIM00085672","2018-08-06","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","   10",",,S","  123",",,S","   79",",,S","   94","H,,S"
"CIM00085672","2018-08-07","-36.582","-72.031","150.9","GENERAL BERNARDO O HIGGINS, CI","    0",",,S",,,"   60",",,S","   98","H,,S"
