"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"EN000026214","2018-06-23","58.367","25.6","86.0","VILJANDI, EN",,,,,"  194",",,S","   86",",,S","  142","H,,S"
"EN000026214","2018-06-24","58.367","25.6","86.0","VILJANDI, EN",,,,,"  194",",,S","  100",",,S","  123","H,,S"
"EN000026214","2018-06-25","58.367","25.6","86.0","VILJANDI, EN",,,,,"  196",",,S","   89",",,S","  136","H,,S"
"EN000026214","2018-06-26","58.367","25.6","86.0","VILJANDI, EN",,,,,"  232",",,S","   76",",,S","  172","H,,S"
"EN000026214","2018-06-27","58.367","25.6","86.0","VILJANDI, EN",,,,,"  251",",,S","  104",",,S","  188","H,,S"
"EN000026214","2018-06-28","58.367","25.6","86.0","VILJANDI, EN",,,,,"  278",",,S","   28",",,S","  192","H,,S"
"EN000026214","2018-06-29","58.367","25.6","86.0","VILJANDI, EN",,,,,"  278",",,S","   91",",,S","  138","H,,S"
"EN000026214","2018-06-30","58.367","25.6","86.0","VILJANDI, EN",,,,,"  179",",,S","   77",",,S","  122","H,,S"
"EN000026214","2018-07-01","58.367","25.6","86.0","VILJANDI, EN",,,,,"  174",",,S","   92",",,S","  114","H,,S"
"EN000026214","2018-07-02","58.367","25.6","86.0","VILJANDI, EN",,,,,"  146",",,S","  101",",,S","  123","H,,S"
"EN000026214","2018-07-03","58.367","25.6","86.0","VILJANDI, EN",,,,,"  202",",,S","  107",",,S","  154","H,,S"
"EN000026214","2018-07-04","58.367","25.6","86.0","VILJANDI, EN",,,,,"  219",",,S","  106",",,S","  165","H,,S"
"EN000026214","2018-07-05","58.367","25.6","86.0","VILJANDI, EN",,,,,"  219",",,S","  124",",,S","  148","H,,S"
"EN000026214","2018-07-06","58.367","25.6","86.0","VILJANDI, EN",,,,,"  190",",,S","  130",",,S","  146","H,,S"
"EN000026214","2018-07-07","58.367","25.6","86.0","VILJANDI, EN",,,,,"  250",",,S","  126",",,S","  186","H,,S"
"EN000026214","2018-07-08","58.367","25.6","86.0","VILJANDI, EN",,,,,"  250",",,S","  128",",,S","  181","H,,S"
"EN000026214","2018-07-09","58.367","25.6","86.0","VILJANDI, EN",,,,,"  229",",,S","  146",",,S","  189","H,,S"
"EN000026214","2018-07-10","58.367","25.6","86.0","VILJANDI, EN",,,,,"  229",",,S","  140",",,S","  177","H,,S"
"EN000026214","2018-07-11","58.367","25.6","86.0","VILJANDI, EN",,,,,"  215",",,S","  118",",,S","  169","H,,S"
"EN000026214","2018-07-12","58.367","25.6","86.0","VILJANDI, EN",,,,,"  260",",,S","  113",",,S","  205","H,,S"
"EN000026214","2018-07-13","58.367","25.6","86.0","VILJANDI, EN",,,,,"  279",",,S","  148",",,S","  212","H,,S"
"EN000026214","2018-07-14","58.367","25.6","86.0","VILJANDI, EN",,,,,"  286",",,S","  155",",,S","  222","H,,S"
"EN000026214","2018-07-15","58.367","25.6","86.0","VILJANDI, EN",,,,,"  296",",,S","  142",",,S","  222","H,,S"
"EN000026214","2018-07-16","58.367","25.6","86.0","VILJANDI, EN",,,,,"  302",",,S","  160",",,S","  242","H,,S"
"EN000026214","2018-07-17","58.367","25.6","86.0","VILJANDI, EN",,,,,"  303",",,S","  168",",,S","  249","H,,S"
"EN000026214","2018-07-18","58.367","25.6","86.0","VILJANDI, EN",,,,,"  302",",,S","  172",",,S","  240","H,,S"
"EN000026214","2018-07-19","58.367","25.6","86.0","VILJANDI, EN",,,,,"  302",",,S","  168",",,S","  217","H,,S"
"EN000026214","2018-07-20","58.367","25.6","86.0","VILJANDI, EN",,,,,"  290",",,S","  164",",,S","  215","H,,S"
"EN000026214","2018-07-21","58.367","25.6","86.0","VILJANDI, EN",,,,,"  271",",,S","  168",",,S","  208","H,,S"
"EN000026214","2018-07-22","58.367","25.6","86.0","VILJANDI, EN",,,,,"  295",",,S","  159",",,S","  225","H,,S"
"EN000026214","2018-07-23","58.367","25.6","86.0","VILJANDI, EN",,,,,"  306",",,S","  154",",,S","  232","H,,S"
"EN000026214","2018-07-24","58.367","25.6","86.0","VILJANDI, EN",,,,,"  306",",,S","  169",",,S","  216","H,,S"
"EN000026214","2018-07-25","58.367","25.6","86.0","VILJANDI, EN",,,,,"  280",",,S","  153",",,S","  218","H,,S"
"EN000026214","2018-07-26","58.367","25.6","86.0","VILJANDI, EN",,,,,"  278",",,S","  157",",,S","  212","H,,S"
"EN000026214","2018-07-27","58.367","25.6","86.0","VILJANDI, EN",,,,,"  285",",,S","  150",",,S","  227","H,,S"
"EN000026214","2018-07-28","58.367","25.6","86.0","VILJANDI, EN",,,,,"  287",",,S","  198",",,S","  241","H,,S"
"EN000026214","2018-07-29","58.367","25.6","86.0","VILJANDI, EN",,,,,"  318",",,S","  215",",,S","  258","H,,S"
"EN000026214","2018-07-30","58.367","25.6","86.0","VILJANDI, EN",,,,,"  318",",,S","  197",",,S","  238","H,,S"
"EN000026214","2018-07-31","58.367","25.6","86.0","VILJANDI, EN",,,,,"  319",",,S","  190",",,S","  252","H,,S"
"EN000026214","2018-08-01","58.367","25.6","86.0","VILJANDI, EN",,,,,"  319",",,S","  178",",,S","  239","H,,S"
"EN000026214","2018-08-02","58.367","25.6","86.0","VILJANDI, EN",,,,,"  313",",,S","  178",",,S","  247","H,,S"
"EN000026214","2018-08-03","58.367","25.6","86.0","VILJANDI, EN",,,,,"  313",",,S","  169",",,S","  227","H,,S"
"EN000026214","2018-08-04","58.367","25.6","86.0","VILJANDI, EN",,,,,"  285",",,S","  169",",,S","  201","H,,S"
"EN000026214","2018-08-05","58.367","25.6","86.0","VILJANDI, EN",,,,,"  251",",,S","  160",",,S","  202","H,,S"
"EN000026214","2018-08-06","58.367","25.6","86.0","VILJANDI, EN",,,,,"  251",",,S","  135",",,S","  175","H,,S"
"EN000026214","2018-08-07","58.367","25.6","86.0","VILJANDI, EN",,,,,"  239",",,S","  135",",,S","  178","H,,S"
"EN000026214","2018-08-08","58.367","25.6","86.0","VILJANDI, EN",,,,,"  265",",,S","  115",",,S","  199","H,,S"
"EN000026214","2018-08-09","58.367","25.6","86.0","VILJANDI, EN",,,,,"  314",",,S","  138",",,S","  247","H,,S"
"EN000026214","2018-08-10","58.367","25.6","86.0","VILJANDI, EN",,,,,"  308",",,S","  199",",,S","  255","H,,S"
"EN000026214","2018-08-11","58.367","25.6","86.0","VILJANDI, EN",,,,,"  307",",,S","  151",",,S","  194","H,,S"
"EN000026214","2018-08-12","58.367","25.6","86.0","VILJANDI, EN",,,,,"  230",",,S","  129",",,S","  147","H,,S"
"EN000026214","2018-08-13","58.367","25.6","86.0","VILJANDI, EN",,,,,"  207",",,S","  103",",,S","  151","H,,S"
"EN000026214","2018-08-14","58.367","25.6","86.0","VILJANDI, EN",,,,,"  220",",,S","   89",",,S","  163","H,,S"
"EN000026214","2018-08-15","58.367","25.6","86.0","VILJANDI, EN",,,,,"  220",",,S","  142",",,S","  158","H,,S"
"EN000026214","2018-08-16","58.367","25.6","86.0","VILJANDI, EN",,,,,"  229",",,S","  131",",,S","  174","H,,S"
"EN000026214","2018-08-17","58.367","25.6","86.0","VILJANDI, EN",,,,,"  255",",,S","  113",",,S","  194","H,,S"
"EN000026214","2018-08-18","58.367","25.6","86.0","VILJANDI, EN",,,,,"  270",",,S","  164",",,S","  214","H,,S"
"EN000026214","2018-08-19","58.367","25.6","86.0","VILJANDI, EN",,,,,"  270",",,S","  143",",,S","  171","H,,S"
"EN000026214","2018-08-20","58.367","25.6","86.0","VILJANDI, EN",,,,,"  207",",,S","  143",",,S","  156","H,,S"
"EN000026214","2018-08-21","58.367","25.6","86.0","VILJANDI, EN",,,,,"  191",",,S","   91",",,S","  149","H,,S"
"EN000026214","2018-08-22","58.367","25.6","86.0","VILJANDI, EN",,,,,"  192",",,S","   73",",,S","  143","H,,S"
"EN000026214","2018-08-23","58.367","25.6","86.0","VILJANDI, EN",,,,,"  243",",,S","  117",",,S","  182","H,,S"
"EN000026214","2018-08-24","58.367","25.6","86.0","VILJANDI, EN",,,,,"  270",",,S","  118",",,S","  204","H,,S"
"EN000026214","2018-08-25","58.367","25.6","86.0","VILJANDI, EN",,,,,"  270",",,S","  126",",,S","  170","H,,S"
"EN000026214","2018-08-26","58.367","25.6","86.0","VILJANDI, EN",,,,,"  190",",,S","  115",",,S","  144","H,,S"
"EN000026214","2018-08-27","58.367","25.6","86.0","VILJANDI, EN",,,,,"  193",",,S","   95",",,S","  138","H,,S"
"EN000026214","2018-08-28","58.367","25.6","86.0","VILJANDI, EN",,,,,"  205",",,S","   90",",,S","  145","H,,S"
"EN000026214","2018-08-29","58.367","25.6","86.0","VILJANDI, EN",,,,,"  208",",,S","  104",",,S","  154","H,,S"
"EN000026214","2018-08-30","58.367","25.6","86.0","VILJANDI, EN",,,,,"  201",",,S","  124",",,S","  151","H,,S"
"EN000026214","2018-08-31","58.367","25.6","86.0","VILJANDI, EN",,,,,"  196",",,S","  108",",,S","  154","H,,S"
"EN000026214","2018-09-01","58.367","25.6","86.0","VILJANDI, EN",,,,,"  217",",,S","  137",",,S","  171","H,,S"
"EN000026214","2018-09-02","58.367","25.6","86.0","VILJANDI, EN",,,,,"  218",",,S","  114",",,S","  166","H,,S"
"EN000026214","2018-09-03","58.367","25.6","86.0","VILJANDI, EN",,,,,"  227",",,S","  116",",,S","  161","H,,S"
"EN000026214","2018-09-04","58.367","25.6","86.0","VILJANDI, EN",,,,,"  227",",,S","  131",",,S","  158","H,,S"
"EN000026214","2018-09-05","58.367","25.6","86.0","VILJANDI, EN",,,,,"  195",",,S","  119",",,S","  151","H,,S"
"EN000026214","2018-09-06","58.367","25.6","86.0","VILJANDI, EN",,,,,"  244",",,S","  138",",,S","  184","H,,S"
"EN000026214","2018-09-07","58.367","25.6","86.0","VILJANDI, EN",,,,,"  269",",,S","  121",",,S","  186","H,,S"
"EN000026214","2018-09-08","58.367","25.6","86.0","VILJANDI, EN",,,,,"  268",",,S","  119",",,S","  187","H,,S"
"EN000026214","2018-09-09","58.367","25.6","86.0","VILJANDI, EN",,,,,"  267",",,S","  132",",,S","  169","H,,S"
"EN000026214","2018-09-10","58.367","25.6","86.0","VILJANDI, EN",,,,,"  216",",,S","  114",",,S","  161","H,,S"
"EN000026214","2018-09-11","58.367","25.6","86.0","VILJANDI, EN",,,,,"  216",",,S","   98",",,S","  157","H,,S"
"EN000026214","2018-09-12","58.367","25.6","86.0","VILJANDI, EN",,,,,"  207",",,S","  123",",,S","  152","H,,S"
"EN000026214","2018-09-13","58.367","25.6","86.0","VILJANDI, EN",,,,,"  179",",,S","  101",",,S","  140","H,,S"
"EN000026214","2018-09-14","58.367","25.6","86.0","VILJANDI, EN",,,,,"  174",",,S","   99",",,S","  128","H,,S"
"EN000026214","2018-09-15","58.367","25.6","86.0","VILJANDI, EN",,,,,"  176",",,S","  103",",,S","  139","H,,S"
"EN000026214","2018-09-18","58.367","25.6","86.0","VILJANDI, EN",,,,,"  175",",,S","  124",",,S","  148","H,,S"
"EN000026214","2018-09-19","58.367","25.6","86.0","VILJANDI, EN",,,,,"  242",",,S","  127",",,S","  172","H,,S"
"EN000026214","2018-09-20","58.367","25.6","86.0","VILJANDI, EN",,,,,"  222",",,S","  143",",,S","  186","H,,S"
"EN000026214","2018-09-26","58.367","25.6","86.0","VILJANDI, EN",,,,,"  121",",,S","   44",",,S","  108","H,,S"
"EN000026214","2018-09-27","58.367","25.6","86.0","VILJANDI, EN",,,,,"  132",",,S","   56",",,S","   92","H,,S"
"EN000026214","2018-09-28","58.367","25.6","86.0","VILJANDI, EN",,,,,"  132",",,S","   42",",,S","   62","H,,S"
"EN000026214","2018-09-29","58.367","25.6","86.0","VILJANDI, EN",,,,,"  109",",,S","   21",",,S","   61","H,,S"
"EN000026214","2018-09-30","58.367","25.6","86.0","VILJANDI, EN",,,,,"  109",",,S","   55",",,S","   95","H,,S"
"EN000026214","2018-10-01","58.367","25.6","86.0","VILJANDI, EN",,,,,"  140",",,S","   70",",,S","   94","H,,S"
"EN000026214","2018-10-02","58.367","25.6","86.0","VILJANDI, EN",,,,,"  125",",,S","   60",",,S","   76","H,,S"
"EN000026214","2018-10-03","58.367","25.6","86.0","VILJANDI, EN",,,,,"  118",",,S","   49",",,S","   63","H,,S"
"EN000026214","2018-10-04","58.367","25.6","86.0","VILJANDI, EN",,,,,"   84",",,S","    8",",,S","   44","H,,S"
"EN000026214","2018-10-05","58.367","25.6","86.0","VILJANDI, EN",,,,,"  125",",,S","    8",",,S","   87","H,,S"
"EN000026214","2018-10-06","58.367","25.6","86.0","VILJANDI, EN",,,,,"  146",",,S","  109",",,S","  124","H,,S"
"EN000026214","2018-10-07","58.367","25.6","86.0","VILJANDI, EN",,,,,"  146",",,S",,,"   60","H,,S"
"EN000026214","2018-10-08","58.367","25.6","86.0","VILJANDI, EN",,,,,"   96",",,S","    0",",,S","   56","H,,S"
"EN000026214","2018-10-09","58.367","25.6","86.0","VILJANDI, EN",,,,,"  120",",,S","   73",",,S","  104","H,,S"
"EN000026214","2018-10-10","58.367","25.6","86.0","VILJANDI, EN",,,,,"  135",",,S","   92",",,S","  118","H,,S"
"EN000026214","2018-10-11","58.367","25.6","86.0","VILJANDI, EN",,,,,"  135",",,S","   73",",,S","   91","H,,S"
"EN000026214","2018-10-12","58.367","25.6","86.0","VILJANDI, EN",,,,,"  187",",,S","   91",",,S","  123","H,,S"
"EN000026214","2018-10-13","58.367","25.6","86.0","VILJANDI, EN",,,,,"  187",",,S","   91",",,S","  130","H,,S"
"EN000026214","2018-10-14","58.367","25.6","86.0","VILJANDI, EN",,,,,"  193",",,S","   94",",,S","  135","H,,S"
"EN000026214","2018-10-15","58.367","25.6","86.0","VILJANDI, EN",,,,,"  193",",,S","   90",",,S","  131","H,,S"
"EN000026214","2018-10-16","58.367","25.6","86.0","VILJANDI, EN",,,,,"  188",",,S","   67",",,S","  104","H,,S"
"EN000026214","2018-10-17","58.367","25.6","86.0","VILJANDI, EN",,,,,"  173",",,S","   67",",,S","  112","H,,S"
"EN000026214","2018-10-18","58.367","25.6","86.0","VILJANDI, EN",,,,,"  173",",,S","   71",",,S","  112","H,,S"
"EN000026214","2018-10-19","58.367","25.6","86.0","VILJANDI, EN",,,,,"  161",",,S","   31",",,S","   74","H,,S"
"EN000026214","2018-10-20","58.367","25.6","86.0","VILJANDI, EN",,,,,"  124",",,S","   21",",,S","   54","H,,S"
"EN000026214","2018-10-21","58.367","25.6","86.0","VILJANDI, EN",,,,,"  109",",,S","    4",",,S","   53","H,,S"
"EN000026214","2018-10-22","58.367","25.6","86.0","VILJANDI, EN",,,,,"  117",",,S","   41",",,S","   88","H,,S"
"EN000026214","2018-10-23","58.367","25.6","86.0","VILJANDI, EN",,,,,"  116",",,S","   26",",,S","   37","H,,S"
"EN000026214","2018-10-24","58.367","25.6","86.0","VILJANDI, EN",,,,,"   57",",,S","   10",",,S","   33","H,,S"
"EN000026214","2018-10-25","58.367","25.6","86.0","VILJANDI, EN",,,,,"   57",",,S","  -22",",,S","   17","H,,S"
"EN000026214","2018-10-26","58.367","25.6","86.0","VILJANDI, EN",,,,,"   59",",,S","  -20",",,S","   17","H,,S"
"EN000026214","2018-10-27","58.367","25.6","86.0","VILJANDI, EN",,,,,"   59",",,S","  -30",",,S","   -4","H,,S"
"EN000026214","2018-10-28","58.367","25.6","86.0","VILJANDI, EN",,,,,"   26",",,S","  -28",",,S","    3","H,,S"
"EN000026214","2018-10-29","58.367","25.6","86.0","VILJANDI, EN",,,,,"   21",",,S","  -30",",,S","  -16","H,,S"
"EN000026214","2018-10-30","58.367","25.6","86.0","VILJANDI, EN",,,,,"   41",",,S","  -17",",,S","    9","H,,S"
"EN000026214","2018-10-31","58.367","25.6","86.0","VILJANDI, EN",,,,,"  107",",,S","   13",",,S","   72","H,,S"
