"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"EZ000011464","2018-06-29","50.5544","13.9314","833.0","MILESOVKA, EZ","   36",",,S",,,,,"  135",",,S","  187","H,,S"
"EZ000011464","2018-06-30","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,,,"  134","H,,S"
"EZ000011464","2018-07-01","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"   74",",,S","  119","H,,S"
"EZ000011464","2018-07-02","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,"  208",",,S","   94",",,S","  148","H,,S"
"EZ000011464","2018-07-03","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,"  252",",,S","  115",",,S","  177","H,,S"
"EZ000011464","2018-07-04","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,"  302",",,S","  141",",,S","  219","H,,S"
"EZ000011464","2018-07-05","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,"  315",",,S",,,"  222","H,,S"
"EZ000011464","2018-07-06","50.5544","13.9314","833.0","MILESOVKA, EZ","   25",",,S",,,,,"  123",",,S","  158","H,,S"
"EZ000011464","2018-07-07","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"   95",",,S","  154","H,,S"
"EZ000011464","2018-07-08","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  101",",,S","  152","H,,S"
"EZ000011464","2018-07-09","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,,,"  179","H,,S"
"EZ000011464","2018-07-10","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,"  173",",,S",,,"  123","H,,S"
"EZ000011464","2018-07-11","50.5544","13.9314","833.0","MILESOVKA, EZ","   33",",,S",,,,,"   88",",,S","  124","H,,S"
"EZ000011464","2018-07-12","50.5544","13.9314","833.0","MILESOVKA, EZ","   10",",,S",,,,,"   94",",,S","  118","H,,S"
"EZ000011464","2018-07-13","50.5544","13.9314","833.0","MILESOVKA, EZ","   41",",,S",,,,,"  121",",,S","  172","H,,S"
"EZ000011464","2018-07-14","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  135",",,S","  182","H,,S"
"EZ000011464","2018-07-15","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  135",",,S","  188","H,,S"
"EZ000011464","2018-07-16","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  156",",,S","  194","H,,S"
"EZ000011464","2018-07-17","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  150",",,S","  193","H,,S"
"EZ000011464","2018-07-18","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  146",",,S","  181","H,,S"
"EZ000011464","2018-07-19","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  125",",,S","  176","H,,S"
"EZ000011464","2018-07-20","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  135",",,S","  189","H,,S"
"EZ000011464","2018-07-21","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,"  305",",,S","  147",",,S","  207","H,,S"
"EZ000011464","2018-07-22","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  156",",,S","  192","H,,S"
"EZ000011464","2018-07-23","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  151",",,S","  201","H,,S"
"EZ000011464","2018-07-24","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,"  284",",,S","  158",",,S","  217","H,,S"
"EZ000011464","2018-07-25","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  175",",,S","  216","H,,S"
"EZ000011464","2018-07-26","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,"  169",",,S","  218","H,,S"
"EZ000011464","2018-07-27","50.5544","13.9314","833.0","MILESOVKA, EZ","    0",",,S",,,,,,,"  220","H,,S"
