"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FIE00142305","2018-03-30","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   14",",,E","  -39",",,E"
"FIE00142305","2018-03-31","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   11",",,E","  -59",",,E"
"FIE00142305","2018-04-01","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   17",",,E","  -50",",,E"
"FIE00142305","2018-04-02","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   13",",,E","  -11",",,E"
"FIE00142305","2018-04-03","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   24",",,E","  -34",",,E"
"FIE00142305","2018-04-04","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   27",",,E","  -37",",,E"
"FIE00142305","2018-04-05","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   54",",,E","   10",",,E"
"FIE00142305","2018-04-06","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   34",",,E","    5",",,E"
"FIE00142305","2018-04-07","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   48",",,E","    2",",,E"
"FIE00142305","2018-04-08","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   47",",,E","    8",",,E"
"FIE00142305","2018-04-09","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   86",",,E","   16",",,E"
"FIE00142305","2018-04-10","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   83",",,E","   -7",",,E"
"FIE00142305","2018-04-11","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   50",",,E","  -14",",,E"
"FIE00142305","2018-04-12","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   62",",,E","  -15",",,E"
"FIE00142305","2018-04-13","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   77",",,E","   -3",",,E"
"FIE00142305","2018-04-14","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   92",",,E","   22",",,E"
"FIE00142305","2018-04-15","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   93",",,E","   20",",,E"
"FIE00142305","2018-04-16","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   81",",,E","   29",",,E"
"FIE00142305","2018-04-17","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   90",",,E","   36",",,E"
"FIE00142305","2018-04-18","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   97",",,E","   35",",,E"
"FIE00142305","2018-04-19","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  162",",,E","   33",",,E"
"FIE00142305","2018-04-20","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  115",",,E","   38",",,E"
"FIE00142305","2018-04-21","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  113",",,E","   36",",,E"
"FIE00142305","2018-04-22","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   83",",,E","   21",",,E"
"FIE00142305","2018-04-23","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   64",",,E","    2",",,E"
"FIE00142305","2018-04-24","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   61",",,E","   29",",,E"
"FIE00142305","2018-04-25","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   51",",,E","   33",",,E"
"FIE00142305","2018-04-26","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   78",",,E","   21",",,E"
"FIE00142305","2018-04-27","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   74",",,E","   18",",,E"
"FIE00142305","2018-04-28","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   77",",,E","   32",",,E"
"FIE00142305","2018-04-29","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   64",",,E","   36",",,E"
"FIE00142305","2018-04-30","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   67",",,E","   25",",,E"
"FIE00142305","2018-05-01","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   76",",,E","   41",",,E"
"FIE00142305","2018-05-02","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   69",",,E","   35",",,E"
"FIE00142305","2018-05-03","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   79",",,E","   34",",,E"
"FIE00142305","2018-05-04","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   82",",,E","   42",",,E"
"FIE00142305","2018-05-05","60.2033","25.6283","20.0","PORVOO EMASALO, FI","   91",",,E","   59",",,E"
"FIE00142305","2018-05-06","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  123",",,E","   45",",,E"
"FIE00142305","2018-05-07","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  104",",,E","   55",",,E"
"FIE00142305","2018-05-08","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  144",",,E","   68",",,E"
"FIE00142305","2018-05-09","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  128",",,E","   75",",,E"
"FIE00142305","2018-05-10","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  139",",,E","   62",",,E"
"FIE00142305","2018-05-11","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  166",",,E","   76",",,E"
"FIE00142305","2018-05-12","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  180",",,E","   95",",,E"
"FIE00142305","2018-05-13","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  226",",,E","  103",",,E"
"FIE00142305","2018-05-14","60.2033","25.6283","20.0","PORVOO EMASALO, FI","  244",",,E","  136",",,E"
