"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FIE00144102","2018-03-09","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  -39",",,E","  -74",",,E"
"FIE00144102","2018-03-10","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  -28",",,E","  -56",",,E"
"FIE00144102","2018-03-11","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"    0",",,E","  -83",",,E"
"FIE00144102","2018-03-12","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"    0",",,E","  -44",",,E"
"FIE00144102","2018-03-13","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"    7",",,E","  -27",",,E"
"FIE00144102","2018-03-14","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"    2",",,E","  -75",",,E"
"FIE00144102","2018-03-15","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  -70",",,E"," -110",",,E"
"FIE00144102","2018-03-16","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  -59",",,E"," -146",",,E"
"FIE00144102","2018-03-17","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  -53",",,E"," -156",",,E"
"FIE00144102","2018-03-18","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"    9",",,E"," -103",",,E"
"FIE00144102","2018-03-19","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"    7",",,E","  -32",",,E"
"FIE00144102","2018-03-20","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  -30",",,E"," -139",",,E"
"FIE00144102","2018-03-21","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  -58",",,E"," -238",",,E"
"FIE00144102","2018-03-22","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"    6",",,E","  -77",",,E"
"FIE00144102","2018-03-23","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   -1",",,E","  -99",",,E"
"FIE00144102","2018-03-24","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   -2",",,E"," -212",",,E"
"FIE00144102","2018-03-25","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   16",",,E","  -50",",,E"
"FIE00144102","2018-03-26","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  -44",",,E"," -163",",,E"
"FIE00144102","2018-03-28","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  -20",",,E"," -184",",,E"
"FIE00144102","2018-03-29","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   12",",,E"," -190",",,E"
"FIE00144102","2018-03-30","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   26",",,E","  -94",",,E"
"FIE00144102","2018-03-31","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   30",",,E"," -160",",,E"
"FIE00144102","2018-04-01","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   30",",,E"," -170",",,E"
"FIE00144102","2018-04-02","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"    1",",,E","  -61",",,E"
"FIE00144102","2018-04-03","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"    0",",,E","  -23",",,E"
"FIE00144102","2018-04-04","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   37",",,E","  -80",",,E"
"FIE00144102","2018-04-05","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   53",",,E","  -14",",,E"
"FIE00144102","2018-04-06","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   54",",,E","   22",",,E"
"FIE00144102","2018-04-07","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   55",",,E","   -9",",,E"
"FIE00144102","2018-04-08","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   77",",,E","    7",",,E"
"FIE00144102","2018-04-09","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   36",",,E","    8",",,E"
"FIE00144102","2018-04-10","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   38",",,E","  -24",",,E"
"FIE00144102","2018-04-11","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   70",",,E","  -83",",,E"
"FIE00144102","2018-04-12","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   65",",,E","  -61",",,E"
"FIE00144102","2018-04-13","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  107",",,E","  -59",",,E"
"FIE00144102","2018-04-14","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  117",",,E","  -49",",,E"
"FIE00144102","2018-04-15","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  136",",,E","  -41",",,E"
"FIE00144102","2018-04-16","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  126",",,E","  -22",",,E"
"FIE00144102","2018-04-17","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   95",",,E","   16",",,E"
"FIE00144102","2018-04-18","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  143",",,E","   30",",,E"
"FIE00144102","2018-04-19","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  135",",,E","   11",",,E"
"FIE00144102","2018-04-20","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   68",",,E","   -6",",,E"
"FIE00144102","2018-04-21","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   42",",,E","    1",",,E"
"FIE00144102","2018-04-22","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   41",",,E","  -10",",,E"
"FIE00144102","2018-04-23","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   78",",,E","  -60",",,E"
"FIE00144102","2018-04-24","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   57",",,E","  -12",",,E"
"FIE00144102","2018-04-25","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   91",",,E","   34",",,E"
"FIE00144102","2018-04-26","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   89",",,E","   42",",,E"
"FIE00144102","2018-04-27","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  110",",,E","   32",",,E"
"FIE00144102","2018-04-28","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  106",",,E","  -14",",,E"
"FIE00144102","2018-04-29","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  123",",,E","  -20",",,E"
"FIE00144102","2018-04-30","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  107",",,E","   30",",,E"
"FIE00144102","2018-05-01","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   79",",,E","   20",",,E"
"FIE00144102","2018-05-02","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   74",",,E","   46",",,E"
"FIE00144102","2018-05-03","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   87",",,E","   48",",,E"
"FIE00144102","2018-05-04","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"  130",",,E","   44",",,E"
"FIE00144102","2018-05-05","61.9458","28.9344","95.0","SAVONLINNA LENTOASEMA, FI",,,"   92",",,E","   24",",,E"
