"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"FR069029001","2018-07-01","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  350",",,S","  184",",,S","  276","H,,S"
"FR069029001","2018-07-02","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  338",",,S","  205",",,S","  274","H,,S"
"FR069029001","2018-07-03","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","  406",",,S",,,"  304",",,S",,,"  232","H,,S"
"FR069029001","2018-07-04","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    8",",,S",,,"  320",",,S","  176",",,S","  241","H,,S"
"FR069029001","2018-07-05","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","   33",",,S",,,"  280",",,S","  180",",,S","  213","H,,S"
"FR069029001","2018-07-06","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","   53",",,S",,,"  271",",,S","  178",",,S","  219","H,,S"
"FR069029001","2018-07-07","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    5",",,S",,,"  300",",,S",,,"  242","H,,S"
"FR069029001","2018-07-08","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,"  188",",,S","  236","H,,S"
"FR069029001","2018-07-09","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  300",",,S","  187",",,S","  248","H,,S"
"FR069029001","2018-07-10","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  285",",,S","  196",",,S","  238","H,,S"
"FR069029001","2018-07-11","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  262",",,S",,,"  202","H,,S"
"FR069029001","2018-07-12","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  281",",,S","  145",",,S","  219","H,,S"
"FR069029001","2018-07-13","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  317",",,S","  159",",,S","  242","H,,S"
"FR069029001","2018-07-14","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,"  179",",,S","  240","H,,S"
"FR069029001","2018-07-15","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","   48",",,S",,,,,,,"  209","H,,S"
"FR069029001","2018-07-16","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","   58",",,S",,,"  310",",,S","  160",",,S","  236","H,,S"
"FR069029001","2018-07-17","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  301",",,S","  186",",,S","  248","H,,S"
"FR069029001","2018-07-18","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  313",",,S",,,"  246","H,,S"
"FR069029001","2018-07-19","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  327",",,S","  168",",,S","  257","H,,S"
"FR069029001","2018-07-20","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  314",",,S",,,"  214","H,,S"
"FR069029001","2018-07-21","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","  142",",,S",,,,,,,"  211","H,,S"
"FR069029001","2018-07-22","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  286",",,S","  155",",,S","  229","H,,S"
"FR069029001","2018-07-23","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  307",",,S","  199",",,S","  255","H,,S"
"FR069029001","2018-07-24","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  327",",,S","  176",",,S","  256","H,,S"
"FR069029001","2018-07-25","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,"  190",",,S","  272","H,,S"
"FR069029001","2018-07-26","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  352",",,S","  197",",,S","  281","H,,S"
"FR069029001","2018-07-27","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  365",",,S","  210",",,S","  291","H,,S"
"FR069029001","2018-07-28","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  331",",,S",,,"  241","H,,S"
"FR069029001","2018-07-29","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","  142",",,S",,,,,,,"  254","H,,S"
"FR069029001","2018-07-30","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  331",",,S","  196",",,S","  271","H,,S"
"FR069029001","2018-07-31","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,,,"  287","H,,S"
"FR069029001","2018-08-01","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  330",",,S",,,"  283","H,,S"
"FR069029001","2018-08-02","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,,,"  281","H,,S"
"FR069029001","2018-08-03","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  353",",,S","  217",",,S","  293","H,,S"
"FR069029001","2018-08-04","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  370",",,S","  239",",,S","  308","H,,S"
"FR069029001","2018-08-05","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  363",",,S",,,"  301","H,,S"
"FR069029001","2018-08-06","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  363",",,S",,,"  292","H,,S"
"FR069029001","2018-08-07","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  358",",,S","  249",",,S","  298","H,,S"
"FR069029001","2018-08-08","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,,,"  268","H,,S"
"FR069029001","2018-08-09","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  261",",,S",,,"  221","H,,S"
"FR069029001","2018-08-10","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","  142",",,S",,,"  264",",,S","  148",",,S","  211","H,,S"
"FR069029001","2018-08-11","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  270",",,S","  138",",,S","  213","H,,S"
"FR069029001","2018-08-12","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  322",",,S","  139",",,S","  239","H,,S"
"FR069029001","2018-08-13","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","   13",",,S",,,"  295",",,S",,,"  198","H,,S"
"FR069029001","2018-08-14","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","  124",",,S",,,,,,,"  218","H,,S"
"FR069029001","2018-08-15","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","   13",",,S",,,"  286",",,S",,,"  229","H,,S"
"FR069029001","2018-08-16","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  324",",,S",,,"  247","H,,S"
"FR069029001","2018-08-17","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","   25",",,S",,,"  294",",,S","  199",",,S","  228","H,,S"
"FR069029001","2018-08-18","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,,,"  233","H,,S"
"FR069029001","2018-08-19","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,,,"  242","H,,S"
"FR069029001","2018-08-20","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,"  175",",,S","  249","H,,S"
"FR069029001","2018-08-21","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,,,"  256","H,,S"
"FR069029001","2018-08-22","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,,,"  241","H,,S"
"FR069029001","2018-08-23","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    5",",,S",,,"  331",",,S",,,"  220","H,,S"
"FR069029001","2018-08-24","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","   15",",,S",,,"  265",",,S",,,"  227","H,,S"
"FR069029001","2018-08-25","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  218",",,S",,,"  166","H,,S"
"FR069029001","2018-08-26","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  233",",,S",,,"  168","H,,S"
"FR069029001","2018-08-27","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  293",",,S",,,"  206","H,,S"
"FR069029001","2018-08-28","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  323",",,S",,,"  242","H,,S"
"FR069029001","2018-08-29","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  306",",,S",,,"  238","H,,S"
"FR069029001","2018-08-30","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","   64",",,S",,,"  259",",,S",,,"  187","H,,S"
"FR069029001","2018-08-31","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,,,,,"  194","H,,S"
"FR069029001","2018-09-01","45.7264","5.0778","235.0","LYON ST EXUPERY, FR","    0",",,S",,,"  240",",,S","  128",",,S","  185","H,,S"
