"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"FRM00007591","2018-06-28","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  273",",,S","  154",",,S","  211","H,,S"
"FRM00007591","2018-06-29","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  273",",,S","  139",",,S","  208","H,,S"
"FRM00007591","2018-06-30","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  307",",,S","  140",",,S","  228","H,,S"
"FRM00007591","2018-07-01","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  331",",,S","  157",",,S","  244","H,,S"
"FRM00007591","2018-07-02","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  306",",,S","  176",",,S","  238","H,,S"
"FRM00007591","2018-07-03","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  306",",,S",,,"  222","H,,S"
"FRM00007591","2018-07-04","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  307",",,S","  140",",,S","  230","H,,S"
"FRM00007591","2018-07-05","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,,,,,"  204","H,,S"
"FRM00007591","2018-07-06","44.567","6.5","876.0","EMBRUN, FR","   48",",,S",,,"  273",",,S","  111",",,S","  195","H,,S"
"FRM00007591","2018-07-07","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  290",",,S","  136",",,S","  218","H,,S"
"FRM00007591","2018-07-08","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,,,"  152",",,S","  218","H,,S"
"FRM00007591","2018-07-09","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  301",",,S","  146",",,S","  234","H,,S"
"FRM00007591","2018-07-10","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  296",",,S","  145",",,S","  222","H,,S"
"FRM00007591","2018-07-11","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  284",",,S","  122",",,S","  208","H,,S"
"FRM00007591","2018-07-12","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  283",",,S","  122",",,S","  208","H,,S"
"FRM00007591","2018-07-13","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  302",",,S","  136",",,S","  224","H,,S"
"FRM00007591","2018-07-14","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  311",",,S","  150",",,S","  232","H,,S"
"FRM00007591","2018-07-15","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  293",",,S","  154",",,S","  216","H,,S"
"FRM00007591","2018-07-16","44.567","6.5","876.0","EMBRUN, FR","   61",",,S",,,"  260",",,S",,,"  183","H,,S"
"FRM00007591","2018-07-17","44.567","6.5","876.0","EMBRUN, FR","   48",",,S",,,"  296",",,S","  122",",,S","  212","H,,S"
"FRM00007591","2018-07-18","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  308",",,S","  148",",,S","  233","H,,S"
"FRM00007591","2018-07-19","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  313",",,S","  167",",,S","  243","H,,S"
"FRM00007591","2018-07-20","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  310",",,S","  149",",,S","  211","H,,S"
"FRM00007591","2018-07-21","44.567","6.5","876.0","EMBRUN, FR","   84",",,S",,,"  270",",,S","  134",",,S","  192","H,,S"
"FRM00007591","2018-07-22","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  276",",,S","  121",",,S","  185","H,,S"
"FRM00007591","2018-07-23","44.567","6.5","876.0","EMBRUN, FR","   43",",,S",,,"  290",",,S","  123",",,S","  208","H,,S"
"FRM00007591","2018-07-24","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  300",",,S","  157",",,S","  227","H,,S"
"FRM00007591","2018-07-25","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  299",",,S","  159",",,S","  218","H,,S"
"FRM00007591","2018-07-26","44.567","6.5","876.0","EMBRUN, FR","    3",",,S",,,"  320",",,S",,,"  206","H,,S"
"FRM00007591","2018-07-27","44.567","6.5","876.0","EMBRUN, FR","  119",",,S",,,"  306",",,S","  141",",,S","  223","H,,S"
"FRM00007591","2018-07-28","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  297",",,S","  178",",,S","  222","H,,S"
"FRM00007591","2018-07-29","44.567","6.5","876.0","EMBRUN, FR","    0",",,S",,,"  320",",,S","  155",",,S","  236","H,,S"
