"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"GMM00010168","2018-04-02","53.6069","12.1042","58.0","GOLDBERG, GM","   28",",,E","  110",",,E","   91",",,E","  -45",",,E",,
"GMM00010168","2018-04-03","53.6069","12.1042","58.0","GOLDBERG, GM","    7",",,E","   20",",,E","  166",",,E","   35",",,E",,
"GMM00010168","2018-04-04","53.6069","12.1042","58.0","GOLDBERG, GM","  109",",,E","    0",",,E","  167",",,E","   64",",,E",,
"GMM00010168","2018-04-05","53.6069","12.1042","58.0","GOLDBERG, GM","    3",",,E","    0",",,E","  129",",,E","   24",",,E",,
"GMM00010168","2018-04-06","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  119",",,E","   11",",,E",,
"GMM00010168","2018-04-07","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  173",",,E","   51",",,E",,
"GMM00010168","2018-04-08","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  204",",,E","   75",",,E",,
"GMM00010168","2018-04-09","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  212",",,E","   46",",,E",,
"GMM00010168","2018-04-10","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  159",",,E","   54",",,E",,
"GMM00010168","2018-04-11","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","   72",",,E","   37",",,E",,
"GMM00010168","2018-04-12","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  169",",,E","   36",",,E",,
"GMM00010168","2018-04-13","53.6069","12.1042","58.0","GOLDBERG, GM","   56",",,E","    0",",,E","  191",",,E","  114",",,E",,
"GMM00010168","2018-04-14","53.6069","12.1042","58.0","GOLDBERG, GM","   15",",,E","    0",",,E","  116",",,E","   70",",,E",,
"GMM00010168","2018-04-15","53.6069","12.1042","58.0","GOLDBERG, GM","    2",",,E","    0",",,E","  149",",,E","   52",",,E",,
"GMM00010168","2018-04-16","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  147",",,E","   63",",,E",,
"GMM00010168","2018-04-17","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  177",",,E","   62",",,E",,
"GMM00010168","2018-04-18","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  224",",,E","   76",",,E",,
"GMM00010168","2018-04-19","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  242",",,E","   82",",,E",,
"GMM00010168","2018-04-20","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  272",",,E","  125",",,E",,
"GMM00010168","2018-04-21","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  181",",,E","   71",",,E",,
"GMM00010168","2018-04-22","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  206",",,E","   49",",,E",,
"GMM00010168","2018-04-23","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  193",",,E","   67",",,E",,
"GMM00010168","2018-04-24","53.6069","12.1042","58.0","GOLDBERG, GM","   78",",,E","    0",",,E","  127",",,E","   69",",,E",,
"GMM00010168","2018-04-25","53.6069","12.1042","58.0","GOLDBERG, GM","   18",",,E","    0",",,E","  169",",,E","   68",",,E",,
"GMM00010168","2018-04-26","53.6069","12.1042","58.0","GOLDBERG, GM","   66",",,E","    0",",,E","  118",",,E","   47",",,E",,
"GMM00010168","2018-04-27","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  150",",,E","   37",",,E",,
"GMM00010168","2018-04-28","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  197",",,E","   60",",,E",,
"GMM00010168","2018-04-29","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E","    0",",,E","  208",",,E","   99",",,E",,
"GMM00010168","2018-04-30","53.6069","12.1042","58.0","GOLDBERG, GM","   91",",,E","    0",",,E","  201",",,E","   98",",,E",,
"GMM00010168","2018-05-01","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E",,,"  114",",,E","   31",",,E",,
"GMM00010168","2018-05-02","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E",,,"  147",",,E","   26",",,E",,
"GMM00010168","2018-05-03","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E",,,"  152",",,E","   42",",,E",,
"GMM00010168","2018-05-04","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E",,,"  156",",,E","   24",",,E",,
"GMM00010168","2018-05-05","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E",,,"  189",",,E","   22",",,E",,
"GMM00010168","2018-05-06","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E",,,"  220",",,E","   54",",,E",,
"GMM00010168","2018-05-07","53.6069","12.1042","58.0","GOLDBERG, GM","    0",",,E",,,"  239",",,E","   69",",,E",,
