"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ID000097690","2018-06-29","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  332",",,S","  239",",,S","  281","H,,S"
"ID000097690","2018-06-30","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,,,"  271","H,,S"
"ID000097690","2018-07-01","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,,,"  273","H,,S"
"ID000097690","2018-07-02","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  339",",,S",,,"  273","H,,S"
"ID000097690","2018-07-03","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  345",",,S",,,"  261","H,,S"
"ID000097690","2018-07-04","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  336",",,S",,,"  266","H,,S"
"ID000097690","2018-07-05","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,,,"  282","H,,S"
"ID000097690","2018-07-06","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  314",",,S",,,"  266","H,,S"
"ID000097690","2018-07-07","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  332",",,S","  238",",,S","  269","H,,S"
"ID000097690","2018-07-08","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  282",",,S",,,"  257","H,,S"
"ID000097690","2018-07-09","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,,,"  258","H,,S"
"ID000097690","2018-07-10","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  323",",,S",,,"  278","H,,S"
"ID000097690","2018-07-11","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,"  233",",,S","  283","H,,S"
"ID000097690","2018-07-12","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,,,"  281","H,,S"
"ID000097690","2018-07-13","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  286",",,S",,,"  249","H,,S"
"ID000097690","2018-07-14","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,,,"  244","H,,S"
"ID000097690","2018-07-15","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  305",",,S","  237",",,S","  271","H,,S"
"ID000097690","2018-07-16","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,"  238",",,S","  276","H,,S"
"ID000097690","2018-07-17","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  324",",,S",,,"  264","H,,S"
"ID000097690","2018-07-18","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,"  233",",,S","  277","H,,S"
"ID000097690","2018-07-19","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  334",",,S",,,"  269","H,,S"
"ID000097690","2018-07-20","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  330",",,S",,,"  283","H,,S"
"ID000097690","2018-07-21","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  340",",,S",,,"  288","H,,S"
"ID000097690","2018-07-22","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  349",",,S",,,"  284","H,,S"
"ID000097690","2018-07-23","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  287",",,S",,,"  259","H,,S"
"ID000097690","2018-07-24","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  334",",,S","  235",",,S","  275","H,,S"
"ID000097690","2018-07-25","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  333",",,S",,,"  282","H,,S"
"ID000097690","2018-07-26","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  332",",,S",,,"  274","H,,S"
"ID000097690","2018-07-27","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  317",",,S",,,"  261","H,,S"
"ID000097690","2018-07-28","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  326",",,S","  238",",,S","  268","H,,S"
"ID000097690","2018-07-29","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  342",",,S",,,"  280","H,,S"
"ID000097690","2018-07-30","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  336",",,S",,,"  283","H,,S"
"ID000097690","2018-07-31","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  333",",,S",,,"  283","H,,S"
"ID000097690","2018-08-01","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,,,"  282","H,,S"
"ID000097690","2018-08-02","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,"  234",",,S","  273","H,,S"
"ID000097690","2018-08-03","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  320",",,S",,,"  273","H,,S"
"ID000097690","2018-08-04","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,,,"  266","H,,S"
"ID000097690","2018-08-05","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  316",",,S",,,"  251","H,,S"
"ID000097690","2018-08-06","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  282",",,S","  229",",,S","  253","H,,S"
"ID000097690","2018-08-07","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  332",",,S","  229",",,S","  267","H,,S"
"ID000097690","2018-08-08","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  332",",,S",,,"  276","H,,S"
"ID000097690","2018-08-09","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  339",",,S",,,"  278","H,,S"
"ID000097690","2018-08-10","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  333",",,S",,,"  273","H,,S"
"ID000097690","2018-08-11","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  343",",,S",,,"  279","H,,S"
"ID000097690","2018-08-12","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  286",",,S",,,"  254","H,,S"
"ID000097690","2018-08-13","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  335",",,S",,,"  281","H,,S"
"ID000097690","2018-08-14","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,,,"  235",",,S","  269","H,,S"
"ID000097690","2018-08-15","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  346",",,S",,,"  276","H,,S"
"ID000097690","2018-08-16","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  350",",,S","  214",",,S","  283","H,,S"
"ID000097690","2018-08-17","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  350",",,S","  228",",,S","  281","H,,S"
"ID000097690","2018-08-18","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  318",",,S",,,"  244","H,,S"
"ID000097690","2018-08-19","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  325",",,S","  219",",,S","  281","H,,S"
"ID000097690","2018-08-20","-2.567","140.483","99.0","JAYAPURA SENTANI, ID",,,"  326",",,S",,,"  264","H,,S"
