"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"IDM00097300","2018-06-28","-8.641","122.237","3.0","WAI OTI, ID",,,"  323",",,S",,,"  273","H,,S"
"IDM00097300","2018-06-29","-8.641","122.237","3.0","WAI OTI, ID",,,"  305",",,S","  248",",,S","  270","H,,S"
"IDM00097300","2018-06-30","-8.641","122.237","3.0","WAI OTI, ID",,,"  314",",,S",,,"  266","H,,S"
"IDM00097300","2018-07-01","-8.641","122.237","3.0","WAI OTI, ID",,,"  328",",,S","  240",",,S","  274","H,,S"
"IDM00097300","2018-07-02","-8.641","122.237","3.0","WAI OTI, ID",,,"  308",",,S","  252",",,S","  276","H,,S"
"IDM00097300","2018-07-03","-8.641","122.237","3.0","WAI OTI, ID",,,"  320",",,S",,,"  274","H,,S"
"IDM00097300","2018-07-04","-8.641","122.237","3.0","WAI OTI, ID",,,"  322",",,S","  230",",,S","  274","H,,S"
"IDM00097300","2018-07-05","-8.641","122.237","3.0","WAI OTI, ID",,,,,,,"  270","H,,S"
"IDM00097300","2018-07-06","-8.641","122.237","3.0","WAI OTI, ID",,,"  306",",,S",,,"  262","H,,S"
"IDM00097300","2018-07-07","-8.641","122.237","3.0","WAI OTI, ID",,,"  314",",,S","  240",",,S","  267","H,,S"
"IDM00097300","2018-07-08","-8.641","122.237","3.0","WAI OTI, ID",,,"  316",",,S",,,"  272","H,,S"
"IDM00097300","2018-07-09","-8.641","122.237","3.0","WAI OTI, ID",,,"  312",",,S","  226",",,S","  261","H,,S"
"IDM00097300","2018-07-10","-8.641","122.237","3.0","WAI OTI, ID",,,"  322",",,S","  224",",,S","  268","H,,S"
"IDM00097300","2018-07-11","-8.641","122.237","3.0","WAI OTI, ID",,,"  308",",,S","  242",",,S","  269","H,,S"
"IDM00097300","2018-07-12","-8.641","122.237","3.0","WAI OTI, ID",,,"  300",",,S",,,"  261","H,,S"
"IDM00097300","2018-07-13","-8.641","122.237","3.0","WAI OTI, ID",,,,,,,"  260","H,,S"
"IDM00097300","2018-07-14","-8.641","122.237","3.0","WAI OTI, ID",,,"  298",",,S",,,"  254","H,,S"
"IDM00097300","2018-07-15","-8.641","122.237","3.0","WAI OTI, ID",,,"  302",",,S","  206",",,S","  258","H,,S"
"IDM00097300","2018-07-16","-8.641","122.237","3.0","WAI OTI, ID",,,"  312",",,S",,,"  257","H,,S"
"IDM00097300","2018-07-17","-8.641","122.237","3.0","WAI OTI, ID",,,"  316",",,S",,,"  259","H,,S"
