"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"IN006031000","2018-06-28","29.167","75.733","221.0","HISSAR, IN",,,,,"  336",",,S","  245",",,S","  263","H,,S"
"IN006031000","2018-06-29","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  245",",,S","  288","H,,S"
"IN006031000","2018-06-30","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  265",",,S","  316","H,,S"
"IN006031000","2018-07-01","29.167","75.733","221.0","HISSAR, IN",,,,,"  353",",,S",,,"  309","H,,S"
"IN006031000","2018-07-02","29.167","75.733","221.0","HISSAR, IN","  160",",,S",,,,,"  269",",,S","  318","H,,S"
"IN006031000","2018-07-03","29.167","75.733","221.0","HISSAR, IN","   41",",,S",,,"  388",",,S","  275",",,S","  319","H,,S"
"IN006031000","2018-07-04","29.167","75.733","221.0","HISSAR, IN","    5",",,S",,,"  358",",,S","  228",",,S","  295","H,,S"
"IN006031000","2018-07-05","29.167","75.733","221.0","HISSAR, IN","    3",",,S",,,"  361",",,S","  269",",,S","  305","H,,S"
"IN006031000","2018-07-06","29.167","75.733","221.0","HISSAR, IN","   20",",,S",,,"  374",",,S","  259",",,S","  317","H,,S"
"IN006031000","2018-07-07","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,,,"  263",",,S","  341","H,,S"
"IN006031000","2018-07-08","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  258",",,S","  344","H,,S"
"IN006031000","2018-07-09","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  284",",,S","  358","H,,S"
"IN006031000","2018-07-10","29.167","75.733","221.0","HISSAR, IN",,,,,"  408",",,S","  298",",,S","  356","H,,S"
"IN006031000","2018-07-11","29.167","75.733","221.0","HISSAR, IN",,,,,"  411",",,S",,,"  333","H,,S"
"IN006031000","2018-07-12","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,"  408",",,S","  281",",,S","  320","H,,S"
"IN006031000","2018-07-13","29.167","75.733","221.0","HISSAR, IN","   20",",,S",,,"  400",",,S",,,"  296","H,,S"
"IN006031000","2018-07-14","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,,,"  257",",,S","  315","H,,S"
"IN006031000","2018-07-15","29.167","75.733","221.0","HISSAR, IN",,,,,"  370",",,S","  268",",,S","  332","H,,S"
"IN006031000","2018-07-16","29.167","75.733","221.0","HISSAR, IN",,,,,"  377",",,S",,,"  297","H,,S"
"IN006031000","2018-07-17","29.167","75.733","221.0","HISSAR, IN",,,,,"  367",",,S","  246",",,S","  300","H,,S"
"IN006031000","2018-07-18","29.167","75.733","221.0","HISSAR, IN","    3",",,S",,,"  339",",,S","  260",",,S","  287","H,,S"
"IN006031000","2018-07-19","29.167","75.733","221.0","HISSAR, IN","   20",",,S",,,,,"  261",",,S","  305","H,,S"
"IN006031000","2018-07-20","29.167","75.733","221.0","HISSAR, IN","   99",",,S",,,"  355",",,S","  258",",,S","  292","H,,S"
"IN006031000","2018-07-21","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,,,"  278",",,S","  306","H,,S"
"IN006031000","2018-07-22","29.167","75.733","221.0","HISSAR, IN","  160",",,S",,,"  350",",,S",,,"  279","H,,S"
"IN006031000","2018-07-23","29.167","75.733","221.0","HISSAR, IN","   89",",,S",,,,,"  254",",,S","  297","H,,S"
"IN006031000","2018-07-24","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,,,"  271",",,S","  318","H,,S"
"IN006031000","2018-07-25","29.167","75.733","221.0","HISSAR, IN","   10",",,S",,,"  365",",,S","  272",",,S","  307","H,,S"
"IN006031000","2018-07-26","29.167","75.733","221.0","HISSAR, IN","  221",",,S",,,"  360",",,S","  252",",,S","  285","H,,S"
"IN006031000","2018-07-27","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,"  317",",,S","  265",",,S","  288","H,,S"
"IN006031000","2018-07-28","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  260",",,S","  297","H,,S"
"IN006031000","2018-07-29","29.167","75.733","221.0","HISSAR, IN","   10",",,S",,,,,"  256",",,S","  311","H,,S"
"IN006031000","2018-07-30","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,,,"  263",",,S","  318","H,,S"
"IN006031000","2018-07-31","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  268",",,S","  332","H,,S"
"IN006031000","2018-08-01","29.167","75.733","221.0","HISSAR, IN",,,,,"  376",",,S","  275",",,S","  328","H,,S"
"IN006031000","2018-08-02","29.167","75.733","221.0","HISSAR, IN",,,,,"  381",",,S","  271",",,S","  328","H,,S"
"IN006031000","2018-08-03","29.167","75.733","221.0","HISSAR, IN",,,,,"  385",",,S","  269",",,S","  329","H,,S"
"IN006031000","2018-08-04","29.167","75.733","221.0","HISSAR, IN",,,,,"  376",",,S","  277",",,S","  328","H,,S"
"IN006031000","2018-08-05","29.167","75.733","221.0","HISSAR, IN",,,,,"  372",",,S","  273",",,S","  317","H,,S"
"IN006031000","2018-08-06","29.167","75.733","221.0","HISSAR, IN",,,,,"  370",",,S",,,"  281","H,,S"
"IN006031000","2018-08-07","29.167","75.733","221.0","HISSAR, IN","   20",",,S",,,"  302",",,S","  239",",,S","  271","H,,S"
"IN006031000","2018-08-08","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,"  287",",,S","  255",",,S","  271","H,,S"
"IN006031000","2018-08-09","29.167","75.733","221.0","HISSAR, IN","  259",",,S",,,,,"  252",",,S","  311","H,,S"
"IN006031000","2018-08-10","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,"  360",",,S","  274",",,S","  309","H,,S"
"IN006031000","2018-08-11","29.167","75.733","221.0","HISSAR, IN","   20",",,S",,,,,"  270",",,S","  331","H,,S"
"IN006031000","2018-08-12","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,"  370",",,S","  275",",,S","  313","H,,S"
"IN006031000","2018-08-13","29.167","75.733","221.0","HISSAR, IN",,,,,"  354",",,S","  268",",,S","  314","H,,S"
"IN006031000","2018-08-14","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  278",",,S","  327","H,,S"
"IN006031000","2018-08-15","29.167","75.733","221.0","HISSAR, IN",,,,,"  375",",,S","  253",",,S","  315","H,,S"
"IN006031000","2018-08-16","29.167","75.733","221.0","HISSAR, IN",,,,,"  360",",,S","  273",",,S","  322","H,,S"
"IN006031000","2018-08-17","29.167","75.733","221.0","HISSAR, IN",,,,,"  363",",,S","  278",",,S","  315","H,,S"
"IN006031000","2018-08-18","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  275",",,S","  310","H,,S"
"IN006031000","2018-08-19","29.167","75.733","221.0","HISSAR, IN",,,,,"  380",",,S","  265",",,S","  314","H,,S"
"IN006031000","2018-08-20","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  278",",,S","  327","H,,S"
"IN006031000","2018-08-21","29.167","75.733","221.0","HISSAR, IN",,,,,"  372",",,S","  274",",,S","  326","H,,S"
"IN006031000","2018-08-22","29.167","75.733","221.0","HISSAR, IN",,,,,"  366",",,S","  278",",,S","  315","H,,S"
"IN006031000","2018-08-23","29.167","75.733","221.0","HISSAR, IN","    5",",,S",,,"  372",",,S","  270",",,S","  305","H,,S"
"IN006031000","2018-08-24","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,,,"  265",",,S","  318","H,,S"
"IN006031000","2018-08-25","29.167","75.733","221.0","HISSAR, IN",,,,,"  372",",,S","  269",",,S","  326","H,,S"
"IN006031000","2018-08-26","29.167","75.733","221.0","HISSAR, IN",,,,,"  370",",,S","  258",",,S","  319","H,,S"
"IN006031000","2018-08-27","29.167","75.733","221.0","HISSAR, IN",,,,,"  365",",,S","  276",",,S","  321","H,,S"
"IN006031000","2018-08-28","29.167","75.733","221.0","HISSAR, IN",,,,,"  360",",,S","  275",",,S","  308","H,,S"
"IN006031000","2018-08-29","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  259",",,S","  308","H,,S"
"IN006031000","2018-08-30","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  265",",,S","  330","H,,S"
"IN006031000","2018-08-31","29.167","75.733","221.0","HISSAR, IN",,,,,"  389",",,S","  278",",,S","  328","H,,S"
"IN006031000","2018-09-01","29.167","75.733","221.0","HISSAR, IN",,,,,"  384",",,S","  274",",,S","  324","H,,S"
"IN006031000","2018-09-02","29.167","75.733","221.0","HISSAR, IN","   20",",,S",,,"  370",",,S",,,"  274","H,,S"
"IN006031000","2018-09-03","29.167","75.733","221.0","HISSAR, IN","   41",",,S",,,,,"  254",",,S","  299","H,,S"
"IN006031000","2018-09-04","29.167","75.733","221.0","HISSAR, IN","    0",",,S",,,,,"  253",",,S","  308","H,,S"
"IN006031000","2018-09-05","29.167","75.733","221.0","HISSAR, IN",,,,,"  355",",,S","  260",",,S","  313","H,,S"
"IN006031000","2018-09-06","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  268",",,S","  325","H,,S"
"IN006031000","2018-09-07","29.167","75.733","221.0","HISSAR, IN",,,,,"  373",",,S",,,"  301","H,,S"
"IN006031000","2018-09-08","29.167","75.733","221.0","HISSAR, IN",,,,,"  366",",,S","  246",",,S","  289","H,,S"
"IN006031000","2018-09-09","29.167","75.733","221.0","HISSAR, IN",,,,,"  338",",,S","  243",",,S","  291","H,,S"
"IN006031000","2018-09-10","29.167","75.733","221.0","HISSAR, IN",,,,,"  330",",,S","  248",",,S","  298","H,,S"
"IN006031000","2018-09-11","29.167","75.733","221.0","HISSAR, IN",,,,,,,"  254",",,S","  313","H,,S"
"IN006031000","2018-09-12","29.167","75.733","221.0","HISSAR, IN",,,,,"  361",",,S","  200",",,S","  315","H,,S"
"IN006031000","2018-09-13","29.167","75.733","221.0","HISSAR, IN",,,,,"  360",",,S","  249",",,S","  304","H,,S"
"IN006031000","2018-09-14","29.167","75.733","221.0","HISSAR, IN",,,,,"  360",",,S","  244",",,S","  297","H,,S"
"IN006031000","2018-09-15","29.167","75.733","221.0","HISSAR, IN",,,,,"  352",",,S","  232",",,S","  299","H,,S"
