"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"IN011340100","2018-06-25","24.567","80.833","317.0","SATNA, IN","   41",",,S",,,"  284",",,S","  338","H,,S"
"IN011340100","2018-06-26","24.567","80.833","317.0","SATNA, IN","    0",",,S",,,,,"  286","H,,S"
"IN011340100","2018-06-27","24.567","80.833","317.0","SATNA, IN","   51",",,S","  358",",,S",,,"  302","H,,S"
"IN011340100","2018-06-28","24.567","80.833","317.0","SATNA, IN","  211",",,S",,,"  253",",,S","  278","H,,S"
"IN011340100","2018-06-29","24.567","80.833","317.0","SATNA, IN","   51",",,S",,,"  256",",,S","  295","H,,S"
"IN011340100","2018-06-30","24.567","80.833","317.0","SATNA, IN","    0",",,S",,,"  265",",,S","  318","H,,S"
"IN011340100","2018-07-01","24.567","80.833","317.0","SATNA, IN",,,,,"  284",",,S","  318","H,,S"
"IN011340100","2018-07-02","24.567","80.833","317.0","SATNA, IN","    5",",,S",,,"  276",",,S","  320","H,,S"
"IN011340100","2018-07-03","24.567","80.833","317.0","SATNA, IN","    0",",,S",,,,,"  286","H,,S"
"IN011340100","2018-07-04","24.567","80.833","317.0","SATNA, IN","   89",",,S","  335",",,S","  249",",,S","  298","H,,S"
"IN011340100","2018-07-05","24.567","80.833","317.0","SATNA, IN","    0",",,S","  364",",,S","  260",",,S","  296","H,,S"
"IN011340100","2018-07-06","24.567","80.833","317.0","SATNA, IN","  259",",,S","  375",",,S","  246",",,S","  316","H,,S"
"IN011340100","2018-07-07","24.567","80.833","317.0","SATNA, IN","    0",",,S",,,"  278",",,S","  328","H,,S"
"IN011340100","2018-07-08","24.567","80.833","317.0","SATNA, IN",,,,,"  282",",,S","  329","H,,S"
"IN011340100","2018-07-09","24.567","80.833","317.0","SATNA, IN","    0",",,S",,,,,"  333","H,,S"
"IN011340100","2018-07-10","24.567","80.833","317.0","SATNA, IN","   51",",,S",,,"  275",",,S","  301","H,,S"
"IN011340100","2018-07-11","24.567","80.833","317.0","SATNA, IN","   79",",,S",,,,,"  287","H,,S"
