"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"IRM00040712","2018-06-30","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  368",",,S","  164",",,S","  264","H,,S"
"IRM00040712","2018-07-01","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  368",",,S","  116",",,S","  264","H,,S"
"IRM00040712","2018-07-02","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  382",",,S","  194",",,S","  290","H,,S"
"IRM00040712","2018-07-03","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  358",",,S","  166",",,S","  265","H,,S"
"IRM00040712","2018-07-04","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  352",",,S","  168",",,S","  260","H,,S"
"IRM00040712","2018-07-05","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  352",",,S","  158",",,S","  264","H,,S"
"IRM00040712","2018-07-06","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  357",",,S","  164",",,S","  269","H,,S"
"IRM00040712","2018-07-07","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  350",",,S","  160",",,S","  254","H,,S"
"IRM00040712","2018-07-08","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,,,"  148",",,S","  244","H,,S"
"IRM00040712","2018-07-09","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  345",",,S","  148",",,S","  259","H,,S"
"IRM00040712","2018-07-10","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  358",",,S","  188",",,S","  279","H,,S"
"IRM00040712","2018-07-11","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  372",",,S","  185",",,S","  286","H,,S"
"IRM00040712","2018-07-12","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  396",",,S","  190",",,S","  296","H,,S"
"IRM00040712","2018-07-13","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  382",",,S","  182",",,S","  284","H,,S"
"IRM00040712","2018-07-14","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  356",",,S","  184",",,S","  277","H,,S"
"IRM00040712","2018-07-15","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  342",",,S",,,"  261","H,,S"
"IRM00040712","2018-07-16","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,,,"  146",",,S","  239","H,,S"
"IRM00040712","2018-07-17","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  321",",,S",,,"  242","H,,S"
"IRM00040712","2018-07-18","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  316",",,S","  148",",,S","  234","H,,S"
"IRM00040712","2018-07-19","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  376",",,S","  156",",,S","  269","H,,S"
"IRM00040712","2018-07-20","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  364",",,S","  146",",,S","  263","H,,S"
"IRM00040712","2018-07-21","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  342",",,S","  124",",,S","  247","H,,S"
"IRM00040712","2018-07-22","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  322",",,S","  164",",,S","  251","H,,S"
"IRM00040712","2018-07-23","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  310",",,S","  148",",,S","  236","H,,S"
"IRM00040712","2018-07-24","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,,,"  158",",,S","  247","H,,S"
"IRM00040712","2018-07-25","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  370",",,S","  178",",,S","  276","H,,S"
"IRM00040712","2018-07-26","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  380",",,S","  206",",,S","  289","H,,S"
"IRM00040712","2018-07-27","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  386",",,S","  186",",,S","  297","H,,S"
"IRM00040712","2018-07-28","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  370",",,S","  202",",,S","  285","H,,S"
"IRM00040712","2018-07-29","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  384",",,S","  204",",,S","  301","H,,S"
"IRM00040712","2018-07-30","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  382",",,S","  190",",,S","  290","H,,S"
"IRM00040712","2018-07-31","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  378",",,S","  188",",,S","  292","H,,S"
"IRM00040712","2018-08-01","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  362",",,S","  166",",,S","  270","H,,S"
"IRM00040712","2018-08-02","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  352",",,S",,,"  269","H,,S"
"IRM00040712","2018-08-03","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  350",",,S",,,"  269","H,,S"
"IRM00040712","2018-08-04","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,,,"  150",",,S","  238","H,,S"
"IRM00040712","2018-08-05","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  334",",,S","  136",",,S","  244","H,,S"
"IRM00040712","2018-08-06","37.668","45.069","1324.1","UROMIYEH, IR","    0",",,S",,,"  333",",,S","  184",",,S","  267","H,,S"
