"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ITM00016153","2018-06-29","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  256",",,S",,,"  221","H,,S"
"ITM00016153","2018-06-30","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  264",",,S","  200",",,S","  230","H,,S"
"ITM00016153","2018-07-01","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  297",",,S",,,"  244","H,,S"
"ITM00016153","2018-07-02","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  303",",,S",,,"  244","H,,S"
"ITM00016153","2018-07-03","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  270",",,S","  216",",,S","  237","H,,S"
"ITM00016153","2018-07-04","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  290",",,S","  226",",,S","  245","H,,S"
"ITM00016153","2018-07-05","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  272",",,S","  218",",,S","  241","H,,S"
"ITM00016153","2018-07-06","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  298",",,S","  218",",,S","  246","H,,S"
"ITM00016153","2018-07-07","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  281",",,S","  216",",,S","  243","H,,S"
"ITM00016153","2018-07-08","43.95","8.167","221.0","CAPE MELE, IT",,,,,,,"  220",",,S","  242","H,,S"
"ITM00016153","2018-07-09","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  286",",,S","  225",",,S","  252","H,,S"
"ITM00016153","2018-07-10","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  286",",,S","  230",",,S","  247","H,,S"
"ITM00016153","2018-07-11","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  301",",,S",,,"  254","H,,S"
"ITM00016153","2018-07-12","43.95","8.167","221.0","CAPE MELE, IT","    3","B,,S",,,"  291",",,S",,,"  246","H,,S"
"ITM00016153","2018-07-13","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  310",",,S","  219",",,S","  252","H,,S"
"ITM00016153","2018-07-14","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  310",",,S","  216",",,S","  259","H,,S"
"ITM00016153","2018-07-15","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  294",",,S",,,"  262","H,,S"
"ITM00016153","2018-07-16","43.95","8.167","221.0","CAPE MELE, IT","  150","B,,S",,,"  270",",,S",,,"  232","H,,S"
"ITM00016153","2018-07-17","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  298",",,S","  171",",,S","  249","H,,S"
"ITM00016153","2018-07-18","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  278",",,S","  218",",,S","  244","H,,S"
"ITM00016153","2018-07-19","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  298",",,S","  223",",,S","  246","H,,S"
"ITM00016153","2018-07-20","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  287",",,S",,,"  252","H,,S"
"ITM00016153","2018-07-21","43.95","8.167","221.0","CAPE MELE, IT","   79","B,,S",,,,,,,"  243","H,,S"
"ITM00016153","2018-07-22","43.95","8.167","221.0","CAPE MELE, IT","  460","B,,S",,,"  272",",,S","  184",",,S","  248","H,,S"
"ITM00016153","2018-07-23","43.95","8.167","221.0","CAPE MELE, IT","    3","B,,S",,,"  282",",,S",,,"  251","H,,S"
"ITM00016153","2018-07-24","43.95","8.167","221.0","CAPE MELE, IT",,,,,"  282",",,S","  230",",,S","  252","H,,S"
"ITM00016153","2018-07-25","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  298",",,S","  226",",,S","  254","H,,S"
"ITM00016153","2018-07-26","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  284",",,S","  230",",,S","  250","H,,S"
"ITM00016153","2018-07-27","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  292",",,S","  229",",,S","  255","H,,S"
"ITM00016153","2018-07-28","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  288",",,S","  238",",,S","  256","H,,S"
"ITM00016153","2018-07-29","43.95","8.167","221.0","CAPE MELE, IT","   43",",,S",,,"  302",",,S","  236",",,S","  263","H,,S"
"ITM00016153","2018-07-30","43.95","8.167","221.0","CAPE MELE, IT","    0",",,S",,,"  315",",,S","  246",",,S","  277","H,,S"
"ITM00016153","2018-07-31","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  325",",,S","  269",",,S","  294","H,,S"
"ITM00016153","2018-08-01","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  322",",,S","  260",",,S","  283","H,,S"
"ITM00016153","2018-08-02","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  328",",,S","  264",",,S","  295","H,,S"
"ITM00016153","2018-08-03","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  348",",,S","  275",",,S","  304","H,,S"
"ITM00016153","2018-08-04","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  348",",,S","  278",",,S","  308","H,,S"
"ITM00016153","2018-08-05","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  341",",,S","  278",",,S","  303","H,,S"
"ITM00016153","2018-08-06","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  324",",,S",,,"  286","H,,S"
"ITM00016153","2018-08-07","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  308",",,S","  250",",,S","  272","H,,S"
"ITM00016153","2018-08-08","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  294",",,S",,,"  266","H,,S"
"ITM00016153","2018-08-09","43.95","8.167","221.0","CAPE MELE, IT","    3","B,,S",,,,,"  240",",,S","  259","H,,S"
"ITM00016153","2018-08-10","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,,,"  230",",,S","  256","H,,S"
"ITM00016153","2018-08-11","43.95","8.167","221.0","CAPE MELE, IT","    0","B,,S",,,"  321",",,S","  229",",,S","  262","H,,S"
