"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"JA000047631","2018-06-23","35.65","136.067","12.0","TSURUGA, JA","   30","B,,S",,,"  252",",,S","  191",",,S","  211","H,,S"
"JA000047631","2018-06-24","35.65","136.067","12.0","TSURUGA, JA","    0","B,,S",,,"  271",",,S","  192",",,S","  233","H,,S"
"JA000047631","2018-06-25","35.65","136.067","12.0","TSURUGA, JA","    0","B,,S",,,"  308",",,S","  195",",,S","  264","H,,S"
"JA000047631","2018-06-26","35.65","136.067","12.0","TSURUGA, JA","    0","B,,S",,,"  319",",,S","  230",",,S","  284","H,,S"
"JA000047631","2018-06-27","35.65","136.067","12.0","TSURUGA, JA","    0","B,,S",,,"  309",",,S",,,"  277","H,,S"
"JA000047631","2018-06-28","35.65","136.067","12.0","TSURUGA, JA","  119","B,,S",,,"  312",",,S","  233",",,S","  288","H,,S"
"JA000047631","2018-06-29","35.65","136.067","12.0","TSURUGA, JA","  201","B,,S",,,"  300",",,S",,,"  258","H,,S"
"JA000047631","2018-06-30","35.65","136.067","12.0","TSURUGA, JA","   30","B,,S",,,"  333",",,S","  238",",,S","  283","H,,S"
"JA000047631","2018-07-01","35.65","136.067","12.0","TSURUGA, JA","    0","B,,S",,,"  329",",,S","  241",",,S","  292","H,,S"
"JA000047631","2018-07-02","35.65","136.067","12.0","TSURUGA, JA","    0","B,,S",,,"  339",",,S","  263",",,S","  295","H,,S"
"JA000047631","2018-07-03","35.65","136.067","12.0","TSURUGA, JA","    0","B,,S",,,"  329",",,S",,,"  288","H,,S"
"JA000047631","2018-07-04","35.65","136.067","12.0","TSURUGA, JA","   30","B,,S",,,"  285",",,S",,,"  261","H,,S"
"JA000047631","2018-07-05","35.65","136.067","12.0","TSURUGA, JA"," 1430","B,,S",,,"  255",",,S",,,"  230","H,,S"
"JA000047631","2018-07-06","35.65","136.067","12.0","TSURUGA, JA","  450","B,,S",,,,,"  205",",,S","  241","H,,S"
"JA000047631","2018-07-07","35.65","136.067","12.0","TSURUGA, JA","  381","B,,S",,,"  268",",,S","  217",",,S","  247","H,,S"
"JA000047631","2018-07-08","35.65","136.067","12.0","TSURUGA, JA","    5","B,,S",,,"  322",",,S","  216",",,S","  288","H,,S"
