"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"JA000047936","2018-06-29","26.2","127.683","53.0","NAHA, JA","    0",",,S","  329",",,S",,,"  288","H,,S"
"JA000047936","2018-06-30","26.2","127.683","53.0","NAHA, JA","  165",",,S","  308",",,S","  252",",,S","  281","H,,S"
"JA000047936","2018-07-01","26.2","127.683","53.0","NAHA, JA","   51",",,S","  296",",,S",,,"  271","H,,S"
"JA000047936","2018-07-02","26.2","127.683","53.0","NAHA, JA"," 1580",",,S","  289",",,S","  256",",,S","  272","H,,S"
"JA000047936","2018-07-03","26.2","127.683","53.0","NAHA, JA","  236",",,S","  266",",,S",,,"  258","H,,S"
"JA000047936","2018-07-04","26.2","127.683","53.0","NAHA, JA","  706",",,S",,,"  245",",,S","  259","H,,S"
"JA000047936","2018-07-05","26.2","127.683","53.0","NAHA, JA","  574",",,S","  281",",,S","  251",",,S","  263","H,,S"
"JA000047936","2018-07-06","26.2","127.683","53.0","NAHA, JA","  249",",,S","  301",",,S","  250",",,S","  280","H,,S"
"JA000047936","2018-07-07","26.2","127.683","53.0","NAHA, JA","    0",",,S","  308",",,S",,,"  281","H,,S"
"JA000047936","2018-07-08","26.2","127.683","53.0","NAHA, JA","    0",",,S","  317",",,S","  261",",,S","  288","H,,S"
"JA000047936","2018-07-09","26.2","127.683","53.0","NAHA, JA","    0",",,S","  316",",,S","  266",",,S","  292","H,,S"
"JA000047936","2018-07-10","26.2","127.683","53.0","NAHA, JA","    0",",,S","  285",",,S",,,"  277","H,,S"
"JA000047936","2018-07-11","26.2","127.683","53.0","NAHA, JA","    0",",,S","  308",",,S",,,"  282","H,,S"
"JA000047936","2018-07-12","26.2","127.683","53.0","NAHA, JA","    0",",,S","  314",",,S","  265",",,S","  284","H,,S"
"JA000047936","2018-07-13","26.2","127.683","53.0","NAHA, JA","    0",",,S","  319",",,S","  268",",,S","  286","H,,S"
"JA000047936","2018-07-14","26.2","127.683","53.0","NAHA, JA","    0",",,S","  304",",,S",,,"  281","H,,S"
"JA000047936","2018-07-15","26.2","127.683","53.0","NAHA, JA","    0",",,S","  313",",,S","  265",",,S","  287","H,,S"
"JA000047936","2018-07-16","26.2","127.683","53.0","NAHA, JA","   20",",,S","  310",",,S","  267",",,S","  286","H,,S"
"JA000047936","2018-07-17","26.2","127.683","53.0","NAHA, JA","    0",",,S","  315",",,S","  268",",,S","  287","H,,S"
"JA000047936","2018-07-18","26.2","127.683","53.0","NAHA, JA","   30",",,S","  315",",,S","  265",",,S","  286","H,,S"
"JA000047936","2018-07-19","26.2","127.683","53.0","NAHA, JA","   25",",,S","  319",",,S","  266",",,S","  288","H,,S"
"JA000047936","2018-07-20","26.2","127.683","53.0","NAHA, JA","    0",",,S","  324",",,S",,,"  283","H,,S"
