"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"MZ000067217","2017-11-14","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  311",",,S","  180",",,S","  242","H,,S"
"MZ000067217","2017-11-15","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  326",",,S","  170",",,S","  250","H,,S"
"MZ000067217","2017-11-16","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  328",",,S",,,"  250","H,,S"
"MZ000067217","2017-11-17","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  323",",,S",,,"  250","H,,S"
"MZ000067217","2017-11-18","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,,,"  177",",,S","  213","H,,S"
"MZ000067217","2017-11-19","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  292",",,S","  170",",,S","  234","H,,S"
"MZ000067217","2017-11-20","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  291",",,S","  170",",,S","  238","H,,S"
"MZ000067217","2017-11-21","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  310",",,S","  168",",,S","  226","H,,S"
"MZ000067217","2017-11-22","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,,,,,"  218","H,,S"
"MZ000067217","2017-11-23","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,,,"  180",",,S","  221","H,,S"
"MZ000067217","2017-11-24","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  274",",,S","  181",",,S","  228","H,,S"
"MZ000067217","2017-11-25","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  265",",,S",,,"  203","H,,S"
"MZ000067217","2017-11-26","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,,,"  180",",,S","  207","H,,S"
"MZ000067217","2017-11-28","-13.3","35.233","1365.0","LICHINGA, MZ","  249",",,S",,,,,"  162",",,S","  212","H,,S"
"MZ000067217","2017-11-29","-13.3","35.233","1365.0","LICHINGA, MZ","  130",",,S",,,"  222",",,S","  166",",,S","  192","H,,S"
"MZ000067217","2017-11-30","-13.3","35.233","1365.0","LICHINGA, MZ","    3",",,S",,,"  253",",,S","  163",",,S","  191","H,,S"
"MZ000067217","2017-12-01","-13.3","35.233","1365.0","LICHINGA, MZ","   41",",,S",,,"  264",",,S","  159",",,S","  204","H,,S"
"MZ000067217","2017-12-02","-13.3","35.233","1365.0","LICHINGA, MZ","   41",",,S",,,,,"  170",",,S","  211","H,,S"
"MZ000067217","2017-12-03","-13.3","35.233","1365.0","LICHINGA, MZ","  109",",,S",,,"  274",",,S","  173",",,S","  213","H,,S"
"MZ000067217","2017-12-04","-13.3","35.233","1365.0","LICHINGA, MZ","   89",",,S",,,,,"  175",",,S","  230","H,,S"
"MZ000067217","2017-12-05","-13.3","35.233","1365.0","LICHINGA, MZ","    0",",,S",,,,,"  160",",,S","  248","H,,S"
"MZ000067217","2017-12-06","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,,,"  176",",,S","  251","H,,S"
"MZ000067217","2017-12-07","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  245",",,S","  175",",,S","  200","H,,S"
"MZ000067217","2017-12-08","-13.3","35.233","1365.0","LICHINGA, MZ",,,,,"  247",",,S","  173",",,S","  202","H,,S"
