"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"MZ000067335","2018-05-19","-25.05","33.633","5.0","XAI XAI, MZ","   61",",,S","  262",",,S","  188",",,S","  228","H,,S"
"MZ000067335","2018-05-20","-25.05","33.633","5.0","XAI XAI, MZ","   30",",,S","  245",",,S","  181",",,S","  212","H,,S"
"MZ000067335","2018-05-21","-25.05","33.633","5.0","XAI XAI, MZ","    3",",,S","  296",",,S","  176",",,S","  222","H,,S"
"MZ000067335","2018-05-22","-25.05","33.633","5.0","XAI XAI, MZ","    0",",,S","  314",",,S","  198",",,S","  242","H,,S"
"MZ000067335","2018-05-23","-25.05","33.633","5.0","XAI XAI, MZ",,,"  295",",,S","  185",",,S","  226","H,,S"
"MZ000067335","2018-05-24","-25.05","33.633","5.0","XAI XAI, MZ",,,,,"  195",",,S","  247","H,,S"
"MZ000067335","2018-05-26","-25.05","33.633","5.0","XAI XAI, MZ",,,"  283",",,S","  175",",,S","  222","H,,S"
"MZ000067335","2018-05-27","-25.05","33.633","5.0","XAI XAI, MZ",,,,,,,"  196","H,,S"
"MZ000067335","2018-05-28","-25.05","33.633","5.0","XAI XAI, MZ",,,"  287",",,S",,,"  208","H,,S"
"MZ000067335","2018-05-29","-25.05","33.633","5.0","XAI XAI, MZ",,,,,"  184",",,S","  234","H,,S"
"MZ000067335","2018-05-30","-25.05","33.633","5.0","XAI XAI, MZ",,,"  258",",,S",,,"  209","H,,S"
"MZ000067335","2018-05-31","-25.05","33.633","5.0","XAI XAI, MZ",,,"  300",",,S","  145",",,S","  208","H,,S"
"MZ000067335","2018-06-01","-25.05","33.633","5.0","XAI XAI, MZ",,,"  310",",,S","  173",",,S","  229","H,,S"
"MZ000067335","2018-06-02","-25.05","33.633","5.0","XAI XAI, MZ",,,"  258",",,S","  156",",,S","  216","H,,S"
