"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NLE00113730","2018-04-01","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","   61",",,E","   47",",,E"
"NLE00113730","2018-04-02","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  120",",,E","   50",",,E"
"NLE00113730","2018-04-03","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  125",",,E","   69",",,E"
"NLE00113730","2018-04-04","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  106",",,E","   68",",,E"
"NLE00113730","2018-04-05","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","   79",",,E","   50",",,E"
"NLE00113730","2018-04-06","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  121",",,E","   55",",,E"
"NLE00113730","2018-04-07","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  171",",,E","   83",",,E"
"NLE00113730","2018-04-08","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  105",",,E","   62",",,E"
"NLE00113730","2018-04-09","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","   80",",,E","   63",",,E"
"NLE00113730","2018-04-10","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  154",",,E","   75",",,E"
"NLE00113730","2018-04-11","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  120",",,E","   77",",,E"
"NLE00113730","2018-04-12","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  121",",,E","   78",",,E"
"NLE00113730","2018-04-13","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  104",",,E","   76",",,E"
"NLE00113730","2018-04-14","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  104",",,E","   76",",,E"
"NLE00113730","2018-04-15","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  130",",,E","   90",",,E"
"NLE00113730","2018-04-16","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  105",",,E","   81",",,E"
"NLE00113730","2018-04-17","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  162",",,E","   85",",,E"
"NLE00113730","2018-04-18","51.9256","3.67","23.0","LICHTEILAND GOEREE, NL","  200",",,E","  123",",,E"
