"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00134598","2018-04-01","61.7706","5.2989","3.0","SVELGEN II, NO","    0",",,E",,,"   54",",,E","  -30",",,E"
"NOE00134598","2018-04-02","61.7706","5.2989","3.0","SVELGEN II, NO","   18",",,E",,,"   60",",,E","  -23",",,E"
"NOE00134598","2018-04-03","61.7706","5.2989","3.0","SVELGEN II, NO","    0",",,E",,,"   54",",,E","  -17",",,E"
"NOE00134598","2018-04-04","61.7706","5.2989","3.0","SVELGEN II, NO","   39",",,E",,,"   60",",,E","   -6",",,E"
"NOE00134598","2018-04-05","61.7706","5.2989","3.0","SVELGEN II, NO","   43",",,E",,,"   54",",,E","  -11",",,E"
"NOE00134598","2018-04-06","61.7706","5.2989","3.0","SVELGEN II, NO","   19",",,E",,,"   70",",,E","  -13",",,E"
"NOE00134598","2018-04-07","61.7706","5.2989","3.0","SVELGEN II, NO","    8",",,E",,,"   96",",,E","   30",",,E"
"NOE00134598","2018-04-08","61.7706","5.2989","3.0","SVELGEN II, NO","   18",",,E",,,"   87",",,E","   58",",,E"
"NOE00134598","2018-04-09","61.7706","5.2989","3.0","SVELGEN II, NO","   26",",,E",,,"   81",",,E","   47",",,E"
"NOE00134598","2018-04-10","61.7706","5.2989","3.0","SVELGEN II, NO","   23",",,E",,,"  116",",,E","   38",",,E"
"NOE00134598","2018-04-11","61.7706","5.2989","3.0","SVELGEN II, NO","    0",",,E",,,"  138",",,E","    5",",,E"
"NOE00134598","2018-04-12","61.7706","5.2989","3.0","SVELGEN II, NO","    0",",,E",,,"  174",",,E","   14",",,E"
"NOE00134598","2018-04-13","61.7706","5.2989","3.0","SVELGEN II, NO","    0",",,E",,,"  178",",,E","   33",",,E"
"NOE00134598","2018-04-14","61.7706","5.2989","3.0","SVELGEN II, NO","    0",",,E",,,"  180",",,E","   56",",,E"
"NOE00134598","2018-04-15","61.7706","5.2989","3.0","SVELGEN II, NO","    0",",,E",,,"  174",",,E","   39",",,E"
"NOE00134598","2018-04-16","61.7706","5.2989","3.0","SVELGEN II, NO","    0",",,E",,,"  130",",,E","   53",",,E"
"NOE00134598","2018-04-17","61.7706","5.2989","3.0","SVELGEN II, NO","    0",",,E",,,"  153",",,E","   68",",,E"
"NOE00134598","2018-04-18","61.7706","5.2989","3.0","SVELGEN II, NO","   69",",,E",,,"  138",",,E","   84",",,E"
"NOE00134598","2018-04-19","61.7706","5.2989","3.0","SVELGEN II, NO","   12",",,E",,,"  182",",,E","  119",",,E"
"NOE00134598","2018-04-20","61.7706","5.2989","3.0","SVELGEN II, NO","   22",",,E",,,"  147",",,E","   75",",,E"
"NOE00134598","2018-04-21","61.7706","5.2989","3.0","SVELGEN II, NO","   81",",,E",,,"  106",",,E","   68",",,E"
"NOE00134598","2018-04-22","61.7706","5.2989","3.0","SVELGEN II, NO","   23",",,E",,,"  138",",,E","   54",",,E"
"NOE00134598","2018-04-23","61.7706","5.2989","3.0","SVELGEN II, NO","   62",",,E",,,"  121",",,E","   74",",,E"
"NOE00134598","2018-04-24","61.7706","5.2989","3.0","SVELGEN II, NO","  212",",,E",,,"   77",",,E","   54",",,E"
"NOE00134598","2018-04-25","61.7706","5.2989","3.0","SVELGEN II, NO","  230",",,E",,,"   91",",,E","   41",",,E"
"NOE00134598","2018-04-26","61.7706","5.2989","3.0","SVELGEN II, NO","   21",",,E",,,"   99",",,E","   52",",,E"
"NOE00134598","2018-04-27","61.7706","5.2989","3.0","SVELGEN II, NO","   28",",,E",,,"   85",",,E","   49",",,E"
"NOE00134598","2018-04-28","61.7706","5.2989","3.0","SVELGEN II, NO","   69",",,E",,,"   89",",,E","   27",",,E"
"NOE00134598","2018-04-29","61.7706","5.2989","3.0","SVELGEN II, NO","    2",",,E",,,"  111",",,E","    3",",,E"
"NOE00134598","2018-04-30","61.7706","5.2989","3.0","SVELGEN II, NO","    3",",,E",,,"  140",",,E","    9",",,E"
"NOE00134598","2018-05-01","61.7706","5.2989","3.0","SVELGEN II, NO","    0",",,E",,,"  131",",,E","   62",",,E"
"NOE00134598","2018-05-02","61.7706","5.2989","3.0","SVELGEN II, NO","    3",",,E",,,"  130",",,E","   76",",,E"
"NOE00134598","2018-05-03","61.7706","5.2989","3.0","SVELGEN II, NO","   41",",,E",,,"  113",",,E","   56",",,E"
"NOE00134598","2018-05-04","61.7706","5.2989","3.0","SVELGEN II, NO","   42",",,E",,,"  115",",,E","   75",",,E"
"NOE00134598","2018-05-05","61.7706","5.2989","3.0","SVELGEN II, NO","   65",",,E",,,"  153",",,E","   94",",,E"
"NOE00134598","2018-05-06","61.7706","5.2989","3.0","SVELGEN II, NO","   75",",,E",,,"  147",",,E","   92",",,E"
"NOE00134598","2018-05-07","61.7706","5.2989","3.0","SVELGEN II, NO","  119",",,E",,,"  148",",,E","   87",",,E"
"NOE00134598","2018-05-08","61.7706","5.2989","3.0","SVELGEN II, NO","    6",",,E",,,"  221",",,E","  113",",,E"
"NOE00134598","2018-05-09","61.7706","5.2989","3.0","SVELGEN II, NO","   19",",,E",,,"  220",",,E","  126",",,E"
"NOE00134598","2018-05-10","61.7706","5.2989","3.0","SVELGEN II, NO","   26",",,E",,,"  156",",,E","   90",",,E"
"NOE00134598","2018-05-11","61.7706","5.2989","3.0","SVELGEN II, NO","  263",",,E",,,"  187",",,E","   40",",,E"
