"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"NZM00093439","2018-06-25","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","    3",",,S","  131",",,S",,,"   91","H,,S"
"NZM00093439","2018-06-26","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","    0",",,S","   99",",,S","   46",",,S","   82","H,,S"
"NZM00093439","2018-06-27","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","    5",",,S","  133",",,S","   49",",,S","   85","H,,S"
"NZM00093439","2018-06-28","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","    0",",,S","  115",",,S",,,"   72","H,,S"
"NZM00093439","2018-06-29","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","    0",",,S","  118",",,S","   34",",,S","   78","H,,S"
"NZM00093439","2018-06-30","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","    3",",,S","  127",",,S","   41",",,S","  104","H,,S"
"NZM00093439","2018-07-01","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","   25",",,S","  133",",,S","   82",",,S","  116","H,,S"
"NZM00093439","2018-07-02","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","  165",",,S","  127",",,S","   88",",,S","  106","H,,S"
"NZM00093439","2018-07-03","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","    0",",,S","  109",",,S",,,"   74","H,,S"
"NZM00093439","2018-07-04","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","    0",",,S",,,"   33",",,S","   89","H,,S"
"NZM00093439","2018-07-05","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ",,,"  116",",,S","   35",",,S","   97","H,,S"
"NZM00093439","2018-07-06","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","    0",",,S",,,"   82",",,S","  122","H,,S"
"NZM00093439","2018-07-07","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","    0",",,S","  146",",,S","  112",",,S","  136","H,,S"
"NZM00093439","2018-07-08","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","  201",",,S","  144",",,S",,,"  129","H,,S"
"NZM00093439","2018-07-09","-41.333","174.8","12.0","WELLINGTON AERO AWS, NZ","  406",",,S","  136",",,S",,,"  105","H,,S"
