"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"SF000227590","2018-06-17","-33.617","19.467","270.0","WORCESTER, SF",,,"  200",",,S","   67",",,S",,,"  131","H,,S"
"SF000227590","2018-06-18","-33.617","19.467","270.0","WORCESTER, SF","   41",",,S","  200",",,S","  120",",,S",,,"  139","H,,S"
"SF000227590","2018-06-19","-33.617","19.467","270.0","WORCESTER, SF","   41",",,S","  171",",,S","  117",",,S",,,"  136","H,,S"
"SF000227590","2018-06-20","-33.617","19.467","270.0","WORCESTER, SF","   10",",,S","  189",",,S","   63",",,S",,,"  115","H,,S"
"SF000227590","2018-06-21","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S","  189",",,S","   38",",,S",,,"  116","H,,S"
"SF000227590","2018-06-22","-33.617","19.467","270.0","WORCESTER, SF",,,"  201",",,S","  123",",,S",,,"  159","H,,S"
"SF000227590","2018-06-23","-33.617","19.467","270.0","WORCESTER, SF",,,"  201",",,S","  123",",,S",,,"  152","H,,S"
"SF000227590","2018-06-24","-33.617","19.467","270.0","WORCESTER, SF",,,"  185",",,S","  122",",,S",,,"  141","H,,S"
"SF000227590","2018-06-25","-33.617","19.467","270.0","WORCESTER, SF",,,"  184",",,S","   73",",,S",,,"  124","H,,S"
"SF000227590","2018-06-26","-33.617","19.467","270.0","WORCESTER, SF",,,"  184",",,S","   51",",,S",,,"  103","H,,S"
"SF000227590","2018-06-27","-33.617","19.467","270.0","WORCESTER, SF","   10",",,S","  180",",,S","   84",",,S",,,"  127","H,,S"
"SF000227590","2018-06-28","-33.617","19.467","270.0","WORCESTER, SF","   20",",,S","  168",",,S","   44",",,S",,,"   99","H,,S"
"SF000227590","2018-06-29","-33.617","19.467","270.0","WORCESTER, SF","    3",",,S","  153",",,S","   57",",,S",,,"  118","H,,S"
"SF000227590","2018-06-30","-33.617","19.467","270.0","WORCESTER, SF","   20",",,S","  186",",,S","  128",",,S",,,"  157","H,,S"
"SF000227590","2018-07-01","-33.617","19.467","270.0","WORCESTER, SF","    5",",,S","  201",",,S","   84",",,S",,,"  135","H,,S"
"SF000227590","2018-07-02","-33.617","19.467","270.0","WORCESTER, SF","  361",",,S","  201",",,S","   61",",,S",,,"   83","H,,S"
"SF000227590","2018-07-03","-33.617","19.467","270.0","WORCESTER, SF","   30",",,S","  147",",,S","   67",",,S",,,"  104","H,,S"
"SF000227590","2018-07-04","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S","  173",",,S","   21",",,S",,,"   90","H,,S"
"SF000227590","2018-07-05","-33.617","19.467","270.0","WORCESTER, SF",,,"  194",",,S","   27",",,S",,,"   93","H,,S"
"SF000227590","2018-07-06","-33.617","19.467","270.0","WORCESTER, SF",,,"  208",",,S","   24",",,S",,,"   97","H,,S"
"SF000227590","2018-07-07","-33.617","19.467","270.0","WORCESTER, SF",,,"  221",",,S","   24",",,S",,,"   99","H,,S"
"SF000227590","2018-07-08","-33.617","19.467","270.0","WORCESTER, SF",,,"  221",",,S","   25",",,S",,,"   86","H,,S"
"SF000227590","2018-07-09","-33.617","19.467","270.0","WORCESTER, SF",,,"  241",",,S","   37",",,S",,,"  117","H,,S"
"SF000227590","2018-07-10","-33.617","19.467","270.0","WORCESTER, SF",,,"  241",",,S","   58",",,S",,,"  123","H,,S"
"SF000227590","2018-07-11","-33.617","19.467","270.0","WORCESTER, SF",,,"  258",",,S","   53",",,S",,,"  154","H,,S"
"SF000227590","2018-07-12","-33.617","19.467","270.0","WORCESTER, SF",,,"  258",",,S","  105",",,S",,,"  142","H,,S"
"SF000227590","2018-07-13","-33.617","19.467","270.0","WORCESTER, SF",,,"  168",",,S","   91",",,S",,,"  107","H,,S"
"SF000227590","2018-07-14","-33.617","19.467","270.0","WORCESTER, SF",,,"  157",",,S","   69",",,S",,,"  107","H,,S"
"SF000227590","2018-07-15","-33.617","19.467","270.0","WORCESTER, SF",,,"  171",",,S","   48",",,S",,,"  107","H,,S"
"SF000227590","2018-07-16","-33.617","19.467","270.0","WORCESTER, SF",,,"  171",",,S","   61",",,S",,,"  107","H,,S"
"SF000227590","2018-07-17","-33.617","19.467","270.0","WORCESTER, SF",,,"  216",",,S","   50",",,S",,,"  119","H,,S"
"SF000227590","2018-07-18","-33.617","19.467","270.0","WORCESTER, SF",,,"  251",",,S","   68",",,S",,,"  143","H,,S"
"SF000227590","2018-07-19","-33.617","19.467","270.0","WORCESTER, SF",,,"  262",",,S","   87",",,S",,,"  159","H,,S"
"SF000227590","2018-07-20","-33.617","19.467","270.0","WORCESTER, SF",,,"  263",",,S","  128",",,S",,,"  175","H,,S"
"SF000227590","2018-07-21","-33.617","19.467","270.0","WORCESTER, SF",,,"  263",",,S","   66",",,S",,,"  132","H,,S"
"SF000227590","2018-07-22","-33.617","19.467","270.0","WORCESTER, SF",,,"  284",",,S","   68",",,S",,,"  173","H,,S"
"SF000227590","2018-07-23","-33.617","19.467","270.0","WORCESTER, SF",,,"  299",",,S","  162",",,S",,,"  225","H,,S"
"SF000227590","2018-07-24","-33.617","19.467","270.0","WORCESTER, SF",,,"  299",",,S","  135",",,S",,,"  180","H,,S"
"SF000227590","2018-07-25","-33.617","19.467","270.0","WORCESTER, SF",,,"  235",",,S","  101",",,S",,,"  151","H,,S"
"SF000227590","2018-07-26","-33.617","19.467","270.0","WORCESTER, SF",,,"  213",",,S","  116",",,S",,,"  153","H,,S"
"SF000227590","2018-07-27","-33.617","19.467","270.0","WORCESTER, SF","   10",",,S","  213",",,S","  100",",,S",,,"  138","H,,S"
"SF000227590","2018-07-28","-33.617","19.467","270.0","WORCESTER, SF","   10",",,S","  202",",,S","   71",",,S",,,"  131","H,,S"
"SF000227590","2018-07-29","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S","  202",",,S","   59",",,S",,,"  111","H,,S"
"SF000227590","2018-07-30","-33.617","19.467","270.0","WORCESTER, SF",,,"  199",",,S","   37",",,S",,,"  122","H,,S"
"SF000227590","2018-07-31","-33.617","19.467","270.0","WORCESTER, SF",,,"  199",",,S","   33",",,S",,,"  109","H,,S"
"SF000227590","2018-08-01","-33.617","19.467","270.0","WORCESTER, SF",,,"  177",",,S","   77",",,S",,,"  123","H,,S"
"SF000227590","2018-08-02","-33.617","19.467","270.0","WORCESTER, SF",,,"  193",",,S","   34",",,S",,,"  113","H,,S"
"SF000227590","2018-08-03","-33.617","19.467","270.0","WORCESTER, SF",,,"  201",",,S","   81",",,S",,,"  133","H,,S"
"SF000227590","2018-08-04","-33.617","19.467","270.0","WORCESTER, SF",,,"  201",",,S","   87",",,S",,,"  132","H,,S"
"SF000227590","2018-08-05","-33.617","19.467","270.0","WORCESTER, SF",,,"  196",",,S","   75",",,S",,,"  129","H,,S"
"SF000227590","2018-08-06","-33.617","19.467","270.0","WORCESTER, SF",,,"  182",",,S","   97",",,S",,,"  128","H,,S"
"SF000227590","2018-08-07","-33.617","19.467","270.0","WORCESTER, SF",,,"  175",",,S","   61",",,S",,,"   97","H,,S"
"SF000227590","2018-08-08","-33.617","19.467","270.0","WORCESTER, SF",,,"  163",",,S","    9",",,S",,,"   81","H,,S"
"SF000227590","2018-08-09","-33.617","19.467","270.0","WORCESTER, SF",,,"  166",",,S","   38",",,S",,,"   93","H,,S"
"SF000227590","2018-08-10","-33.617","19.467","270.0","WORCESTER, SF",,,"  181",",,S","   37",",,S",,,"  101","H,,S"
"SF000227590","2018-08-11","-33.617","19.467","270.0","WORCESTER, SF",,,"  196",",,S","   11",",,S",,,"  114","H,,S"
"SF000227590","2018-08-12","-33.617","19.467","270.0","WORCESTER, SF",,,"  196",",,S","   90",",,S",,,"  145","H,,S"
"SF000227590","2018-08-13","-33.617","19.467","270.0","WORCESTER, SF",,,"  195",",,S","   97",",,S",,,"  126","H,,S"
"SF000227590","2018-08-14","-33.617","19.467","270.0","WORCESTER, SF",,,"  178",",,S","   23",",,S",,,"  103","H,,S"
"SF000227590","2018-08-15","-33.617","19.467","270.0","WORCESTER, SF",,,"  186",",,S","   27",",,S",,,"   95","H,,S"
"SF000227590","2018-08-16","-33.617","19.467","270.0","WORCESTER, SF",,,"  186",",,S","   19",",,S",,,"  103","H,,S"
"SF000227590","2018-08-17","-33.617","19.467","270.0","WORCESTER, SF","   10",",,S","  164",",,S","   64",",,S",,,"  111","H,,S"
"SF000227590","2018-08-18","-33.617","19.467","270.0","WORCESTER, SF","    3",",,S","  212",",,S","    1",",,S",,,"   87","H,,S"
"SF000227590","2018-08-19","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S","  212",",,S","   20",",,S",,,"  127","H,,S"
"SF000227590","2018-08-20","-33.617","19.467","270.0","WORCESTER, SF","   30",",,S","  196",",,S","  106",",,S",,,"  125","H,,S"
"SF000227590","2018-08-21","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S","  177",",,S","   69",",,S",,,"  112","H,,S"
"SF000227590","2018-08-22","-33.617","19.467","270.0","WORCESTER, SF","    3",",,S","  178",",,S","   51",",,S",,,"  114","H,,S"
"SF000227590","2018-08-23","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S","  206",",,S","   86",",,S",,,"  139","H,,S"
"SF000227590","2018-08-24","-33.617","19.467","270.0","WORCESTER, SF",,,"  244",",,S","   33",",,S",,,"  120","H,,S"
"SF000227590","2018-08-25","-33.617","19.467","270.0","WORCESTER, SF",,,"  244",",,S","   40",",,S",,,"  124","H,,S"
"SF000227590","2018-08-26","-33.617","19.467","270.0","WORCESTER, SF","  180",",,S","  175",",,S","   54",",,S",,,"   76","H,,S"
"SF000227590","2018-08-27","-33.617","19.467","270.0","WORCESTER, SF","   41",",,S","  126",",,S","   67",",,S",,,"  102","H,,S"
"SF000227590","2018-08-28","-33.617","19.467","270.0","WORCESTER, SF","    3",",,S","  191",",,S","   98",",,S",,,"  133","H,,S"
"SF000227590","2018-08-29","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S","  210",",,S","   59",",,S",,,"  126","H,,S"
"SF000227590","2018-08-30","-33.617","19.467","270.0","WORCESTER, SF",,,"  221",",,S","  113",",,S",,,"  148","H,,S"
"SF000227590","2018-08-31","-33.617","19.467","270.0","WORCESTER, SF",,,"  221",",,S","   82",",,S",,,"  139","H,,S"
"SF000227590","2018-09-01","-33.617","19.467","270.0","WORCESTER, SF",,,"  226",",,S","   44",",,S",,,"  129","H,,S"
"SF000227590","2018-09-02","-33.617","19.467","270.0","WORCESTER, SF",,,"  226",",,S","   81",",,S",,,"  123","H,,S"
"SF000227590","2018-09-03","-33.617","19.467","270.0","WORCESTER, SF",,,"  220",",,S","   99",",,S",,,"  151","H,,S"
"SF000227590","2018-09-04","-33.617","19.467","270.0","WORCESTER, SF",,,"  220",",,S","   84",",,S",,,"  138","H,,S"
"SF000227590","2018-09-05","-33.617","19.467","270.0","WORCESTER, SF","   10",",,S","  191",",,S","   74",",,S",,,"   97","H,,S"
"SF000227590","2018-09-06","-33.617","19.467","270.0","WORCESTER, SF","   71",",,S","  145",",,S","   54",",,S",,,"   89","H,,S"
"SF000227590","2018-09-07","-33.617","19.467","270.0","WORCESTER, SF","    3",",,S","  145",",,S","   52",",,S",,,"   81","H,,S"
"SF000227590","2018-09-08","-33.617","19.467","270.0","WORCESTER, SF","   30",",,S","  169",",,S","   69",",,S",,,"  109","H,,S"
"SF000227590","2018-09-09","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S","  191",",,S","   24",",,S",,,"  107","H,,S"
"SF000227590","2018-09-10","-33.617","19.467","270.0","WORCESTER, SF",,,"  251",",,S","   25",",,S",,,"  134","H,,S"
"SF000227590","2018-09-11","-33.617","19.467","270.0","WORCESTER, SF",,,"  252",",,S","   45",",,S",,,"  146","H,,S"
"SF000227590","2018-09-12","-33.617","19.467","270.0","WORCESTER, SF",,,"  252",",,S","  123",",,S",,,"  146","H,,S"
"SF000227590","2018-09-13","-33.617","19.467","270.0","WORCESTER, SF","    3",",,S","  191",",,S","  124",",,S",,,"  149","H,,S"
"SF000227590","2018-09-14","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S","  202",",,S","  127",",,S",,,"  157","H,,S"
"SF000227590","2018-09-15","-33.617","19.467","270.0","WORCESTER, SF",,,"  215",",,S","   93",",,S",,,"  157","H,,S"
"SF000227590","2018-09-16","-33.617","19.467","270.0","WORCESTER, SF",,,"  230",",,S","   68",",,S",,,"  153","H,,S"
"SF000227590","2018-09-19","-33.617","19.467","270.0","WORCESTER, SF","   30",",,S","  173",",,S","   83",",,S",,,"  103","H,,S"
"SF000227590","2018-09-20","-33.617","19.467","270.0","WORCESTER, SF","   10",",,S","  194",",,S","   14",",,S",,,"  121","H,,S"
"SF000227590","2018-09-21","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S","  213",",,S","   25",",,S",,,"  118","H,,S"
"SF000227590","2018-09-22","-33.617","19.467","270.0","WORCESTER, SF",,,"  234",",,S","   45",",,S",,,"  139","H,,S"
"SF000227590","2018-09-23","-33.617","19.467","270.0","WORCESTER, SF",,,"  249",",,S","   64",",,S",,,"  153","H,,S"
"SF000227590","2018-09-25","-33.617","19.467","270.0","WORCESTER, SF",,,"  302",",,S","  109",",,S",,,"  149","H,,S"
"SF000227590","2018-09-26","-33.617","19.467","270.0","WORCESTER, SF",,,"  210",",,S","  129",",,S",,,"  164","H,,S"
"SF000227590","2018-09-27","-33.617","19.467","270.0","WORCESTER, SF",,,"  231",",,S","  135",",,S",,,"  176","H,,S"
"SF000227590","2018-09-28","-33.617","19.467","270.0","WORCESTER, SF","    5",",,S","  231",",,S","  111",",,S",,,"  160","H,,S"
"SF000227590","2018-09-29","-33.617","19.467","270.0","WORCESTER, SF","    3",",,S","  256",",,S","   65",",,S",,,"  156","H,,S"
"SF000227590","2018-09-30","-33.617","19.467","270.0","WORCESTER, SF","    0",",,S",,,"   60",",,S",,,"  181","H,,S"
"SF000227590","2018-10-01","-33.617","19.467","270.0","WORCESTER, SF",,,"  349",",,S","  123",",,S",,,"  187","H,,S"
"SF000227590","2018-10-02","-33.617","19.467","270.0","WORCESTER, SF",,,"  269",",,S","  100",",,S",,,"  144","H,,S"
"SF000227590","2018-10-03","-33.617","19.467","270.0","WORCESTER, SF",,,"  234",",,S","   69",",,S",,,"  147","H,,S"
"SF000227590","2018-10-04","-33.617","19.467","270.0","WORCESTER, SF",,,"  282",",,S","   78",",,S",,,"  178","H,,S"
"SF000227590","2018-10-05","-33.617","19.467","270.0","WORCESTER, SF",,,"  334",",,S","   89",",,S",,,"  211","H,,S"
"SF000227590","2018-10-06","-33.617","19.467","270.0","WORCESTER, SF",,,"  334",",,S","  134",",,S",,,"  202","H,,S"
"SF000227590","2018-10-07","-33.617","19.467","270.0","WORCESTER, SF",,,"  316",",,S","  169",",,S",,,"  227","H,,S"
"SF000227590","2018-10-08","-33.617","19.467","270.0","WORCESTER, SF",,,"  370",",,S","  158",",,S",,,"  241","H,,S"
"SF000227590","2018-10-09","-33.617","19.467","270.0","WORCESTER, SF",,,"  370",",,S","  158",",,S",,,"  236","H,,S"
"SF000227590","2018-10-10","-33.617","19.467","270.0","WORCESTER, SF",,,"  337",",,S","  138",",,S",,,"  198","H,,S"
"SF000227590","2018-10-11","-33.617","19.467","270.0","WORCESTER, SF",,,"  263",",,S","  153",",,S",,,"  194","H,,S"
"SF000227590","2018-10-12","-33.617","19.467","270.0","WORCESTER, SF",,,"  249",",,S","  125",",,S",,,"  155","H,,S"
"SF000227590","2018-10-13","-33.617","19.467","270.0","WORCESTER, SF",,,"  290",",,S","  109",",,S",,,"  192","H,,S"
"SF000227590","2018-10-14","-33.617","19.467","270.0","WORCESTER, SF",,,"  290",",,S","  139",",,S",,,"  186","H,,S"
"SF000227590","2018-10-15","-33.617","19.467","270.0","WORCESTER, SF",,,"  246",",,S","  149",",,S",,,"  188","H,,S"
"SF000227590","2018-10-16","-33.617","19.467","270.0","WORCESTER, SF",,,"  246",",,S","  123",",,S",,,"  162","H,,S"
"SF000227590","2018-10-17","-33.617","19.467","270.0","WORCESTER, SF",,,"  269",",,S","  120",",,S",,,"  196","H,,S"
"SF000227590","2018-10-18","-33.617","19.467","270.0","WORCESTER, SF",,,"  298",",,S","  113",",,S",,,"  206","H,,S"
"SF000227590","2018-10-19","-33.617","19.467","270.0","WORCESTER, SF",,,"  298",",,S","  150",",,S",,,"  183","H,,S"
"SF000227590","2018-10-22","-33.617","19.467","270.0","WORCESTER, SF",,,"  369",",,S",,,,,"  332","H,,S"
