"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"SPM00008360","2018-06-30","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,"  206",",,S","  255","H,,S"
"SPM00008360","2018-07-01","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,"  215",",,S","  264","H,,S"
"SPM00008360","2018-07-02","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,,,"  285","H,,S"
"SPM00008360","2018-07-03","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,,,"  244","H,,S"
"SPM00008360","2018-07-04","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,"  324",",,S",,,"  252","H,,S"
"SPM00008360","2018-07-05","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,"  350",",,S","  227",",,S","  282","H,,S"
"SPM00008360","2018-07-06","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,,,"  248","H,,S"
"SPM00008360","2018-07-07","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,,,"  253","H,,S"
"SPM00008360","2018-07-08","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,,,"  259","H,,S"
"SPM00008360","2018-07-09","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,,,"  261","H,,S"
"SPM00008360","2018-07-10","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,,,"  259","H,,S"
"SPM00008360","2018-07-11","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,"  294",",,S","  229",",,S","  257","H,,S"
"SPM00008360","2018-07-12","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,"  227",",,S","  269","H,,S"
"SPM00008360","2018-07-13","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,"  236",",,S","  270","H,,S"
"SPM00008360","2018-07-14","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,"  226",",,S","  272","H,,S"
"SPM00008360","2018-07-15","38.282","-0.558","43.3","ALICANTE, SP","    0",",,S",,,,,"  217",",,S","  262","H,,S"
