"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00138896","2018-04-02","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","   55",",,E","  -24",",,E"
"SWE00138896","2018-04-03","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","   67",",,E","  -75",",,E"
"SWE00138896","2018-04-04","59.36","17.52","6.0","ADELSO A, SW","   42",",,E","   54",",,E","   -2",",,E"
"SWE00138896","2018-04-05","59.36","17.52","6.0","ADELSO A, SW","   36",",,E","   60",",,E","   -1",",,E"
"SWE00138896","2018-04-06","59.36","17.52","6.0","ADELSO A, SW","    8",",,E","   64",",,E","    3",",,E"
"SWE00138896","2018-04-07","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","   88",",,E","  -36",",,E"
"SWE00138896","2018-04-08","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  122",",,E","    2",",,E"
"SWE00138896","2018-04-09","59.36","17.52","6.0","ADELSO A, SW","    8",",,E","   86",",,E","   -7",",,E"
"SWE00138896","2018-04-10","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","   81",",,E","    2",",,E"
"SWE00138896","2018-04-11","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","   90",",,E","  -47",",,E"
"SWE00138896","2018-04-12","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  108",",,E","  -25",",,E"
"SWE00138896","2018-04-13","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  125",",,E","  -25",",,E"
"SWE00138896","2018-04-14","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  161",",,E","  -17",",,E"
"SWE00138896","2018-04-15","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  122",",,E","   -3",",,E"
"SWE00138896","2018-04-16","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  126",",,E","   32",",,E"
"SWE00138896","2018-04-17","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  154",",,E","   -2",",,E"
"SWE00138896","2018-04-18","59.36","17.52","6.0","ADELSO A, SW","    2",",,E","  141",",,E","   40",",,E"
"SWE00138896","2018-04-19","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  183",",,E","   23",",,E"
"SWE00138896","2018-04-20","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  238",",,E","   59",",,E"
"SWE00138896","2018-04-21","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  182",",,E","   57",",,E"
"SWE00138896","2018-04-22","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  148",",,E","   23",",,E"
"SWE00138896","2018-04-23","59.36","17.52","6.0","ADELSO A, SW","   11",",,E","  117",",,E","   33",",,E"
"SWE00138896","2018-04-24","59.36","17.52","6.0","ADELSO A, SW","    7",",,E","  128",",,E","   53",",,E"
"SWE00138896","2018-04-25","59.36","17.52","6.0","ADELSO A, SW","    4",",,E","  139",",,E","   64",",,E"
"SWE00138896","2018-04-26","59.36","17.52","6.0","ADELSO A, SW","    2",",,E","  129",",,E","   38",",,E"
"SWE00138896","2018-04-27","59.36","17.52","6.0","ADELSO A, SW","   17",",,E","  121",",,E","   35",",,E"
"SWE00138896","2018-04-28","59.36","17.52","6.0","ADELSO A, SW","   57",",,E","  141",",,E","   13",",,E"
"SWE00138896","2018-04-29","59.36","17.52","6.0","ADELSO A, SW","   18",",,E","  110",",,E","   24",",,E"
"SWE00138896","2018-04-30","59.36","17.52","6.0","ADELSO A, SW","   75",",,E","  121",",,E","   -3",",,E"
"SWE00138896","2018-05-01","59.36","17.52","6.0","ADELSO A, SW","   37",",,E","  127",",,E","   55",",,E"
"SWE00138896","2018-05-02","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  116",",,E","   60",",,E"
"SWE00138896","2018-05-03","59.36","17.52","6.0","ADELSO A, SW","   48",",,E","  108",",,E","   31",",,E"
"SWE00138896","2018-05-04","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  141",",,E","   51",",,E"
"SWE00138896","2018-05-05","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  187",",,E","   39",",,E"
"SWE00138896","2018-05-06","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  198",",,E","   81",",,E"
"SWE00138896","2018-05-07","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  231",",,E","   73",",,E"
"SWE00138896","2018-05-08","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  237",",,E","   72",",,E"
"SWE00138896","2018-05-09","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  218",",,E","   77",",,E"
"SWE00138896","2018-05-10","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  196",",,E","   67",",,E"
"SWE00138896","2018-05-11","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  227",",,E","  110",",,E"
"SWE00138896","2018-05-12","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  244",",,E","   95",",,E"
"SWE00138896","2018-05-13","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  239",",,E","   60",",,E"
"SWE00138896","2018-05-14","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  266",",,E","   47",",,E"
"SWE00138896","2018-05-15","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  264",",,E","   67",",,E"
"SWE00138896","2018-05-16","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  274",",,E","   69",",,E"
"SWE00138896","2018-05-17","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  219",",,E","  104",",,E"
"SWE00138896","2018-05-18","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  164",",,E","   80",",,E"
"SWE00138896","2018-05-19","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  206",",,E","   14",",,E"
"SWE00138896","2018-05-20","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  249",",,E","   84",",,E"
"SWE00138896","2018-05-21","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  256",",,E","   64",",,E"
"SWE00138896","2018-05-22","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  241",",,E","   49",",,E"
"SWE00138896","2018-05-23","59.36","17.52","6.0","ADELSO A, SW","    0",",,E","  204",",,E","   75",",,E"
