"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00139842","2018-04-02","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  680",",,E","   -3",",,E"," -200",",,E"
"SWE00139842","2018-04-03","62.55","12.6","585.0","LJUSNEDAL, SW","    7",",,E","  680",",,E","   -2",",,E"," -237",",,E"
"SWE00139842","2018-04-04","62.55","12.6","585.0","LJUSNEDAL, SW","   11",",,E","  690",",,E","   47",",,E","  -47",",,E"
"SWE00139842","2018-04-05","62.55","12.6","585.0","LJUSNEDAL, SW","   96",",,E","  700",",,E","   15",",,E"," -107",",,E"
"SWE00139842","2018-04-06","62.55","12.6","585.0","LJUSNEDAL, SW","    3",",,E","  790",",,E","   15",",,E","  -43",",,E"
"SWE00139842","2018-04-07","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  790",",,E","   18",",,E"," -139",",,E"
"SWE00139842","2018-04-08","62.55","12.6","585.0","LJUSNEDAL, SW","   20",",,E","  790",",,E","   42",",,E","  -87",",,E"
"SWE00139842","2018-04-09","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  740",",,E","   29",",,E","  -19",",,E"
"SWE00139842","2018-04-10","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  740",",,E","   44",",,E"," -164",",,E"
"SWE00139842","2018-04-11","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  730",",,E","   81",",,E"," -168",",,E"
"SWE00139842","2018-04-12","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  720",",,E","  100",",,E"," -146",",,E"
"SWE00139842","2018-04-13","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  680",",,E","   95",",,E"," -128",",,E"
"SWE00139842","2018-04-14","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  650",",,E","  147",",,E","  -85",",,E"
"SWE00139842","2018-04-15","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  630",",,E","  124",",,E","  -64",",,E"
"SWE00139842","2018-04-16","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  570",",,E","  121",",,E","  -92",",,E"
"SWE00139842","2018-04-17","62.55","12.6","585.0","LJUSNEDAL, SW","   21",",,E","  550",",,E","  134",",,E","  -33",",,E"
"SWE00139842","2018-04-18","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  450",",,E","  103",",,E","  -24",",,E"
"SWE00139842","2018-04-19","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  400",",,E","  110",",,E","  -30",",,E"
"SWE00139842","2018-04-20","62.55","12.6","585.0","LJUSNEDAL, SW","   57",",,E","  300",",,E","  133",",,E","  -12",",,E"
"SWE00139842","2018-04-21","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  230",",,E","   52",",,E","   -4",",,E"
"SWE00139842","2018-04-22","62.55","12.6","585.0","LJUSNEDAL, SW","    2",",,E","  200",",,E","   88",",,E","   14",",,E"
"SWE00139842","2018-04-23","62.55","12.6","585.0","LJUSNEDAL, SW","   37",",,E","  180",",,E","   71",",,E","   -8",",,E"
"SWE00139842","2018-04-24","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  150",",,E","   86",",,E","  -10",",,E"
"SWE00139842","2018-04-25","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  120",",,E","   60",",,E","   -5",",,E"
"SWE00139842","2018-04-26","62.55","12.6","585.0","LJUSNEDAL, SW","    4",",,E","  120",",,E","   71",",,E","  -19",",,E"
"SWE00139842","2018-04-27","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","  100",",,E","   86",",,E","  -19",",,E"
"SWE00139842","2018-04-28","62.55","12.6","585.0","LJUSNEDAL, SW","   15",",,E","   70",",,E","   83",",,E","  -32",",,E"
"SWE00139842","2018-04-29","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","   40",",,E","   59",",,E","  -33",",,E"
"SWE00139842","2018-04-30","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","   71",",,E","  -28",",,E"
"SWE00139842","2018-05-01","62.55","12.6","585.0","LJUSNEDAL, SW","    7",",,E","    0",",,E","   51",",,E","  -35",",,E"
"SWE00139842","2018-05-02","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","   90",",,E","    1",",,E"
"SWE00139842","2018-05-03","62.55","12.6","585.0","LJUSNEDAL, SW","   13",",,E",,,"  105",",,E","  -20",",,E"
"SWE00139842","2018-05-04","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E",,,"  120",",,E","  -15",",,E"
"SWE00139842","2018-05-05","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E",,,"  170",",,E","  -20",",,E"
"SWE00139842","2018-05-06","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E",,,"  165",",,E","   30",",,E"
"SWE00139842","2018-05-07","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","  147",",,E","   -3",",,E"
"SWE00139842","2018-05-08","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","  186",",,E","    4",",,E"
"SWE00139842","2018-05-09","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","  215",",,E","  -14",",,E"
"SWE00139842","2018-05-10","62.55","12.6","585.0","LJUSNEDAL, SW","   23",",,E","    0",",,E","  192",",,E","    0",",,E"
"SWE00139842","2018-05-11","62.55","12.6","585.0","LJUSNEDAL, SW","  158",",,E","    0",",,E","  163",",,E","   54",",,E"
"SWE00139842","2018-05-12","62.55","12.6","585.0","LJUSNEDAL, SW","   12",",,E","    0",",,E","  133",",,E","   54",",,E"
"SWE00139842","2018-05-13","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","  187",",,E","   65",",,E"
"SWE00139842","2018-05-14","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","  227",",,E","   28",",,E"
"SWE00139842","2018-05-15","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","  243",",,E","   12",",,E"
"SWE00139842","2018-05-16","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","  226",",,E","    7",",,E"
"SWE00139842","2018-05-17","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","  132",",,E","   24",",,E"
"SWE00139842","2018-05-18","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","  138",",,E","  -36",",,E"
"SWE00139842","2018-05-19","62.55","12.6","585.0","LJUSNEDAL, SW","    0",",,E","    0",",,E","  193",",,E","  -35",",,E"
