"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"TH000048330","2018-06-28","18.167","100.167","162.0","PHRAE, TH","    0",",,S",,,"  241",",,S","  284","H,,S"
"TH000048330","2018-06-29","18.167","100.167","162.0","PHRAE, TH","   20",",,S",,,"  238",",,S","  281","H,,S"
"TH000048330","2018-06-30","18.167","100.167","162.0","PHRAE, TH","    5",",,S",,,"  236",",,S","  298","H,,S"
"TH000048330","2018-07-01","18.167","100.167","162.0","PHRAE, TH","    5",",,S",,,"  248",",,S","  299","H,,S"
"TH000048330","2018-07-02","18.167","100.167","162.0","PHRAE, TH",,,,,"  247",",,S","  308","H,,S"
"TH000048330","2018-07-03","18.167","100.167","162.0","PHRAE, TH","   28",",,S",,,"  252",",,S","  301","H,,S"
"TH000048330","2018-07-04","18.167","100.167","162.0","PHRAE, TH","    0",",,S","  343",",,S","  248",",,S","  306","H,,S"
"TH000048330","2018-07-05","18.167","100.167","162.0","PHRAE, TH","    0",",,S",,,"  251",",,S","  309","H,,S"
"TH000048330","2018-07-06","18.167","100.167","162.0","PHRAE, TH","   46",",,S",,,"  245",",,S","  300","H,,S"
"TH000048330","2018-07-07","18.167","100.167","162.0","PHRAE, TH","    0",",,S",,,"  251",",,S","  293","H,,S"
"TH000048330","2018-07-08","18.167","100.167","162.0","PHRAE, TH","   38",",,S",,,"  256",",,S","  294","H,,S"
"TH000048330","2018-07-09","18.167","100.167","162.0","PHRAE, TH","   28",",,S",,,,,"  288","H,,S"
"TH000048330","2018-07-10","18.167","100.167","162.0","PHRAE, TH","   38",",,S",,,,,"  292","H,,S"
"TH000048330","2018-07-11","18.167","100.167","162.0","PHRAE, TH","   81",",,S",,,"  245",",,S","  288","H,,S"
"TH000048330","2018-07-12","18.167","100.167","162.0","PHRAE, TH","    8",",,S",,,,,"  296","H,,S"
"TH000048330","2018-07-13","18.167","100.167","162.0","PHRAE, TH",,,,,,,"  301","H,,S"
"TH000048330","2018-07-14","18.167","100.167","162.0","PHRAE, TH","  102",",,S",,,,,"  293","H,,S"
"TH000048330","2018-07-15","18.167","100.167","162.0","PHRAE, TH","    0",",,S",,,"  250",",,S","  292","H,,S"
"TH000048330","2018-07-16","18.167","100.167","162.0","PHRAE, TH","    0",",,S",,,"  255",",,S","  284","H,,S"
"TH000048330","2018-07-17","18.167","100.167","162.0","PHRAE, TH","  277",",,S",,,,,"  276","H,,S"
