"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"TUM00017237","2018-06-29","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  276",",,S","  175",",,S","  243","H,,S"
"TUM00017237","2018-06-30","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  299",",,S","  180",",,S","  254","H,,S"
"TUM00017237","2018-07-01","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  329",",,S","  193",",,S","  283","H,,S"
"TUM00017237","2018-07-02","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  357",",,S","  218",",,S","  303","H,,S"
"TUM00017237","2018-07-03","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  370",",,S","  229",",,S","  316","H,,S"
"TUM00017237","2018-07-04","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  366",",,S","  220",",,S","  311","H,,S"
"TUM00017237","2018-07-05","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  357",",,S","  228",",,S","  310","H,,S"
"TUM00017237","2018-07-06","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  346",",,S","  238",",,S","  304","H,,S"
"TUM00017237","2018-07-07","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  354",",,S","  221",",,S","  302","H,,S"
"TUM00017237","2018-07-08","37.783","29.083","425.0","DENIZLI, TU",,,,,,,"  218",",,S","  301","H,,S"
"TUM00017237","2018-07-09","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  347",",,S","  228",",,S","  302","H,,S"
"TUM00017237","2018-07-10","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  349",",,S","  218",",,S","  299","H,,S"
"TUM00017237","2018-07-11","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  359",",,S","  226",",,S","  305","H,,S"
"TUM00017237","2018-07-12","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  357",",,S","  234",",,S","  307","H,,S"
"TUM00017237","2018-07-13","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  365",",,S","  237",",,S","  310","H,,S"
"TUM00017237","2018-07-14","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  354",",,S","  233",",,S","  298","H,,S"
"TUM00017237","2018-07-15","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  348",",,S","  230",",,S","  284","H,,S"
"TUM00017237","2018-07-16","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  344",",,S","  229",",,S","  284","H,,S"
"TUM00017237","2018-07-17","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  355",",,S","  220",",,S","  286","H,,S"
"TUM00017237","2018-07-18","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  368",",,S","  227",",,S","  297","H,,S"
"TUM00017237","2018-07-19","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  339",",,S","  238",",,S","  282","H,,S"
"TUM00017237","2018-07-20","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  343",",,S","  218",",,S","  282","H,,S"
"TUM00017237","2018-07-21","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  363",",,S","  238",",,S","  297","H,,S"
"TUM00017237","2018-07-22","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  361",",,S","  246",",,S","  301","H,,S"
"TUM00017237","2018-07-23","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  379",",,S","  231",",,S","  303","H,,S"
"TUM00017237","2018-07-24","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  355",",,S","  220",",,S","  286","H,,S"
"TUM00017237","2018-07-25","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  312",",,S","  216",",,S","  261","H,,S"
"TUM00017237","2018-07-26","37.783","29.083","425.0","DENIZLI, TU","    0",",,S",,,"  288",",,S","  217",",,S","  243","H,,S"
"TUM00017237","2018-07-27","37.783","29.083","425.0","DENIZLI, TU","   15",",,S",,,"  297",",,S",,,"  234","H,,S"
"TUM00017237","2018-07-28","37.783","29.083","425.0","DENIZLI, TU","   18",",,S",,,"  337",",,S","  184",",,S","  263","H,,S"
"TUM00017237","2018-07-29","37.783","29.083","425.0","DENIZLI, TU","    0",",,S",,,"  359",",,S","  218",",,S","  284","H,,S"
"TUM00017237","2018-07-30","37.783","29.083","425.0","DENIZLI, TU","   99","B,,S",,,"  356",",,S",,,"  265","H,,S"
"TUM00017237","2018-07-31","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  338",",,S","  207",",,S","  269","H,,S"
"TUM00017237","2018-08-01","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  357",",,S","  211",",,S","  303","H,,S"
"TUM00017237","2018-08-02","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  366",",,S","  244",",,S","  318","H,,S"
"TUM00017237","2018-08-03","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  365",",,S","  247",",,S","  315","H,,S"
"TUM00017237","2018-08-04","37.783","29.083","425.0","DENIZLI, TU","   30",",,S",,,"  331",",,S",,,"  267","H,,S"
"TUM00017237","2018-08-05","37.783","29.083","425.0","DENIZLI, TU","   64",",,S",,,"  329",",,S","  196",",,S","  266","H,,S"
"TUM00017237","2018-08-06","37.783","29.083","425.0","DENIZLI, TU","    3",",,S",,,"  344",",,S","  212",",,S","  288","H,,S"
"TUM00017237","2018-08-07","37.783","29.083","425.0","DENIZLI, TU","    0",",,S",,,"  353",",,S","  210",",,S","  298","H,,S"
"TUM00017237","2018-08-08","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  360",",,S","  231",",,S","  308","H,,S"
"TUM00017237","2018-08-09","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  366",",,S","  226",",,S","  313","H,,S"
"TUM00017237","2018-08-10","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  363",",,S","  227",",,S","  312","H,,S"
"TUM00017237","2018-08-11","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  349",",,S","  223",",,S","  301","H,,S"
"TUM00017237","2018-08-12","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  343",",,S","  206",",,S","  288","H,,S"
"TUM00017237","2018-08-13","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  353",",,S","  196",",,S","  288","H,,S"
"TUM00017237","2018-08-14","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  370",",,S","  211",",,S","  309","H,,S"
"TUM00017237","2018-08-15","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  376",",,S","  212",",,S","  315","H,,S"
"TUM00017237","2018-08-16","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  370",",,S","  220",",,S","  300","H,,S"
"TUM00017237","2018-08-17","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  349",",,S","  217",",,S","  280","H,,S"
"TUM00017237","2018-08-18","37.783","29.083","425.0","DENIZLI, TU","    0","B,,S",,,"  354",",,S","  229",",,S","  287","H,,S"
"TUM00017237","2018-08-19","37.783","29.083","425.0","DENIZLI, TU","   30","B,,S",,,"  372",",,S",,,"  276","H,,S"
"TUM00017237","2018-08-20","37.783","29.083","425.0","DENIZLI, TU","    8","B,,S",,,"  350",",,S","  220",",,S","  276","H,,S"
"TUM00017237","2018-08-21","37.783","29.083","425.0","DENIZLI, TU","   20","B,,S",,,"  349",",,S","  219",",,S","  273","H,,S"
