"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00033177","2018-06-28","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  253",",,S","  163",",,S","  209","H,,S"
"UPM00033177","2018-06-29","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  211",",,S","  159",",,S","  186","H,,S"
"UPM00033177","2018-06-30","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  189",",,S",,,"  163","H,,S"
"UPM00033177","2018-07-01","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  151",",,S",,,"  119","H,,S"
"UPM00033177","2018-07-02","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP","   71","B,,S",,,"  131",",,S","   93",",,S","  116","H,,S"
"UPM00033177","2018-07-03","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  207",",,S","  115",",,S","  171","H,,S"
"UPM00033177","2018-07-04","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  251",",,S","  130",",,S","  192","H,,S"
"UPM00033177","2018-07-05","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  294",",,S","  124",",,S","  214","H,,S"
"UPM00033177","2018-07-06","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  277",",,S","  152",",,S","  212","H,,S"
"UPM00033177","2018-07-07","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  251",",,S","  145",",,S","  202","H,,S"
"UPM00033177","2018-07-08","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,,,"  136",",,S","  196","H,,S"
"UPM00033177","2018-07-09","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  252",",,S",,,"  198","H,,S"
"UPM00033177","2018-07-10","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  269",",,S","  100",",,S","  202","H,,S"
"UPM00033177","2018-07-11","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  284",",,S","  133",",,S","  218","H,,S"
"UPM00033177","2018-07-12","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP","  328","B,,S",,,"  234",",,S","  180",",,S","  199","H,,S"
"UPM00033177","2018-07-13","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP","   41","B,,S",,,"  215",",,S","  144",",,S","  175","H,,S"
"UPM00033177","2018-07-14","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  203",",,S","  145",",,S","  174","H,,S"
"UPM00033177","2018-07-15","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP","  130","B,,S",,,"  195",",,S",,,"  176","H,,S"
"UPM00033177","2018-07-16","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP","  178","B,,S",,,"  251",",,S","  155",",,S","  192","H,,S"
"UPM00033177","2018-07-17","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  224",",,S","  148",",,S","  186","H,,S"
"UPM00033177","2018-07-18","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP","   30","B,,S",,,"  252",",,S","  185",",,S","  218","H,,S"
"UPM00033177","2018-07-19","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  274",",,S","  183",",,S","  217","H,,S"
"UPM00033177","2018-07-20","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  239",",,S","  166",",,S","  191","H,,S"
"UPM00033177","2018-07-21","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  266",",,S","  169",",,S","  216","H,,S"
"UPM00033177","2018-07-22","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  279",",,S","  165",",,S","  226","H,,S"
"UPM00033177","2018-07-23","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  238",",,S","  190",",,S","  201","H,,S"
"UPM00033177","2018-07-24","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP","   18","B,,S",,,"  251",",,S",,,"  211","H,,S"
"UPM00033177","2018-07-25","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  253",",,S","  170",",,S","  203","H,,S"
"UPM00033177","2018-07-26","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  267",",,S","  187",",,S","  221","H,,S"
"UPM00033177","2018-07-27","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  275",",,S","  165",",,S","  225","H,,S"
"UPM00033177","2018-07-28","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  279",",,S","  180",",,S","  228","H,,S"
"UPM00033177","2018-07-29","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  299",",,S","  195",",,S","  242","H,,S"
"UPM00033177","2018-07-30","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP","    5","B,,S",,,"  275",",,S","  185",",,S","  224","H,,S"
"UPM00033177","2018-07-31","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP","  165","B,,S",,,"  304",",,S","  172",",,S","  232","H,,S"
"UPM00033177","2018-08-01","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  274",",,S","  187",",,S","  234","H,,S"
"UPM00033177","2018-08-02","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  281",",,S",,,"  230","H,,S"
"UPM00033177","2018-08-03","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  293",",,S","  137",",,S","  224","H,,S"
"UPM00033177","2018-08-04","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  299",",,S","  151",",,S","  236","H,,S"
"UPM00033177","2018-08-05","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  285",",,S","  176",",,S","  234","H,,S"
"UPM00033177","2018-08-06","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  254",",,S","  175",",,S","  213","H,,S"
"UPM00033177","2018-08-07","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  263",",,S","  144",",,S","  204","H,,S"
"UPM00033177","2018-08-08","50.833","24.317","194.0","VOLODYMYR VOLYNSKYI, UP",,,,,"  279",",,S","  114",",,S","  208","H,,S"
