"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX32","SX32_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00013761","2017-04-18","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  300",",,7","  156",",,7",,,,,,,"   74",",,7,",,,,,,,,,,,"  172",",,7,0700",,,,,"  206",",,7",,,"  367",",,7",,,,,,,,,,
"USC00013761","2017-04-20","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  167",",,7",,,,,,,"  191",",,7,",,,,,,,,,,,"  178",",,7,0700",,,,,"  211",",,7",,,"  367",",,7",,,,,,,,,,
"USC00013761","2017-04-21","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  172",",,7",,,,,,,"   61",",,7,",,,,,,,,,,,"  189",",,7,0700",,,,,"  211",",,7",,,"  356",",,7",,,,,,,,,,
"USC00013761","2017-04-24","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  311",",,7","  111",",,7",,,"    3",",,7",,,"  185",",,7,",,,"   43",",,7",,,,,,,"  122",",,7,0700",,,,,"  167",",,7",,,"  378",",,7",,,,,,,,,,
"USC00013761","2017-04-25","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  211",",,7","  122",",,7",,,,,,,"   41",",,7,",,,,,,,,,,,"  133",",,7,0700",,,,,"  161",",,7",,,"  278",",,7",,,,,,,,,,
"USC00013761","2017-04-26","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  272",",,7","  133",",,7",,,,,,,"   58",",,7,",,,,,,,,,,,"  150",",,7,0700",,,,,"  167",",,7",,,"  367",",,7",,,,,,,,,,
"USC00013761","2017-04-27","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  150",",,7",,,,,,,"   71",",,7,",,,,,,,,,,,"  217",",,7,0700",,,,,"  189",",,7",,,"  372",",,7",,,,,,,,,,
"USC00013761","2017-04-28","31.3625","-85.3397","112.8","HEADLAND, AL US","   18",",,7,0700","    0",",,7","    0",",,7","  283",",,7","  217",",,7",,,,,,,"   28",",,7,",,,,,,,,,,,"  233",",,7,0700",,,,,"  233",",,7",,,"  278",",,7",,,,,,,,,,
"USC00013761","2017-05-01","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  194",",,7",,,,,,,"  216",",,7,",,,,,,,,,,,"  239",",,7,0700",,,,,"  233",",,7",,,"  367",",,7",,,,,,,,,,
"USC00013761","2017-05-02","31.3625","-85.3397","112.8","HEADLAND, AL US","   71",",,7,0700","    0",",,7","    0",",,7","  256",",,7","  128",",,7",,,,,,,"   48",",,7,",,,,,,,,,,,"  139",",,7,0700",,,,,"  167",",,7",,,"  278",",,7",,,,,,,,,,
