"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00026117","2018-06-26","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  350",",,7","  211",",,7",,,,,"  278",",,7,1000",,
"USC00026117","2018-06-27","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  372",",,7","  233",",,7",,,,,"  283",",,7,1000",,
"USC00026117","2018-06-28","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  367",",,7","  211",",,7",,,,,"  283",",,7,1000",,
"USC00026117","2018-06-29","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  361",",,7","  128",",,7",,,,,"  250",",,7,1000",,
"USC00026117","2018-06-30","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  339",",,7","  100",",,7",,,,,"  211",",,7,1000",,
"USC00026117","2018-07-01","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  339",",,7","   72",",,7",,,,,"  211",",,7,1000",,
"USC00026117","2018-07-02","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  339",",,7","  117",",,7",,,,,"  239",",,7,1000",,
"USC00026117","2018-07-03","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  350",",,7","  117",",,7",,,,,"  267",",,7,1000",,
"USC00026117","2018-07-04","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  344",",,7","   89",",,7",,,,,"  228",",,7,1000",,
"USC00026117","2018-07-05","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  361",",,7","  156",",,7",,,,,"  294",",,7,1000",,
"USC00026117","2018-07-06","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  411",",,7","  233",",,7",,,,,"  272",",,7,1000",,
"USC00026117","2018-07-07","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  378",",,7","  233",",,7",,,,,"  283",",,7,1000",,
"USC00026117","2018-07-08","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  394",",,7","  211",",,7",,,,,"  272",",,7,1000",,
"USC00026117","2018-07-09","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","   41",",,7,1000",,,,,"  383",",,7","   33",",,7",,,,,"  239",",,7,1000",,
"USC00026117","2018-07-10","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","   10",",,7,1000",,,,,"  367",",,7","  133",",,7",,,,,"  200",",,7,1000",,
"USC00026117","2018-07-11","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","   89",",,7,1000",,,,,"  289",",,7","  183",",,7",,,,,"  233",",,7,1000",,
"USC00026117","2018-07-12","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","   43",",,7,1000",,,,,"  289",",,7","   94",",,7",,,,,"  228",",,7,1000",,
"USC00026117","2018-07-13","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","   69",",,7,1000",,,,,"  322",",,7","  128",",,7",,,,,"  217",",,7,1000",,
"USC00026117","2018-07-14","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","    0",",,7,1000",,,,,"  328",",,7","  217",",,7",,,,,"  250",",,7,1000",,
"USC00026117","2018-07-15","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","   30",",,7,1000",,,,,"  306",",,7","  189",",,7",,,,,"  194",",,7,1000",,
"USC00026117","2018-07-16","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","   10",",,7,1000",,,,,"  289",",,7","  194",",,7",,,,,"  250",",,7,1000",,
"USC00026117","2018-07-17","32.61","-110.7317","1400.6","ORACLE STATE PARK, AZ US","   36",",,7,1000",,,,,"  322",",,7","  189",",,7",,,,,"  211",",,7,1000",,
