"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00052294","2018-07-07","38.9608","-105.2158","2784.0","DIVIDE 4 NW, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  261",",,7","   83",",,7","  106",",,7,0600",,,,
"USC00052294","2018-07-08","38.9608","-105.2158","2784.0","DIVIDE 4 NW, CO US","   43",",,7,0600","    0",",,7,0600","    0",",,7,0600","  278",",,7","   94",",,7","   94",",,7,0600",,,,
"USC00052294","2018-07-09","38.9608","-105.2158","2784.0","DIVIDE 4 NW, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  267",",,7","   83",",,7","   94",",,7,0600",,,,
"USC00052294","2018-07-10","38.9608","-105.2158","2784.0","DIVIDE 4 NW, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  256",",,7","   94",",,7","  117",",,7,0600",,,,
"USC00052294","2018-07-11","38.9608","-105.2158","2784.0","DIVIDE 4 NW, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  278",",,7","   89",",,7","   94",",,7,0600",,,,
"USC00052294","2018-07-12","38.9608","-105.2158","2784.0","DIVIDE 4 NW, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  256",",,7","   94",",,7","  111",",,7,0600",,,,
"USC00052294","2018-07-13","38.9608","-105.2158","2784.0","DIVIDE 4 NW, CO US","    8",",,7,0600","    0",",,7,0600","    0",",,7,0600","  239",",,7","   83",",,7","   94",",,7,0600",,,,
"USC00052294","2018-07-14","38.9608","-105.2158","2784.0","DIVIDE 4 NW, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  239",",,7","   83",",,7","  100",",,7,0600",,,,
"USC00052294","2018-07-15","38.9608","-105.2158","2784.0","DIVIDE 4 NW, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  272",",,7","   94",",,7","  117",",,7,0600",,,,
"USC00052294","2018-07-16","38.9608","-105.2158","2784.0","DIVIDE 4 NW, CO US","   66",",,7,0600","    0",",,7,0600","    0",",,7,0600","  217",",,7","   94",",,7","   94",",,7,0600",,,,
