"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00059058","2017-03-20","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","   44",",,7",,,,,"   56",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-03-21","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","   11",",,7",,,,,"   61",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-03-22","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  172",",,7","    0",",,7",,,,,"   33",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-03-23","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  189",",,7","   33",",,7",,,,,"   33",",,7,0700","    1",",,7",,,,,,,,,,
"USC00059058","2017-03-24","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   79",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","   33",",,7",,,,,"   44",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-03-25","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","  516",",,7,0700","  102",",,7,0700","   76",",,7,0700","   44",",,7","  -33",",,7",,,,,"  -28",",,7,0700",,,,,,,,,,,"    1",",,7"
"USC00059058","2017-03-26","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  139",",,7","  -28",",,7",,,,,"   22",",,7,0700","    1",",,7",,,,,,,,,,
"USC00059058","2017-03-27","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  100",",,7","  -11",",,7",,,,,"    0",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-03-28","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  172",",,7","    0",",,7",,,,,"   67",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-03-29","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   89",",,7,0700","    0",",,7,0700","    0",",,7,0700","   83",",,7","   17",",,7",,,,,"   17",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-03-31","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700",,,,,,,,,"   22",",,7,0700","    1",",,7",,,,,,,,,,
"USC00059058","2017-04-01","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   74",",,7,0700","    0","T,,7,0700","    0",",,7,0700","   22",",,7","    0",",,7",,,,,"    6",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-02","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   79",",,7,0700","   25",",,7,0700","    0",",,7,0700","   28",",,7","  -11",",,7",,,,,"    6",",,7,0700","    1",",,7",,,,,,,,,,
"USC00059058","2017-04-03","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  183",",,7","    0",",,7",,,,,"   44",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-04","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  156",",,7","   11",",,7",,,,,"   17",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-05","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US",,,,,,,"   67",",,7","  -22",",,7",,,,,"  -22",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-06","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US",,,"    0",",,7,0700","    0",",,7,0700","  144",",,7","  -33",",,7","    2",",,7","    0",",,7","   39",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-07","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  189",",,7","    0",",,7",,,,,"    6",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-08","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","    6",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-09","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  217",",,7","   22",",,7",,,,,"   56",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-10","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","   -6",",,7",,,,,"   28",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-11","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  161",",,7","  -11",",,7",,,,,"    6",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-12","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  211",",,7","    6",",,7",,,,,"   67",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-13","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","   33",",,7",,,,,"   61",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-14","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","   61",",,7",,,,,"   78",",,7,0700","    1",",,7",,,,,,,,,,
"USC00059058","2017-04-15","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","   78",",,7",,,,,"  117",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-16","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","   44",",,7",,,,,"   67",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-17","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  189",",,7","   67",",,7",,,,,"   94",",,7,0700","    1",",,7",,,,,,,,,,
"USC00059058","2017-04-18","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  211",",,7","   44",",,7",,,,,"   89",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-19","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  244",",,7","   44",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-21","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US",,,"    0",",,7,0700","    0",",,7,0700",,,,,"    2",",,7","   53",",,7","   50",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-22","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   74",",,7,0700","    0",",,7,0700","    0",",,7,0700","   67",",,7","   28",",,7",,,,,"   28",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-23","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  139",",,7","   -6",",,7",,,,,"   28",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-24","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","   28",",,7",,,,,"  117",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-25","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","   28",",,7",,,,,"   67",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-26","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   81",",,7,0700","    0",",,7,0700","    0",",,7,0700","  156",",,7","  -11",",,7",,,,,"    6",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-29","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US",,,"   18",",,7,0700","   25",",,7,0700",,,"  -11",",,7","    3",",,7","   91",",,7","  -11",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-04-30","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    8",",,7,0700","    0","T,,7,0700","    0",",,7,0700","   11",",,7","  -17",",,7",,,,,"    6",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-05-01","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  128",",,7","    0",",,7",,,,,"   67",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-05-02","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  194",",,7","    6",",,7",,,,,"   39",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-05-03","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  139",",,7","   28",",,7",,,,,"   61",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-05-04","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    8",",,7,0700","    0",",,7,0700","    0",",,7,0700","  133",",,7","  -11",",,7",,,,,"   44",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-05-05","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","   44",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-05-06","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","   56",",,7",,,,,"  117",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-05-07","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","   72",",,7",,,,,"  106",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-05-08","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   33",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  100",",,7",,,,,"  128",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-05-09","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","  348",",,7,0700","    0","T,,7,0700","    0",",,7,0700","  267",",,7","  100",",,7",,,,,"  106",",,7,0700",,,"    1",",,7",,,"    1",",,7",,,,
"USC00059058","2017-05-10","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","  193",",,7,0700","    0",",,7,0700","    0",",,7,0700","  194",",,7","   78",",,7",,,,,"   83",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-05-11","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   91",",,7,0700","    0",",,7,0700","    0",",,7,0700","  200",",,7","   78",",,7",,,,,"   78",",,7,0700",,,"    1",",,7",,,,,,,,
