"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00090969","2018-06-12","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","  328",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  150",",,7",,,,,,,,,"  172",",,7,0800","  211",",,7","  261",",,7",,,,,,,,,,,,,,
"USC00090969","2018-06-13","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  244",",,7","  172",",,7",,,,,,,,,"  189",",,7,0800","  206",",,7","  250",",,7",,,,,,,,,,,,,,
"USC00090969","2018-06-14","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  189",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00090969","2018-06-15","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","   81",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  161",",,7",,,,,,,,,"  167",",,7,0800","  206",",,7","  267",",,7",,,,,,,,,,,,,,
"USC00090969","2018-06-16","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  167",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00090969","2018-06-17","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","   41",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  167",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00090969","2018-06-18","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","    3",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  161",",,7",,,,,,,,,"  178",",,7,0800","  222",",,7","  267",",,7",,,,,,,,,,,,,,
"USC00090969","2018-06-19","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  178",",,7",,,,,,,,,"  189",",,7,0800","  233",",,7","  267",",,7",,,,,,,,,,,,,,
"USC00090969","2018-06-20","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  178",",,7",,,,,,,,,"  183",",,7,0800","  228",",,7","  272",",,7",,,,,,,,,,,,,,
"USC00090969","2018-06-21","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  183",",,7",,,,,,,,,"  194",",,7,0800","  239",",,7","  261",",,7",,,,,,,,,,,,,,
"USC00090969","2018-06-22","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  272",",,7","  172",",,7",,,,,,,,,"  189",",,7,0800","  261",",I,7","  233",",I,7",,,,,,,,,,,,,,
"USC00090969","2018-06-23","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","  168",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  183",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00090969","2018-06-24","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","   23",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00090969","2018-06-25","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","   43",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  156",",,7",,,,,,,,,"  167",",,7,0800","  228",",,7","  267",",,7",,,,,,,,,,,,,,
"USC00090969","2018-06-26","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","  343",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  161",",,7",,,,,,,,,"  167",",,7,0800","  217",",,7","  261",",,7",,,,,,,,,,,,,,
"USC00090969","2018-06-27","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","   43",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  167",",,7",,,,,,,,,"  178",",,7,0800","  200",",,7","  272",",,7",,,,,,,,,,,,,,
"USC00090969","2018-06-28","34.8544","-83.9444","594.1","BLAIRSVILLE EXPERIMENTAL STATION, GA US","  155",",,7,0800","    0",",,7","    0",",,7","  283",",,7","  178",",,7",,,,,,,,,"  183",",,7,0800","  222",",,7","  267",",,7",,,,,,,,,,,,,,
