"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00105275","2018-07-07","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  128",",,7",,,,,,,,,"   74",",,7,0700",,,,,,,,,"  167",",,7","  333",",,7","  161",",,7,0700","   71",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-08","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  122",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,"  161",",,7","  328",",,7","  139",",,7,0700","   58",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-09","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","   13",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  139",",,7",,,,,,,,,"   74",",,7,0700",,,,,,,,,"  161",",,7","  344",",,7","  189",",,7,0700","  126",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-10","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  156",",,7",,,,,,,,,"   71",",,7,0700",,,,,,,,,"  178",",,7","  339",",,7","  167",",,7,0700","   98",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-11","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  156",",,7",,,,,,,,,"   74",",,7,0700",,,,,,,,,"  178",",,7","  344",",,7","  161",",,7,0700","   71",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-12","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  150",",,7",,,,,,,,,"   74",",,7,0700",,,,,,,,,"  167",",,7","  333",",,7","  150",",,7,0700","   95",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-13","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  300",",,7","  122",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,"  150",",,7","  333",",,7","  122",",,7,0700","   76",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-14","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  117",",,7",,,,,,,,,"   71",",,7,0700",,,,,,,,,"  144",",,7","  339",",,7","  139",",,7,0700","   61",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-15","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  122",",,7",,,,,,,,,"   46",",,7,0700",,,,,,,,,"  156",",,7","  278",",,7","  133",",,7,0700","   72",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-16","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  256",",,7","  128",",,7",,,,,,,,,"   71",",,7,0700",,,,,,,,,"  150",",,7","  322",",,7","  167",",,7,0700","   56",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-17","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","   25",",,7,0700","    0",",,7","    0",",,7","  283",",,7","  139",",,7",,,,,,,,,"   46",",,7,0700",,,,,,,,,"  156",",,7","  306",",,7","  139",",,7,0700","  108",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-18","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  283",",,7","  106",",,7",,,,,,,,,"   76",",,7,0700",,,,,,,,,"  144",",,7","  317",",,7","  122",",,7,0700","   69",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-19","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  111",",,7",,,,,,,,,"   69",",,7,0700",,,,,,,,,"  139",",,7","  322",",,7","  128",",,7,0700","   68",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-20","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  122",",,7",,,,,,,,,"   66",",,7,0700",,,,,,,,,"  156",",,7","  328",",,7","  133",",,7,0700","   66",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-21","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  133",",,7",,,,,,,,,"   71",",,7,0700",,,,,,,,,"  156",",,7","  339",",,7","  167",",,7,0700","   51",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-22","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  133",",,7",,,,,,,,,"   61",",,7,0700",,,,,,,,,"  183",",,7","  317",",,7","  167",",,7,0700","   64",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-23","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  117",",,7",,,,,,,,,"   51",",,7,0700",,,,,,,,,"  133",",,7","  256",",,7","  117",",,7,0700","  122",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-24","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  256",",,7","  111",",,7",,,,,,,,,"   41",",,7,0700",,,,,,,,,"  139",",,7","  278",",,7","  117",",,7,0700","   42",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-25","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  261",",,7","  117",",,7",,,,,,,,,"   66",",,7,0700",,,,,,,,,"  144",",,7","  339",",,7","  144",",,7,0700","   68",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-26","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  122",",,7",,,,,,,,,"   51",",,7,0700",,,,,,,,,"  156",",,7","  306",",,7","  128",",,7,0700","   72",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-27","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  283",",,7","  122",",,7",,,,,,,,,"   64",",,7,0700",,,,,,,,,"  150",",,7","  333",",,7","  139",",,7,0700","   51",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-28","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  300",",,7","  122",",,7",,,,,,,,,"   74",",,7,0700",,,,,,,,,"  144",",,7","  306",",,7","  128",",,7,0700","   92",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-29","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","   83",",,7",,,,,,,,,"   74",",,7,0700",,,,,,,,,"  144",",,7","  306",",,7","  100",",,7,0700","   79",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-30","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","   83",",,7",,,,,,,,,"   79",",,7,0700",,,,,,,,,"  139",",,7","  317",",,7","  167",",,7,0700","  124",",,7",,,,,,,,,,,,,,,,
"USC00105275","2018-07-31","42.123","-111.3133","1809.0","LIFTON PUMPING STATION, ID US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  100",",,7",,,,,,,,,"   69",",,7,0700",,,,,,,,,"  139",",,7","  322",",,7","  111",",,7,0700","   71",",,7",,,,,,,,,,,,,,,,
