"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00130923","2015-05-09","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","   44",",,7",,,,,,,,,"   44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-10","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  211",",,7","   44",",,7",,,,,,,,,"  128",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-11","43.10554","-93.74444","371.9","BRITT 3 E, IA US","  178",",,7,0700","    0",",,7,0700","    0",",,7,0700","  161",",,7","   61",",,7",,,,,,,,,"   67",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-12","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","   83",",,7","   39",",,7",,,,,,,,,"   50",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-13","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  156",",,7","   50",",,7",,,,,,,,,"   83",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-14","43.10554","-93.74444","371.9","BRITT 3 E, IA US","   46",",,7,0700","    0",",,7,0700","    0",",,7,0700","  211",",,7","   78",",,7",,,,,,,,,"   78",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-15","43.10554","-93.74444","371.9","BRITT 3 E, IA US","  218",",,7,0700","    0",",,7,0700","    0",",,7,0700","  139",",,7","   78",",,7",,,,,,,,,"  117",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-16","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    8",",,7,0700","    0",",,7,0700","    0",",,7,0700","  206",",,7","  117",",,7",,,,,,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-17","43.10554","-93.74444","371.9","BRITT 3 E, IA US","   58",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  161",",,7",,,,,,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-18","43.10554","-93.74444","371.9","BRITT 3 E, IA US","  384",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","   39",",,7",,,,,,,,,"   44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-19","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","   72",",,7","   17",",,7",,,,,,,,,"   28",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-20","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    3",",,7,0700","    0",",,7,0700","    0",",,7,0700","  111",",,7","    6",",,7",,,,,,,,,"   28",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-21","43.10554","-93.74444","371.9","BRITT 3 E, IA US","   18",",,7,0700","    0",",,7,0700","    0",",,7,0700","  100",",,7","   28",",,7",,,,,,,,,"   67",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-22","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","   67",",,7",,,,,,,,,"  100",",,7,0700","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-23","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  228",",,7","  100",",,7",,,,,,,,,"  133",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-24","43.10554","-93.74444","371.9","BRITT 3 E, IA US","   30",",,7,0700","    0",",,7,0700","    0",",,7,0700","  228",",,7","  133",",,7",,,,,,,,,"  139",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-25","43.10554","-93.74444","371.9","BRITT 3 E, IA US","   64",",,7,0700","    0",",,7,0700","    0",",,7,0700","  172",",,7","  139",",,7",,,,,,,,,"  156",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-26","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  244",",,7","  144",",,7",,,,,,,,,"  150",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-27","43.10554","-93.74444","371.9","BRITT 3 E, IA US","   58",",,7,0700","    0",",,7,0700","    0",",,7,0700","  167",",,7","  122",",,7",,,,,,,,,"  133",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-28","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  133",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-29","43.10554","-93.74444","371.9","BRITT 3 E, IA US","  127",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  167",",,7",,,,,,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-30","43.10554","-93.74444","371.9","BRITT 3 E, IA US","   38",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","  100",",,7",,,,,,,,,"  100",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-05-31","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700",,,"   78",",,7",,,,,,,,,"   89",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-01","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  183",",,7","   83",",,7",,,,,,,,,"  100",",,7,0700","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-02","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  217",",,7","   83",",,7",,,,,,,,,"  128",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-03","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","  128",",,7",,,,,,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-04","43.10554","-93.74444","371.9","BRITT 3 E, IA US","   20",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","  144",",,7",,,,,,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-05","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  144",",,7",,,,,,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-06","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  150",",,7",,,,,,,,,"  150",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-07","43.10554","-93.74444","371.9","BRITT 3 E, IA US","  145",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  150",",,7",,,,,,,,,"  189",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-08","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    5",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  156",",,7",,,,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-09","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  156",",,7",,,,,,,,,"  189",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-10","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  350",",,7","  156",",,7",,,,,,,,,"  194",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-11","43.10554","-93.74444","371.9","BRITT 3 E, IA US","   64",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","  156",",,7",,,,,,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-12","43.10554","-93.74444","371.9","BRITT 3 E, IA US","  208",",,7,0700","    0",",,7,0700","    0",",,7,0700","  172",",,7","  133",",,7",,,,,,,,,"  133",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-13","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  194",",,7","  133",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-14","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","  133",",,7",,,,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
