"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00131319","2018-06-30","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  344",",,7","  250",",,7",,,,,,,,,"  333",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-01","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","  244",",,7,1700","    0",",,7,1700","    0",",,7,1700","  339",",,7","  194",",,7",,,,,,,,,"  272",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-02","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  300",",,7","  144",",,7",,,,,,,,,"  289",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-03","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  322",",,7","  161",",,7",,,,,,,,,"  317",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-04","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  339",",,7","  211",",,7",,,,,,,,,"  333",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-05","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  339",",,7","  217",",,7",,,,,,,,,"  317",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-06","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  322",",,7","  150",",,7",,,,,,,,,"  272",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-07","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  283",",,7","  117",",,7",,,,,,,,,"  278",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-08","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  300",",,7","  128",",,7",,,,,,,,,"  289",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-09","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  339",",,7","  161",",,7",,,,,,,,,"  333",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-10","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  333",",,7","  206",",,7",,,,,,,,,"  294",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-11","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  317",",,7","  172",",,7",,,,,,,,,"  306",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-12","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  339",",,7","  200",",,7",,,,,,,,,"  328",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-13","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  350",",,7","  211",",,7",,,,,,,,,"  306",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-14","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","  269",",,7,1700","    0",",,7,1700","    0",",,7,1700","  306",",,7","  206",",,7",,,,,,,,,"  272",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-15","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  294",",,7","  211",",,7",,,,,,,,,"  289",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-16","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  294",",,7","  211",",,7",,,,,,,,,"  283",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-17","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  311",",,7","  156",",,7",,,,,,,,,"  300",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-18","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  300",",,7","  161",",,7",,,,,,,,,"  278",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-19","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","  312",",,7,1700","    0",",,7,1700","    0",",,7,1700","  278",",,7","  156",",,7",,,,,,,,,"  244",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-20","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","   86",",,7,1700","    0",",,7,1700","    0",",,7,1700","  250",",,7","  183",",,7",,,,,,,,,"  244",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-21","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  278",",,7","  178",",,7",,,,,,,,,"  272",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-22","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  272",",,7","  167",",,7",,,,,,,,,"  233",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-23","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  289",",,7","  161",",,7",,,,,,,,,"  278",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-24","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  294",",,7","  183",",,7",,,,,,,,,"  289",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-25","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  306",",,7","  144",",,7",,,,,,,,,"  294",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-26","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","   25",",,7,1700","    0",",,7,1700","    0",",,7,1700","  294",",,7","  156",",,7",,,,,,,,,"  244",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-27","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  261",",,7","  133",",,7",,,,,,,,,"  244",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-28","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  250",",,7","  117",",,7",,,,,,,,,"  239",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-29","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  272",",,7","  139",",,7",,,,,,,,,"  267",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-30","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","   89",",,7,1700","    0",",,7,1700","    0",",,7,1700","  278",",,7","  133",",,7",,,,,,,,,"  233",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-07-31","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  283",",,7","  128",",,7",,,,,,,,,"  272",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-01","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    5",",,7,1700","    0",",,7,1700","    0",",,7,1700","  300",",,7","  144",",,7",,,,,,,,,"  283",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-02","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    5",",,7,1700","    0",",,7,1700","    0",",,7,1700","  289",",,7","  156",",,7",,,,,,,,,"  250",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-03","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  317",",,7","  150",",,7",,,,,,,,,"  311",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-04","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  317",",,7","  189",",,7",,,,,,,,,"  278",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-05","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","   25",",,7,1700","    0",",,7,1700","    0",",,7,1700","  322",",,7","  189",",,7",,,,,,,,,"  317",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-06","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","  384",",,7,1700","    0",",,7,1700","    0",",,7,1700","  317",",,7","  189",",,7",,,,,,,,,"  267",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-07","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","   86",",,7,1700","    0",",,7,1700","    0",",,7,1700","  267",",,7","  183",",,7",,,,,,,,,"  250",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-08","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    8",",,7,1700","    0",",,7,1700","    0",",,7,1700","  294",",,7","  172",",,7",,,,,,,,,"  283",",,7,1700",,,"    1",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-09","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  328",",,7","  183",",,7",,,,,,,,,"  322",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-10","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  322",",,7","  178",",,7",,,,,,,,,"  289",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-11","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  306",",,7","  161",",,7",,,,,,,,,"  294",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-12","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  300",",,7","  156",",,7",,,,,,,,,"  294",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-13","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  317",",,7","  161",",,7",,,,,,,,,"  306",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-14","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  306",",,7","  167",",,7",,,,,,,,,"  278",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-16","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","  490",",,7,1700","    0",",,7,1700","    0",",,7,1700","  300",",,7","  189",",,7",,,,,,,,,"  233",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-17","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    8",",,7,1700","    0",",,7,1700","    0",",,7,1700","  294",",,7","  194",",,7",,,,,,,,,"  289",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-18","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  294",",,7","  178",",,7",,,,,,,,,"  267",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-19","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  283",",,7","  167",",,7",,,,,,,,,"  272",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-20","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","  170",",,7,1700","    0",",,7,1700","    0",",,7,1700","  272",",,7","  200",",,7",,,,,,,,,"  211",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-21","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","  107",",,7,1700","    0",",,7,1700","    0",",,7,1700","  228",",,7","  161",",,7",,,,,,,,,"  211",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-22","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  261",",,7","  111",",,7",,,,,,,,,"  261",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-23","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  267",",,7","  106",",,7",,,,,,,,,"  256",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-24","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","  124",",,7,1700","    0",",,7,1700","    0",",,7,1700","  256",",,7","  106",",,7",,,,,,,,,"  189",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-25","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","  211",",,7,1700","    0",",,7,1700","    0",",,7,1700","  317",",,7","  161",",,7",,,,,,,,,"  311",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00131319","2018-08-26","42.0496","-91.5881","247.8","CEDAR RAPIDS NUMBER 1, IA US","    5",",,7,1700","    0",",,7,1700","    0",",,7,1700","  311",",,7","  183",",,7",,,,,,,,,"  283",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
