"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00156624","2018-07-02","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,","    0",",,7,","  317",",,7","  206",",,7","    3",",,7","   81",",,7","  211",",,7,",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-03","37.53351","-83.34887","227.1","QUICKSAND, KY US","   13",",,7,0800","    0",",,7,","    0",",,7,","  300",",,7","  206",",,7",,,,,"  211",",,7,",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-04","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  317",",,7","  206",",,7",,,,,"  222",",,7,",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-05","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,","    0",",,7,","  333",",,7","  206",",,7","    2",",,7","    0",",,7","  211",",,7,",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-06","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,","    0",",,7,","  322",",,7","  200",",,7",,,,,"  211",",,7,",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-07","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  289",",,7","  161",",,7",,,,,"  172",",,7,",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-08","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  272",",,7","  167",",,7",,,,,"  172",",,7,",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-09","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,","    0",",,7,","  289",",,7","  161",",,7","    3",",,7","  353",",,7","  167",",,7,",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-10","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,","    0",",,7,","  294",",,7","  167",",,7",,,,,"  194",",,7,",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-11","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0","T,,7,0800","    0",",,7,","    0",",,7,","  300",",,7","  189",",,7",,,,,"  206",",,7,",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-12","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,","    0",",,7,","  300",",,7","  161",",,7",,,,,"  167",",,7,",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-13","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,","    0",",,7,","  283",",,7","  167",",,7",,,,,"  172",",,7,",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-14","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  306",",,7","  172",",,7",,,,,"  200",",,7,",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-15","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  306",",,7","  200",",,7",,,,,"  206",",,7,",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-16","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,","    0",",,7,","  306",",,7","  206",",,7","    3",",,7","    0",",,7","  228",",,7,",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-17","37.53351","-83.34887","227.1","QUICKSAND, KY US","  185",",,7,0800","    0",",,7,","    0",",,7,","  289",",,7","  206",",,7",,,,,"  211",",,7,",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-18","37.53351","-83.34887","227.1","QUICKSAND, KY US","  211",",,7,0800","    0",",,7,","    0",",,7,","  278",",,7","  167",",,7",,,,,"  167",",,7,",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-19","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,","    0",",,7,","  272",",,7","  139",",,7",,,,,"  144",",,7,",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-20","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  144",",,7",,,,,"  189",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-21","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  300",",,7","  161",",,7",,,,,"  172",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-22","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  272",",,7","  172",",,7",,,,,"  200",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-23","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  256",",,7","  194",",,7","    3",",,7","  429",",,7","  200",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-24","37.53351","-83.34887","227.1","QUICKSAND, KY US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  161",",,7",,,,,"  194",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-25","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  189",",,7",,,,,"  189",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-26","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  172",",,7",,,,,"  178",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-27","37.53351","-83.34887","227.1","QUICKSAND, KY US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  178",",,7",,,,,"  189",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-28","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  278",",,7","  150",",,7",,,,,"  156",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-29","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,,,,,"  256",",,7","  150",",,7",,,,,"  156",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00156624","2018-07-30","37.53351","-83.34887","227.1","QUICKSAND, KY US",,,"    0",",,7,0800","    0",",,7,0800","  278",",,7","  156",",,7","    3",",,7","    0",",,7","  183",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
"USC00156624","2018-07-31","37.53351","-83.34887","227.1","QUICKSAND, KY US","  150",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  167",",,7",,,,,"  200",",,7,0800",,,,,,,,,"    1",",,7",,,,,,,,,,
