"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00166130","2018-06-15","29.94853","-89.98563","0.9","CHALMETTE, LA US","   38",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  244",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-06-16","29.94853","-89.98563","0.9","CHALMETTE, LA US","   33",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  244",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-06-17","29.94853","-89.98563","0.9","CHALMETTE, LA US","   18",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  244",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-06-18","29.94853","-89.98563","0.9","CHALMETTE, LA US","    5",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  256",",,7",,,,,"  272",",,7,0700"
"USC00166130","2018-06-19","29.94853","-89.98563","0.9","CHALMETTE, LA US","  218",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  244",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-06-20","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  239",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-06-21","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  250",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-06-22","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  256",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-06-23","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  256",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-06-24","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  261",",,7",,,,,"  272",",,7,0700"
"USC00166130","2018-06-25","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  250",",,7",,,,,"  267",",,7,0700"
"USC00166130","2018-06-26","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  256",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-06-27","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  256",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-06-28","29.94853","-89.98563","0.9","CHALMETTE, LA US","  526",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  256",",,7",,,,,"  267",",,7,0700"
"USC00166130","2018-06-29","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  267",",,7",,,,,"  278",",,7,0700"
"USC00166130","2018-06-30","29.94853","-89.98563","0.9","CHALMETTE, LA US","  234",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  244",",,7",,,,,"  267",",,7,0700"
"USC00166130","2018-07-01","29.94853","-89.98563","0.9","CHALMETTE, LA US","   36",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  239",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-07-02","29.94853","-89.98563","0.9","CHALMETTE, LA US","  152",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  239",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-07-03","29.94853","-89.98563","0.9","CHALMETTE, LA US","  155",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  239",",,7",,,,,"  239",",,7,0700"
"USC00166130","2018-07-04","29.94853","-89.98563","0.9","CHALMETTE, LA US","   43",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  239",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-07-05","29.94853","-89.98563","0.9","CHALMETTE, LA US","   15",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  239",",,7",,,,,"  239",",,7,0700"
"USC00166130","2018-07-06","29.94853","-89.98563","0.9","CHALMETTE, LA US","    3",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  233",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-07-07","29.94853","-89.98563","0.9","CHALMETTE, LA US","    5",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  244",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-07-08","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  239",",,7",,,,,"  239",",,7,0700"
"USC00166130","2018-07-09","29.94853","-89.98563","0.9","CHALMETTE, LA US","   20",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  239",",,7",,,,,"  244",",,7,0700"
"USC00166130","2018-07-10","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  244",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-07-11","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  256",",,7",,,,,"  278",",,7,0700"
"USC00166130","2018-07-12","29.94853","-89.98563","0.9","CHALMETTE, LA US","   81",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  244",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-07-13","29.94853","-89.98563","0.9","CHALMETTE, LA US","    5",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  250",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-07-14","29.94853","-89.98563","0.9","CHALMETTE, LA US","    5",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  256",",,7",,,,,"  272",",,7,0700"
"USC00166130","2018-07-15","29.94853","-89.98563","0.9","CHALMETTE, LA US","   43",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  267",",,7",,,,,"  272",",,7,0700"
"USC00166130","2018-07-16","29.94853","-89.98563","0.9","CHALMETTE, LA US","  432",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  250",",,7",,,,,"  267",",,7,0700"
"USC00166130","2018-07-17","29.94853","-89.98563","0.9","CHALMETTE, LA US","  145",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  250",",,7",,,,,"  272",",,7,0700"
"USC00166130","2018-07-18","29.94853","-89.98563","0.9","CHALMETTE, LA US","  483",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  244",",,7",,,,,"  267",",,7,0700"
"USC00166130","2018-07-19","29.94853","-89.98563","0.9","CHALMETTE, LA US","   61",",,7,0700","    0",",,7","    0",",,7","  300",",,7","  239",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-07-20","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  256",",,7",,,,,"  272",",,7,0700"
"USC00166130","2018-07-21","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  367",",,7","  267",",,7",,,,,"  278",",,7,0700"
"USC00166130","2018-07-22","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  356",",,7","  267",",,7",,,,,"  272",",,7,0700"
"USC00166130","2018-07-23","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  272",",,7",,,,,"  289",",,7,0700"
"USC00166130","2018-07-24","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  250",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-07-25","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  239",",,7",,,,,"  244",",,7,0700"
"USC00166130","2018-07-26","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  244",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-07-27","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  256",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-07-28","29.94853","-89.98563","0.9","CHALMETTE, LA US","   53",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  256",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-07-29","29.94853","-89.98563","0.9","CHALMETTE, LA US","    5",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  244",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-07-30","29.94853","-89.98563","0.9","CHALMETTE, LA US","    5",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  256",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-07-31","29.94853","-89.98563","0.9","CHALMETTE, LA US","  142",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  250",",,7",,,,,"  267",",,7,0700"
"USC00166130","2018-08-01","29.94853","-89.98563","0.9","CHALMETTE, LA US","    8",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  233",",,7",,,,,"  239",",,7,0700"
"USC00166130","2018-08-02","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  233",",,7",,,,,"  233",",,7,0700"
"USC00166130","2018-08-03","29.94853","-89.98563","0.9","CHALMETTE, LA US","   33",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  233",",,7",,,,,"  244",",,7,0700"
"USC00166130","2018-08-04","29.94853","-89.98563","0.9","CHALMETTE, LA US","   20",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  233",",,7",,,,,"  239",",,7,0700"
"USC00166130","2018-08-05","29.94853","-89.98563","0.9","CHALMETTE, LA US","   43",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  233",",,7",,,,,"  244",",,7,0700"
"USC00166130","2018-08-06","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  244",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-08-07","29.94853","-89.98563","0.9","CHALMETTE, LA US","  127",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  250",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-08-08","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  244",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-08-09","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  250",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-08-10","29.94853","-89.98563","0.9","CHALMETTE, LA US","    3",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  250",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-08-11","29.94853","-89.98563","0.9","CHALMETTE, LA US","  216",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  239",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-08-12","29.94853","-89.98563","0.9","CHALMETTE, LA US","  267",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  239",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-08-13","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  244",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-08-14","29.94853","-89.98563","0.9","CHALMETTE, LA US","    3",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  250",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-08-15","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  250",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-08-16","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  356",",,7","  261",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-08-17","29.94853","-89.98563","0.9","CHALMETTE, LA US","   97",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  250",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-08-18","29.94853","-89.98563","0.9","CHALMETTE, LA US","  592",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  250",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-08-19","29.94853","-89.98563","0.9","CHALMETTE, LA US","  422",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  239",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-08-20","29.94853","-89.98563","0.9","CHALMETTE, LA US","   64",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  250",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-08-21","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  250",",,7",,,,,"  261",",,7,0700"
"USC00166130","2018-08-22","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  250",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-08-23","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  239",",,7",,,,,"  239",",,7,0700"
"USC00166130","2018-08-24","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  239",",,7",,,,,"  244",",,7,0700"
"USC00166130","2018-08-25","29.94853","-89.98563","0.9","CHALMETTE, LA US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  239",",,7",,,,,"  244",",,7,0700"
"USC00166130","2018-08-26","29.94853","-89.98563","0.9","CHALMETTE, LA US","    3",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  244",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-08-27","29.94853","-89.98563","0.9","CHALMETTE, LA US","   18",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  244",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-08-28","29.94853","-89.98563","0.9","CHALMETTE, LA US","  310",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  244",",,7",,,,,"  250",",,7,0700"
"USC00166130","2018-08-29","29.94853","-89.98563","0.9","CHALMETTE, LA US","   94",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  244",",,7",,,,,"  256",",,7,0700"
"USC00166130","2018-08-30","29.94853","-89.98563","0.9","CHALMETTE, LA US","   41",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  239",",,7",,,,,"  244",",,7,0700"
"USC00166130","2018-08-31","29.94853","-89.98563","0.9","CHALMETTE, LA US","    8",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  233",",,7",,,,,"  239",",,7,0700"
