"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00193624","2018-07-02","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  328",",,7","  200",",,7",,,,,"  283",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-03","42.2269","-70.9125","10.7","HINGHAM, MA US","    3",",,7,1900","    0",",,7,1900","    0",",,7,1900","  361",",,7","  211",",,7",,,,,"  300",",,7,1900",,,"    1",",,7",,,,,,,,,,
"USC00193624","2018-07-04","42.2269","-70.9125","10.7","HINGHAM, MA US","    0","T,,7,1900","    0",",,7,1900","    0",",,7,1900","  322",",,7","  228",",,7",,,,,"  272",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-05","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  344",",,7","  217",",,7",,,,,"  278",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-06","42.2269","-70.9125","10.7","HINGHAM, MA US","  224",",,7,1900","    0",",,7,1900","    0",",,7,1900","  289",",,7","  228",",,7",,,,,"  228",",,7,1900",,,"    1",",,7",,,,,,,,,,
"USC00193624","2018-07-07","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  256",",,7","  128",",,7",,,,,"  200",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-08","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  122",",,7",,,,,"  228",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-09","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  328",",,7","  161",",,7",,,,,"  256",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-10","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  344",",,7","  178",",,7",,,,,"  283",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-11","42.2269","-70.9125","10.7","HINGHAM, MA US","   74",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  183",",,7",,,,,"  189",",,7,1900",,,"    1",",,7",,,,,,,,,,
"USC00193624","2018-07-12","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  256",",,7","  128",",,7",,,,,"  200",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-13","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  294",",,7","  161",",,7",,,,,"  222",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-14","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  150",",,7",,,,,"  228",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-15","42.2269","-70.9125","10.7","HINGHAM, MA US","    3",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  194",",,7",,,,,"  233",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-16","42.2269","-70.9125","10.7","HINGHAM, MA US","   18",",,7,1900","    0",",,7,1900","    0",",,7,1900","  294",",,7","  183",",,7",,,,,"  239",",,7,1900",,,,,,,,,,,,,,
