"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00200552","2018-07-06","42.3667","-85.2667","283.5","BATTLE CREEK 5 NW, MI US","    0",",,7,1900","    0",",,7","    0",",,7,1900","  311",",,7","  111",",,7",,,,,"  222",",,7,1900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","2018-07-07","42.3667","-85.2667","283.5","BATTLE CREEK 5 NW, MI US","    0",",,7,1900","    0",",,7","    0",",,7,1900","  289",",,7","   67",",,7",,,,,"  267",",,7,1900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","2018-07-08","42.3667","-85.2667","283.5","BATTLE CREEK 5 NW, MI US","    0",",,7,1900","    0",",,7","    0",",,7,1900","  306",",,7","   72",",,7",,,,,"  289",",,7,1900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","2018-07-09","42.3667","-85.2667","283.5","BATTLE CREEK 5 NW, MI US","    0",",,7,1900","    0",",,7","    0",",,7,1900","  311",",,7","  128",",,7",,,,,"  294",",,7,1900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","2018-07-10","42.3667","-85.2667","283.5","BATTLE CREEK 5 NW, MI US","    0",",,7,1900","    0",",,7","    0",",,7,1900","  311",",,7","  161",",,7",,,,,"  278",",,7,1900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","2018-07-11","42.3667","-85.2667","283.5","BATTLE CREEK 5 NW, MI US","    0",",,7,1900","    0",",,7","    0",",,7,1900","  294",",,7","  122",",,7",,,,,"  261",",,7,1900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","2018-07-12","42.3667","-85.2667","283.5","BATTLE CREEK 5 NW, MI US","    0",",,7,1900","    0",",,7","    0",",,7,1900","  289",",,7","  128",",,7",,,,,"  261",",,7,1900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","2018-07-13","42.3667","-85.2667","283.5","BATTLE CREEK 5 NW, MI US","    0",",,7,1900","    0",",,7","    0",",,7,1900","  328",",,7","  161",",,7",,,,,"  306",",,7,1900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","2018-07-14","42.3667","-85.2667","283.5","BATTLE CREEK 5 NW, MI US","    0","T,,7,1900","    0",",,7","    0",",,7,1900","  306",",,7","  172",",,7",,,,,"  289",",,7,1900",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","2018-07-15","42.3667","-85.2667","283.5","BATTLE CREEK 5 NW, MI US","    0",",,7,1900","    0",",,7","    0",",,7,1900","  333",",,7","  172",",,7",,,,,"  278",",,7,1900",,,,,"    1",",,7",,,,,,,,,,,,,,,,,,
