"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00201896","2018-04-12","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   33",",,7,0630","    0","T,,7,0630","  102",",,7,0630","   61",",,7","  -28",",,7",,,,,,,,,"    6",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-13","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   20",",,7,0630","    5",",,7,0630","  102",",,7,0630","   33",",,7","   -6",",,7",,,,,,,,,"    0",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-14","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    5",",,7,0630","   10",",,7,0630","  102",",,7,0630","   39",",,7","  -33",",,7",,,,,,,,,"  -28",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-15","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   64",",,7,0630","   18",",,7,0630","   76",",,7,0630","  -17",",,7","  -67",",,7",,,,,,,,,"  -61",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-16","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","  284",",,7,0630","  109",",,7,0630","  178",",,7,0630","  -17",",,7","  -61",",,7",,,,,,,,,"  -28",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-17","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","  132",",,7,0630","  147",",,7,0630","  330",",,7,0630","  -11",",,7","  -44",",,7",,,,,,,,,"  -22",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-18","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","  254",",,7,0630","   17",",,7","  -22",",,7",,,,,,,,,"   -6",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-19","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","  229",",,7,0630","   50",",,7","  -22",",,7",,,,,,,,,"    0",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-20","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","  203",",,7,0630","   67",",,7","  -44",",,7",,,,,,,,,"  -33",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-21","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","  178",",,7,0630","  106",",,7","  -33",",,7",,,,,,,,,"    0",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-22","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","  152",",,7,0630","   78",",,7","  -22",",,7",,,,,,,,,"  -11",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-23","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","   76",",,7,0630","  144",",,7","  -11",",,7",,,,,,,,,"   11",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-24","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","   25",",,7,0630","  156",",,7","   11",",,7",,,,,,,,,"   50",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-25","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0","T,,7,0630","    0",",,7,0630","    0",",,7,0630","  172",",,7","    6",",,7",,,,,,,,,"   17",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-26","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","   83",",,7","  -33",",,7",,,,,,,,,"   -6",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-27","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   20",",,7,0630","    0",",,7,0630","    0",",,7,0630","  139",",,7","   -6",",,7",,,,,,,,,"   22",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-28","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","   83",",,7","  -22",",,7",,,,,,,,,"   -6",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-29","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","   67",",,7","  -44",",,7",,,,,,,,,"   11",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-04-30","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  100",",,7","   11",",,7",,,,,,,,,"   72",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-01","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  228",",,7","   72",",,7",,,,,,,,,"  178",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-02","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   99",",,7,0630","    0",",,7,0630","    0",",,7,0630","  278",",,7","   78",",,7",,,,,,,,,"  133",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-03","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","   69",",,7,0630","    0",",,7,0630","    0",",,7,0630","  150",",,7","   17",",,7",,,,,,,,,"   39",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-04","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","  328",",,7,0630","    0",",,7,0630","    0",",,7,0630","  139",",,7","   39",",,7",,,,,,,,,"   50",",,7,0630",,,,,,,,,,,,,,
"USC00201896","2018-05-05","45.6413","-85.0141","219.8","CROSS VILLAGE 1 E, MI US","  180",",,7,0630","    0",",,7,0630","    0",",,7,0630","  128",",,7","   39",",,7",,,,,,,,,"  117",",,7,0630",,,,,,,,,,,,,,
