"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00202691","2018-07-07","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  250",",,7","   94",",,7",,,,,"  150",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-08","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  261",",,7","  111",",,7",,,,,"  133",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-09","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  300",",,7","  133",",,7",,,,,"  150",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-10","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  317",",,7","  150",",,7",,,,,"  222",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-11","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  300",",,7","  139",",,7",,,,,"  156",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-12","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  289",",,7","  128",",,7",,,,,"  161",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-13","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  278",",,7","  161",",,7",,,,,"  194",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-14","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  322",",,7","  189",",,7",,,,,"  206",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-15","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  283",",,7","  206",",,7",,,,,"  211",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-16","42.4669","-83.3625","219.5","FARMINGTON, MI US","  145",",,7,0730","    0",",,7","    0",",,7","  328",",,7","  206",",,7",,,,,"  211",",,7,0730",,,,,"    1",",,7",,,,,,,,
"USC00202691","2018-07-17","42.4669","-83.3625","219.5","FARMINGTON, MI US","   30",",,7,0730","    0",",,7","    0",",,7","  306",",,7","  150",",,7",,,,,"  156",",,7,0730",,,,,"    1",",,7",,,,,,,,
"USC00202691","2018-07-18","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  267",",,7","  133",",,7",,,,,"  144",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-19","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  267",",,7","  133",",,7",,,,,"  161",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-20","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0","T,,7,0730","    0",",,7","    0",",,7","  278",",,7","  161",",,7",,,,,"  183",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-21","42.4669","-83.3625","219.5","FARMINGTON, MI US","   13",",,7,0730","    0",",,7","    0",",,7","  267",",,7","  183",",,7",,,,,"  189",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-22","42.4669","-83.3625","219.5","FARMINGTON, MI US","  180",",,7,0730","    0",",,7","    0",",,7","  200",",,7","  189",",,7",,,,,"  189",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-23","42.4669","-83.3625","219.5","FARMINGTON, MI US","   15",",,7,0730","    0",",,7","    0",",,7","  206",",,7","  139",",,7",,,,,"  167",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-24","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0","T,,7,0730","    0",",,7","    0",",,7","  256",",,7","  167",",,7",,,,,"  194",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-25","42.4669","-83.3625","219.5","FARMINGTON, MI US","   30",",,7,0730","    0",",,7","    0",",,7","  272",",,7","  183",",,7",,,,,"  183",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-26","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  300",",,7","  167",",,7",,,,,"  183",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-27","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0","T,,7,0730","    0",",,7","    0",",,7","  283",",,7","  144",",,7",,,,,"  161",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-28","42.4669","-83.3625","219.5","FARMINGTON, MI US","   43",",,7,0730","    0",",,7","    0",",,7","  256",",,7","  133",",,7",,,,,"  139",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-29","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  261",",,7","  139",",,7",,,,,"  167",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-30","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  283",",,7","  144",",,7",,,,,"  150",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-07-31","42.4669","-83.3625","219.5","FARMINGTON, MI US","    5",",,7,0730","    0",",,7","    0",",,7","  250",",,7","  150",",,7",,,,,"  161",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-01","42.4669","-83.3625","219.5","FARMINGTON, MI US","  401",",,7,0730","    0",",,7","    0",",,7","  250",",,7","  161",",,7",,,,,"  172",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-02","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  261",",,7","  139",",,7",,,,,"  144",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-03","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  289",",,7","  144",",,7",,,,,"  167",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-04","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  300",",,7","  167",",,7",,,,,"  167",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-05","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  311",",,7","  167",",,7",,,,,"  189",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-06","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  322",",,7","  189",",,7",,,,,"  222",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-07","42.4669","-83.3625","219.5","FARMINGTON, MI US","  114",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  206",",,7",,,,,"  206",",,7,0730",,,,,"    1",",,7",,,,,,,,
"USC00202691","2018-08-08","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  206",",,7",,,,,"  206",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-09","42.4669","-83.3625","219.5","FARMINGTON, MI US","   23",",,7,0730","    0",",,7","    0",",,7","  272",",,7","  172",",,7",,,,,"  178",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-10","42.4669","-83.3625","219.5","FARMINGTON, MI US","   66",",,7,0730","    0",",,7","    0",",,7","  289",",,7","  178",",,7",,,,,"  194",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-11","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0","T,,7,0730","    0",",,7","    0",",,7","  272",",,7","  139",",,7",,,,,"  150",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-12","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  283",",,7","  150",",,7",,,,,"  178",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-13","42.4669","-83.3625","219.5","FARMINGTON, MI US","    5",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  161",",,7",,,,,"  161",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-14","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  161",",,7",,,,,"  172",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-15","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  306",",,7","  172",",,7",,,,,"  189",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-16","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0","T,,7,0730","    0",",,7","    0",",,7","  300",",,7","  189",",,7",,,,,"  206",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-17","42.4669","-83.3625","219.5","FARMINGTON, MI US","   28",",,7,0730","    0",",,7","    0",",,7","  233",",,7","  206",",,7",,,,,"  211",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-18","42.4669","-83.3625","219.5","FARMINGTON, MI US","   81",",,7,0730","    0",",,7","    0",",,7","  244",",,7","  189",",,7",,,,,"  194",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-19","42.4669","-83.3625","219.5","FARMINGTON, MI US","  508",",,7,0730","    0",",,7","    0",",,7","  278",",,7","  178",",,7",,,,,"  183",",,7,0730",,,"    1",",,7","    1",",,7",,,,,,,,
"USC00202691","2018-08-20","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  261",",,7","  161",",,7",,,,,"  167",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-21","42.4669","-83.3625","219.5","FARMINGTON, MI US","   33",",,7,0730","    0",",,7","    0",",,7","  261",",,7","  167",",,7",,,,,"  200",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-22","42.4669","-83.3625","219.5","FARMINGTON, MI US","   20",",,7,0730","    0",",,7","    0",",,7","  278",",,7","  156",",,7",,,,,"  156",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-23","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  233",",,7","  128",",,7",,,,,"  139",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-24","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  272",",,7","  122",",,7",,,,,"  128",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-25","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  244",",,7","  128",",,7",,,,,"  200",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-26","42.4669","-83.3625","219.5","FARMINGTON, MI US","   20",",,7,0730","    0",",,7","    0",",,7","  244",",,7","  183",",,7",,,,,"  200",",,7,0730",,,,,"    1",",,7",,,,,,,,
"USC00202691","2018-08-27","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  200",",,7",,,,,"  206",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-28","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  317",",,7","  206",",,7",,,,,"  233",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-29","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  322",",,7","  211",",,7",,,,,"  217",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-30","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  289",",,7","  133",",,7",,,,,"  139",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-08-31","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  233",",,7","  133",",,7",,,,,"  139",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-09-01","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  278",",,7","  139",",,7",,,,,"  167",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-09-02","42.4669","-83.3625","219.5","FARMINGTON, MI US","  145",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  167",",,7",,,,,"  206",",,7,0730",,,,,"    1",",,7",,,,,,,,
"USC00202691","2018-09-03","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  311",",,7","  206",",,7",,,,,"  217",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-09-04","42.4669","-83.3625","219.5","FARMINGTON, MI US","  150",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  194",",,7",,,,,"  194",",,7,0730",,,,,"    1",",,7",,,,,,,,
"USC00202691","2018-09-05","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0",",,7,0730","    0",",,7","    0",",,7","  322",",,7","  194",",,7",,,,,"  211",",,7,0730",,,,,,,,,,,,,,
"USC00202691","2018-09-06","42.4669","-83.3625","219.5","FARMINGTON, MI US","   94",",,7,0730","    0",",,7","    0",",,7","  322",",,7","  183",",,7",,,,,"  183",",,7,0730",,,,,"    1",",,7",,,,,,,,
"USC00202691","2018-09-07","42.4669","-83.3625","219.5","FARMINGTON, MI US","    0","T,,7,0730","    0",",,7","    0",",,7","  228",",,7","  161",",,7",,,,,"  161",",,7,0730",,,,,,,,,,,,,,
