"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00214176","2018-07-05","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","  140",",,7,0530","    0",",,7,0530","    0",",,7,0530","  267",",,7","  200",",,7",,,,,,,,,"  222",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-06","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  267",",,7","  139",",,7",,,,,,,,,"  139",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-07","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  261",",,7","  139",",,7",,,,,,,,,"  167",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-08","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  278",",,7","  167",",,7",,,,,,,,,"  189",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-09","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    8",",,7,0530","    0",",,7,0530","    0",",,7,0530","  300",",,7","  189",",,7",,,,,,,,,"  206",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-10","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  306",",,7","  167",",,7",,,,,,,,,"  167",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-11","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    5",",,7,0530","    0",",,7,0530","    0",",,7,0530","  278",",,7","  167",",,7",,,,,,,,,"  189",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-12","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  322",",,7","  189",",,7",,,,,,,,,"  239",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-13","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","  188",",,7,0530","    0",",,7,0530","    0",",,7,0530","  333",",,7","  206",",,7",,,,,,,,,"  206",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-14","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  261",",,7","  172",",,7",,,,,,,,,"  178",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-15","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  289",",,7","  178",",,7",,,,,,,,,"  194",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-16","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","   38",",,7,0530","    0",",,7,0530","    0",",,7,0530","  300",",,7","  156",",,7",,,,,,,,,"  156",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-17","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  278",",,7","  156",",,7",,,,,,,,,"  167",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-18","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  261",",,7","  144",",,7",,,,,,,,,"  156",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-19","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  267",",,7","  156",",,7",,,,,,,,,"  200",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-20","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","  147",",,7,0530","    0",",,7,0530","    0",",,7,0530","  217",",,7","  172",",,7",,,,,,,,,"  178",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-21","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","   81",",,7,0530","    0",",,7,0530","    0",",,7,0530","  261",",,7","  161",",,7",,,,,,,,,"  161",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
"USC00214176","2018-07-22","44.6501","-93.6356","274.3","JORDAN 1 SSW, MN US","    0",",,7,0530","    0",",,7,0530","    0",",,7,0530","  267",",,7","  161",",,7",,,,,,,,,"  167",",,7,0530",,,,,,,,,,,,,,,,,,,,,,,,
