"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00226894","2018-05-04","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  272",",,H","  172",",,H",,,,,"  183",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-05","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   64",",,H,0800",,,,,"  222",",,H","  128",",,H",,,,,"  167",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-06","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  283",",,H","  128",",,H",,,,,"  161",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-07","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  300",",,H","  139",",,H",,,,,"  167",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-08","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  311",",,H","  150",",,H",,,,,"  189",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-09","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  317",",,H","  172",",,H",,,,,"  217",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-10","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  311",",,H","  167",",,H",,,,,"  189",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-11","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  311",",,H","  150",",,H",,,,,"  189",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-12","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  317",",,H","  172",",,H",,,,,"  183",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-13","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  322",",,H","  178",",,H",,,,,"  211",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-14","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  339",",,H","  183",",,H",,,,,"  222",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-15","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US",,,,,,,"  339",",,H","  200",",,H",,,,,"  206",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-16","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   71",",,H,0800",,,,,"  317",",,H","  183",",,H",,,,,"  206",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-17","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   86",",,H,0800",,,,,"  267",",,H","  178",",,H",,,,,"  194",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-18","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  289",",,H","  189",",,H",,,,,"  228",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-19","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  328",",,H","  206",",,H",,,,,"  228",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-20","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  328",",,H","  206",",,H",,,,,"  211",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-21","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  294",",,H","  200",",,H",,,,,"  211",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-22","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  289",",,H","  200",",,H",,,,,"  233",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-23","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   56",",,H,0800",,,,,"  328",",,H","  189",",,H",,,,,"  211",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-24","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  322",",,H","  200",",,H",,,,,"  217",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-27","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  306",",,H","  189",",,H",,,,,"  217",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-28","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  300",",,H","  206",",,H",,,,,"  217",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-29","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   76",",,H,0800",,,,,"  300",",,H","  211",",,H",,,,,"  239",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-30","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  339",",,H","  200",",,H",,,,,"  239",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-05-31","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  328",",,H","  228",",,H",,,,,"  256",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-01","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   76",",,H,0800",,,,,"  328",",,H","  239",",,H",,,,,"  261",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-02","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  328",",,H","  233",",,H",,,,,"  256",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-03","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  322",",,H","  167",",,H",,,,,"  206",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-04","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  306",",,H","  183",",,H",,,,,"  206",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-05","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  272",",,H","  167",",,H",,,,,"  206",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-06","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  322",",,H","  167",",,H",,,,,"  217",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-07","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  333",",,H","  200",",,H",,,,,"  228",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-08","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  339",",,H","  206",",,H",,,,,"  222",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-09","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  333",",,H","  194",",,H",,,,,"  222",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-10","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  328",",,H","  211",",,H",,,,,"  244",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-11","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","  201",",,H,0800",,,,,"  278",",,H","  194",",,H",,,,,"  222",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-12","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","   97",",,H,0800",,,,,"  328",",,H","  200",",,H",,,,,"  222",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-13","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  283",",,H","  200",",,H",,,,,"  228",",,H,0800",,,,,,,,,,,,,,,,
"USC00226894","2018-06-14","32.7691","-89.1302","125.9","PHILADELPHIA 1 WSW, MS US","    0",",,H,0800",,,,,"  322",",,H","  217",",,H",,,,,"  228",",,H,0800",,,,,,,,,,,,,,,,
