"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00243753","2018-07-06","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  356",",,7","  150",",,7",,,"  189",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-07","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  172",",,7",,,"  178",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-08","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  117",",,7",,,"  200",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-09","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  117",",,7",,,"  244",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-10","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  350",",,7","  161",",,7",,,"  167",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-11","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  117",",,7",,,"  161",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-12","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  106",",,7",,,"  167",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-13","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  344",",,7","  128",",,7",,,"  194",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-14","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  222",",,7","  133",",,7",,,"  139",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-15","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","   78",",,7",,,"  194",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-16","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  117",",,7",,,"  228",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-17","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  161",",,7",,,"  222",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-18","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  178",",,7",,,"  178",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-19","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  139",",,7",,,"  189",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-20","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  339",",,7","  122",",,7",,,"  211",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-21","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  139",",,7",,,"  183",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-22","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  250",",,7","  100",",,7",,,"  150",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-23","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","   94",",,7",,,"  178",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-24","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  100",",,7",,,"  172",",,7,2400",,,,,,,,,,,,
"USC00243753","2018-07-25","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","   18",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  100",",,7",,,"  139",",,7,2400",,,"    1",",,7",,,,,,,,
"USC00243753","2018-07-26","47.4615","-111.385","1129.3","GREAT FALLS WEATHER FORECAST OFFICE, MT US","   20",",,7,2400","    0",",,7,2400","    0",",,7,2400","  228",",,7","  111",",,7",,,"  133",",,7,2400",,,"    1",",,7",,,,,,,,
