"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00248087","2018-06-21","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  283",",,H","   67",",,H",,,,,,,,,"   94",",,H,",,,,,,,,,,,,
"USC00248087","2018-06-22","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  272",",,H","   94",",,H",,,,,,,,,"  139",",,H,",,,,,,,,,,,,
"USC00248087","2018-06-23","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  272",",,H","  111",",,H",,,,,,,,,"  111",",,H,",,,,,,,,,,,,
"USC00248087","2018-06-24","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  139",",,H","  111",",,H",,,,,,,,,"  128",",,H,",,,,,,,,,,,,
"USC00248087","2018-06-25","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  256",",,H","   94",",,H",,,,,,,,,"   94",",,H,",,,,,,,,,,,,
"USC00248087","2018-06-26","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  267",",,H","   94",",,H",,,,,,,,,"  117",",,H,",,,,,,,,,,,,
"USC00248087","2018-06-27","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  228",",,H","   39",",,H",,,,,,,,,"   39",",,H,",,,,,,,,,,,,
"USC00248087","2018-06-28","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  272",",,H","   39",",,H",,,,,,,,,"   67",",,H,",,,,,,,,,,,,
"USC00248087","2018-06-29","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  222",",,H","   61",",,H",,,,,,,,,"  106",",,H,",,,,,,,,,,,,
"USC00248087","2018-06-30","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  161",",,H","   94",",,H",,,,,,,,,"   89",",,H,",,,,,,,,,,,,
"USC00248087","2018-07-01","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  189",",,H","   89",",,H",,,,,,,,,"  100",",,H,",,,,,,,,,,,,
"USC00248087","2018-07-02","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  228",",,H","   89",",,H",,,,,,,,,"  133",",,H,",,,,,,,,,,,,
"USC00248087","2018-07-03","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  189",",,H","   44",",,H",,,,,,,,,"   50",",,H,",,,,,,,,,,,,
"USC00248087","2018-07-04","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  150",",,H","   44",",I,H",,,,,,,,,"   33",",I,H,",,,,,,,,,,,,
"USC00248087","2018-07-05","47.9161","-113.839","944.9","SWAN LAKE, MT US",,,,,,,"  244",",,H","   33",",,H",,,,,,,,,"   72",",,H,",,,,,,,,,,,,
