"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00258751","2018-06-02","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  239",",,7","  111",",,7",,,,,,,"  167",",,7,2200",,
"USC00258751","2018-06-03","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  278",",,7","   78",",,7",,,,,,,"  206",",,7,2200",,
"USC00258751","2018-06-04","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  322",",,7","  144",",,7",,,,,,,"  244",",,7,2200",,
"USC00258751","2018-06-05","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  378",",,7","  156",",,7",,,,,,,"  294",",,7,2200",,
"USC00258751","2018-06-06","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  322",",,7","  211",",,7",,,,,,,"  239",",,7,2200",,
"USC00258751","2018-06-07","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  289",",,7","  167",",,7",,,,,,,"  228",",,7,2200",,
"USC00258751","2018-06-08","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  137",",,7,2200","    0",",,7,2200","    0",",,7,2200","  322",",,7","  167",",,7",,,,,,,"  167",",,7,2200",,
"USC00258751","2018-06-09","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  300",",,7","  144",",,7",,,,,,,"  217",",,7,2200",,
"USC00258751","2018-06-10","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  333",",,7","  178",",,7",,,,,,,"  256",",,7,2200",,
"USC00258751","2018-06-11","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  256",",,7","  144",",,7",,,,,,,"  183",",,7,2200",,
"USC00258751","2018-06-12","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  233",",,7","  117",",,7",,,,,,,"  183",",,7,2200",,
"USC00258751","2018-06-13","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   23",",,7,2200","    0",",,7,2200","    0",",,7,2200","  283",",,7","  111",",,7",,,,,,,"  222",",,7,2200",,
"USC00258751","2018-06-14","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  372",",,7","  161",",,7",,,,,,,"  294",",,7,2200",,
"USC00258751","2018-06-15","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  294",",,7","  189",",,7",,,,,,,"  233",",,7,2200",,
"USC00258751","2018-06-16","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  104",",,7,2200","    0",",,7,2200","    0",",,7,2200","  350",",,7","  178",",,7",,,,,,,"  222",",,7,2200",,
"USC00258751","2018-06-17","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   38",",,7,2200","    0",",,7,2200","    0",",,7,2200","  222",",,7","  144",",,7",,,,,,,"  144",",,7,2200",,
"USC00258751","2018-06-18","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  320",",,7,2200","    0",",,7,2200","    0",",,7,2200","  194",",,7","  133",",,7",,,,,,,"  172",",,7,2200",,
"USC00258751","2018-06-19","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   10",",,7,2200","    0",",,7,2200","    0",",,7,2200","  222",",,7","  144",",,7",,,,,,,"  178",",,7,2200",,
"USC00258751","2018-06-20","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  264",",,7,2200","    0",",,7,2200","    0",",,7,2200","  206",",,7","  150",",,7",,,,,,,"  161",",,7,2200",,
"USC00258751","2018-06-21","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  261",",,7","  128",",,7",,,,,,,"  200",",,7,2200",,
"USC00258751","2018-06-22","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US",,,"    0",",,7,2200","    0",",,7,2200",,,,,,,,,,,,,,
"USC00258751","2018-06-23","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  283",",,7","  139",",,7",,,,,,,"  217",",,7,2200",,
"USC00258751","2018-06-24","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  191",",,7,2200","    0",",,7,2200","    0",",,7,2200","  267",",,7","  150",",,7",,,,,,,"  172",",,7,2200",,
"USC00258751","2018-06-25","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   79",",,7,2200","    0",",,7,2200","    0",",,7,2200","  206",",,7","  133",",,7",,,,,,,"  172",",,7,2200",,
"USC00258751","2018-06-26","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  300",",,7","  139",",,7",,,,,,,"  239",",,7,2200",,
"USC00258751","2018-06-27","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  283",",,7","  189",",,7",,,,,,,"  250",",,7,2200",,
"USC00258751","2018-06-28","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  333",",,7","  206",",,7",,,,,,,"  272",",,7,2200",,
"USC00258751","2018-06-29","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  272",",,7","  211",",,7",,,,,,,"  217",",,7,2200",,
"USC00258751","2018-06-30","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  297",",,7,2200","    0",",,7,2200","    0",",,7,2200","  239",",,7","  150",",,7",,,,,,,"  150",",,7,2200",,
"USC00258751","2018-07-01","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  283",",,7","  122",",,7",,,,,,,"  222",",,7,2200",,
"USC00258751","2018-07-02","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  339",",,7","  189",",,7",,,,,,,"  272",",,7,2200",,
"USC00258751","2018-07-03","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  356",",,7","  233",",,7",,,,,,,"  278",",,7,2200",,
"USC00258751","2018-07-04","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   18",",,7,2200","    0",",,7,2200","    0",",,7,2200","  278",",,7","  200",",,7",,,,,,,"  256",",,7,2200",,
"USC00258751","2018-07-05","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  283",",,7","  183",",,7",,,,,,,"  228",",,7,2200",,
"USC00258751","2018-07-06","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  311",",,7","  183",",,7",,,,,,,"  250",",,7,2200",,
"USC00258751","2018-07-07","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  350",",,7","  211",",,7",,,,,,,"  278",",,7,2200",,
"USC00258751","2018-07-08","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  367",",,7","  222",",,7",,,,,,,"  278",",,7,2200",,
"USC00258751","2018-07-09","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  361",",,7","  194",",,7",,,,,,,"  289",",,7,2200",,
"USC00258751","2018-07-10","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  361",",,7","  206",",,7",,,,,,,"  272",",,7,2200",,
"USC00258751","2018-07-11","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  378",",,7","  211",",,7",,,,,,,"  283",",,7,2200",,
"USC00258751","2018-07-12","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  356",",,7,2200","    0",",,7,2200","    0",",,7,2200","  333",",,7","  194",",,7",,,,,,,"  194",",,7,2200",,
"USC00258751","2018-07-13","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   79",",,7,2200","    0",",,7,2200","    0",",,7,2200","  333",",,7","  189",",,7",,,,,,,"  228",",,7,2200",,
"USC00258751","2018-07-14","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  322",",,7","  178",",,7",,,,,,,"  261",",,7,2200",,
"USC00258751","2018-07-15","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0","T,,7,2200","    0",",,7,2200","    0",",,7,2200","  261",",,7","  189",",,7",,,,,,,"  211",",,7,2200",,
"USC00258751","2018-07-16","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  579",",,7,2200","    0",",,7,2200","    0",",,7,2200","  322",",,7","  150",",,7",,,,,,,"  178",",,7,2200",,
"USC00258751","2018-07-17","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0","T,,7,2200","    0",",,7,2200","    0",",,7,2200","  317",",,7","  161",",,7",,,,,,,"  244",",,7,2200",,
"USC00258751","2018-07-18","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  317",",,7","  150",",,7",,,,,,,"  222",",,7,2200",,
"USC00258751","2018-07-19","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  311",",,7","  161",",,7",,,,,,,"  239",",,7,2200",,
"USC00258751","2018-07-20","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  300",",,7","  167",",,7",,,,,,,"  244",",,7,2200",,
"USC00258751","2018-07-21","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0","T,,7,2200","    0",",,7,2200","    0",",,7,2200","  300",",,7","  172",",,7",,,,,,,"  256",",,7,2200",,
"USC00258751","2018-07-22","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  246",",,7,2200","    0",",,7,2200","    0",",,7,2200","  339",",,7","  200",",,7",,,,,,,"  206",",,7,2200",,
"USC00258751","2018-07-23","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  278",",,7","  178",",,7",,,,,,,"  211",",,7,2200",,
"USC00258751","2018-07-24","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  317",",,7","  167",",,7",,,,,,,"  250",",,7,2200",,
"USC00258751","2018-07-25","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  119",",,7,2200","    0",",,7,2200","    0",",,7,2200","  272",",,7","  178",",,7",,,,,,,"  217",",,7,2200",,
"USC00258751","2018-07-26","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  250",",,7","  150",",,7",,,,,,,"  194",",,7,2200",,
"USC00258751","2018-07-27","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   51",",,7,2200","    0",",,7,2200","    0",",,7,2200","  261",",,7","  133",",,7",,,,,,,"  211",",,7,2200",,
"USC00258751","2018-07-28","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    3",",,7,2200","    0",",,7,2200","    0",",,7,2200","  261",",,7","  133",",,7",,,,,,,"  183",",,7,2200",,
"USC00258751","2018-07-29","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   79",",,7,2200","    0",",,7,2200","    0",",,7,2200","  261",",,7","  133",",,7",,,,,,,"  178",",,7,2200",,
"USC00258751","2018-07-30","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   56",",,7,2200","    0",",,7,2200","    0",",,7,2200","  239",",,7","  133",",,7",,,,,,,"  189",",,7,2200",,
"USC00258751","2018-07-31","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  294",",,7","  122",",,7",,,,,,,"  233",",,7,2200",,
"USC00258751","2018-08-01","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US",,,"    0",",,7,2200","    0",",,7,2200",,,,,,,,,,,,,,
"USC00258751","2018-08-02","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  350",",,7","  167",",,7",,,,,,,"  256",",,7,2200",,
"USC00258751","2018-08-03","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0","T,,7,2200","    0",",,7,2200","    0",",,7,2200","  289",",,7","  206",",,7",,,,,,,"  206",",,7,2200",,
"USC00258751","2018-08-04","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  311",",,7","  156",",,7",,,,,,,"  267",",,7,2200",,
"USC00258751","2018-08-05","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   15",",,7,2200","    0",",,7,2200","    0",",,7,2200","  267",",,7","  194",",,7",,,,,,,"  194",",,7,2200",,
"USC00258751","2018-08-06","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   23",",,7,2200","    0",",,7,2200","    0",",,7,2200","  261",",,7","  150",",,7",,,,,,,"  200",",,7,2200",,
"USC00258751","2018-08-07","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  306",",,7","  117",",,7",,,,,,,"  217",",,7,2200",,
"USC00258751","2018-08-08","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  344",",,7","  128",",,7",,,,,,,"  244",",,7,2200",,
"USC00258751","2018-08-09","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  322",",,7","  133",",,7",,,,,,,"  239",",,7,2200",,
"USC00258751","2018-08-10","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  356",",,7","  161",",,7",,,,,,,"  250",",,7,2200",,
"USC00258751","2018-08-11","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  361",",,7","  172",",,7",,,,,,,"  250",",,7,2200",,
